사업장명,축종,도로명주소,지번주소,사육두수,오폐수처리방법,데이터기준일자
명진축산,돼지,부산광역시 사하구 보덕포1길 149,부산광역시 사하구 장림동 900-6,278,액비화,2025-10-31
초원축산,돼지,부산광역시 사하구 하신중앙로3번길 79-3,부산광역시 사하구 장림동 959,600,액비화,2025-10-31
