사업장명칭,주사육업종,사업장소재지(지번),사육두수
진흥축산,돼지,경상남도 하동군 양보면,1364
가득축산,돼지,경상남도 하동군 악양면,1618
승환농장,돼지,경상남도 하동군 적량면,535
비사벌농장,돼지,경상남도 하동군 적량면,1237
비타팜,돼지,경상남도 하동군 적량면,2846
농업회사법인 주식회사 한돈혁신센터,돼지,경상남도 하동군 진교면,3471
정원농장,돼지,경상남도 하동군 악양면,2706
바른양돈,돼지,경상남도 하동군 횡천면,2563
진흥축산,돼지,경상남도 하동군 횡천면,3781
돌고지양돈농장,돼지,경상남도 하동군 횡천면,2729
바른양돈 제2농장,돼지,경상남도 하동군 횡천면,790
농업회사법인 밀알양돈 주식회사,돼지,경상남도 하동군 양보면, 
청솔농장,돼지,경상남도 하동군 횡천면,955
