사업장명칭,사업장소재지(지번),사업장소재지(도로명),사육두수
지*길농장,전라남도 여수시 화양면 용주리 1517번지 1호  ,전라남도 여수시 화양면 화양로 1660,5
강*안농장,전라남도 여수시 화양면 이목리 1028번지  ,전라남도 여수시 화양면 이목길 31-1,1
김*종농장,전라남도 여수시 화양면 이목리 1044번지 1호  ,전라남도 여수시 화양면 이목길 37,7
이*학농장,전라남도 여수시 화양면 1101번지  ,전라남도 여수시 화양면 이목길 27-24,2
이*수농장,전라남도 여수시 화양면 이목리 1217번지  ,전라남도 여수시 화양면 연말길 5-18,1
이*풍농장,    ,전라남도 여수시 화양면 연말길 38-7,2
전*팔농장,    ,전라남도 여수시 화양면 구미해안길 13-1,1
전*인농장,    ,전라남도 여수시 화양면 화서로 450-6,2
이*길농장,전라남도 여수시 화양면 이목리 943번지  ,전라남도 여수시 화양면 이목길 18-8,3
박*식농장,전라남도 여수시 화양면 이목리 945번지  ,전라남도 여수시 화양면 이목길 38-1,0
박*재농장,전라남도 여수시 율촌면 상봉리 142번지  ,전라남도 여수시 율촌면 서부로 1140-1,11
김*연농장,전라남도 여수시 화양면 이목리 산 94번지  ,전라남도 여수시 화양면 연말길 18-16,2
강*원농장,전라남도 여수시 화양면 이천리 101번지  ,전라남도 여수시 화양면 풀성골길 48-1,0
이*오농장,전라남도 여수시 화양면 이천리 243번지 1호  ,전라남도 여수시 화양면 풀성골길 12-3,0
강*택농장,전라남도 여수시 화양면 이천리 268번지 2호  ,전라남도 여수시 화양면 풀성골길 24,0
문*규농장,전라남도 여수시 화양면 이천리 330번지  ,전라남도 여수시 화양면 이대길 40,0
문*훈농장,전라남도 여수시 화양면 이천리 425번지  ,,0
이*채농장,전라남도 여수시 화양면 이천리 548번지 1호  ,전라남도 여수시 화양면 이천중촌길 18,0
이*수농장,전라남도 여수시 화양면 용주리 1568번지  ,전라남도 여수시 화양면 성주골길 19,0
김*석농장,전라남도 여수시 화양면 화동리 1382번지 4호  ,전라남도 여수시 화양면 안양길 6,2
이*재농장,전라남도 여수시 화양면 화동리 1458번지  ,전라남도 여수시 화양면 통후동길 14-3,4
박*두농장,전라남도 여수시 화양면 화동리 1510번지 3호  ,전라남도 여수시 화양면 화동로 110,3
심*택농장,전라남도 여수시 화양면 화동리 1527번지  ,전라남도 여수시 화양면 화동로 102-10,2
박*채농장,    ,전라남도 여수시 화양면 화동로 166-6,1
박*주농장,전라남도 여수시 화양면 화동리 837번지  ,전라남도 여수시 화양면 화동길 11-8,1
오*태농장,전라남도 여수시 화양면 서촌리 1182번지  ,,5
이*근농장,전라남도 여수시 화양면 이천리 556번지  ,전라남도 여수시 화양면 이천중촌길 9-1,0
오*남농장,전라남도 여수시 화양면 서촌리 853번지  ,,0
문*자농장,    ,전라남도 여수시 화양면 산전길 292-1,0
자*팜,전라남도 여수시 화양면 옥적리 266번지 1호  ,전라남도 여수시 화양면 석교로 152,0
최*남농장,전라남도 여수시 화양면 화동리 1163번지  ,,153
김*종농장,전라남도 여수시 화양면 장수리 1182번지 15호  ,전라남도 여수시 화양면 자매로 30,0
박*수,전라남도 여수시 소라면 관기리 362번지 4호  ,전라남도 여수시 소라면 관기길 41,1
주*옥농장,전라남도 여수시 소라면 대포리 1550번지 2호  ,전라남도 여수시 소라면 대포신기길 13,2
최*태농장,전라남도 여수시 소라면 대포리 250번지 10호  ,전라남도 여수시 소라면 노촌길 29-5,3
강*수농장,전라남도 여수시 소라면 대포리 594번지 4호  ,전라남도 여수시 소라면 대포신기1길 7-12,5
최*규농장,전라남도 여수시 소라면 대포리 143번지 8호  ,전라남도 여수시 소라면 완월당길 9,12
김*홍농장,전라남도 여수시 소라면 대포리 587번지 4호  ,전라남도 여수시 소라면 여순로 207-18,5
온*리기업,전라남도 여수시 소라면 대포리 641번지 2호  ,전라남도 여수시 소라면 여순로 108,3
김*수농장,    ,전라남도 여수시 소라면 서부로 1,1
장*엽농장,전라남도 여수시 소라면 복산리 산 448번지 5호  ,,9
남*우,전라남도 여수시 소라면 봉두리 373번지  ,전라남도 여수시 소라면 원봉두1길 39,1
이*주농장,전라남도 여수시 소라면 봉두리 685번지 1호  ,전라남도 여수시 소라면 당촌길 55-11,8
김*록농장,전라남도 여수시 소라면 사곡리 633번지  ,전라남도 여수시 소라면 사곡진목2길 12,3
박*순농장,전라남도 여수시 소라면 사곡리 389번지 1호  ,전라남도 여수시 소라면 궁항길 37-23,4
풍*농원,전라남도 여수시 소라면 현천리 372번지 3호  ,,4
상*농장,"전라남도 여수시 소라면 사곡리 256번지 20호 , 256-14, 13-7 ",,16
성*농장,전라남도 여수시 화양면 서촌리 1277번지 1호  ,전라남도 여수시 화양면 화서로 684,0
김*수농장,전라남도 여수시 소라면 사곡리 1010번지 1호  ,전라남도 여수시 소라면 복촌2길 6-1,4
정*균농장,전라남도 여수시 소라면 사곡리 827번지  ,전라남도 여수시 소라면 복촌1길 17-7,1
사*농장,전라남도 여수시 소라면 사곡리 188번지  ,전라남도 여수시 소라면 상사길 55,7
대*축산,전라남도 여수시 소라면 복산리 917번지  ,,45
문*순농장,전라남도 여수시 화정면 개도리 1022번지  ,,0
갬*농장,전라남도 여수시 소라면 봉두리 1095번지  ,,22
덕*공장,전라남도 여수시 소라면 덕양리 348번지  ,,0
가*농장,전라남도 여수시 화양면 서촌리 1264번지 2호  ,전라남도 여수시 화양면 화서로 687-1,0
청*농장,전라남도 여수시 율촌면 가장리 661번지 3호  ,,12
희*1농장,전라남도 여수시 율촌면 신풍리 11번지 143호  ,전라남도 여수시 율촌면 산돌길 70-17,480
김*환농장,전라남도 여수시 소라면 사곡리 385번지  ,,3
갑*농장2,전라남도 여수시 율촌면 신풍리 40번지 25호  ,전라남도 여수시 율촌면 피득촌길 34,23
계*농장,전라남도 여수시 돌산읍 평사리 109번지  ,,30
희*축산,전라남도 여수시 율촌면 신풍리 11번지 65호  ,전라남도 여수시 율촌면 산돌길 86-23,640
한*산업,전라남도 여수시 율촌면 신풍리 13번지 79호  ,전라남도 여수시 율촌면 산돌길 108-21,500
농*회사법인(유)대성축산,전라남도 여수시 율촌면 가장리 1773번지 1호  ,전라남도 여수시 율촌면 연화길 118-75,3000
김*진 염소목장,전라남도 여수시 화양면 장수리 726 ,,22
노*목장,전라남도 여수시 율촌면 상봉리 531번지 1호  ,전라남도 여수시 율촌면 해룡로 89-40,200
평*흑염소농장,    ,전라남도 여수시 소라면 조산로 233-17,400
은*3농장,전라남도 여수시 율촌면 신풍리 11번지 106호  ,전라남도 여수시 율촌면 산돌길 70-9,3000
갑*산농장,    ,전라남도 여수시 소라면 마산로 148-167,71
풍*농장,전라남도 여수시 소라면 복산리 562번지 1호  ,전라남도 여수시 소라면 풍류길 55-32,11
장*서농장,전라남도 여수시 율촌면 신풍리 13번지 88호  ,,382
덕*2농장,전라남도 여수시 소라면 덕양리 28번지  ,전라남도 여수시 소라면 가산길 38-11,20
정*영농장,전라남도 여수시 율촌면 신풍리 11번지 165호  ,전라남도 여수시 율촌면 산돌길 86-30,100
현*농장,전라남도 여수시 율촌면 신풍리 11번지 155호  ,전라남도 여수시 율촌면 산돌길 86-18,30
강*종농장,전라남도 여수시 율촌면 신풍리 40번지 50호  ,전라남도 여수시 율촌면 피득촌길 12-3,0
오*석농장,전라남도 여수시 소라면 복산리 1195번지 2호  ,,4
동*2농장,전라남도 여수시 율촌면 신풍리 11번지 128호  ,전라남도 여수시 율촌면 산돌길 86-14,300
이*농장,전라남도 여수시 화양면 이천리 산 60번지 1호  ,,62
힛*농장,전라남도 여수시 화양면 안포리 37번지 2호  ,,200
새*농장영농조합법인,전라남도 여수시 소라면 복산리 583번지 6호  ,전라남도 여수시 소라면 마산로 148-100,5500
신*농장,전라남도 여수시 율촌면 신풍리 2번지 14호  ,전라남도 여수시 율촌면 산돌길 145,20
김*섭농장,전라남도 여수시 돌산읍 군내리 768번지  ,,2
마*농장,전라남도 여수시 소라면 현천리 60번지  ,전라남도 여수시 소라면 마륜길 64-13,40
마*농장,전라남도 여수시 소라면 현천리 60번지  ,전라남도 여수시 소라면 마륜길 64-13,2
황*농장,"전라남도 여수시 화양면 서촌리 270번지 2호 270-3,270-4,270-5 ","전라남도 여수시 화양면 자매로 358-27, 358-29",62600
신*농장,전라남도 여수시 돌산읍 신복리 543번지  ,전라남도 여수시 돌산읍 돌산로 989-1,350
종*축산,전라남도 여수시 화양면 용주리 500번지 2호  바동 ,"전라남도 여수시 화양면 용주길 106, 바동",2
묘*농장,전라남도 여수시 화양면 화동리 2203번지 3호  ,,2
학*농장,전라남도 여수시 율촌면 월산리 1095번지  ,,2
박*규농장,전라남도 여수시 화양면 옥적리 1778번지  ,전라남도 여수시 화양면 마상길 156-21,1
성*농장,전라남도 여수시 화양면 화동리 1815번지 1호  ,,2
여*하늘목장,전라남도 여수시 주삼동 141번지 1호  ,,5
김*현농장,전라남도 여수시 화양면 안포리 371번지 3호  ,전라남도 여수시 화양면 새터물길 30,7
황*순농장,전라남도 여수시 화양면 옥적리 산 65번지 1호  ,,1
진*농장,전라남도 여수시 화양면 이목리 1300번지  ,전라남도 여수시 화양면 서우개길 372-3,60
풍*농장,전라남도 여수시 화양면 서촌리 978번지  ,전라남도 여수시 화양면 화서로 781-73,2000
자*애농장,전라남도 여수시 화양면 옥적리 265번지 3호  ,,342
미*농장,전라남도 여수시 화양면 안포리 1211번지  ,전라남도 여수시 화양면 화양로 890-6,20
여*축산,"전라남도 여수시 율촌면 상봉리 492번지 ,493번지,494번지 ",전라남도 여수시 율촌면 해룡로 57,85
대*2농장,전라남도 여수시 상암동 160번지 1호  ,전라남도 여수시 망양로 1173-23 (상암동),11
영*농장,전라남도 여수시 율촌면 가장리 487번지  ,전라남도 여수시 율촌면 서부로 1621-1,0
창*농장,전라남도 여수시 돌산읍 둔전리 1563번지 3호  ,전라남도 여수시 돌산읍 돌산로 2550-49,9
이*농장,전라남도 여수시 소라면 복산리 579번지  ,전라남도 여수시 소라면 마산로 148-109,3529
초*농장,"전라남도 여수시 소라면 복산리 579번지 6호 , 585-8번지 ",전라남도 여수시 소라면 마산로 148-121,70667
가*축산,전라남도 여수시 율촌면 가장리 252번지  ,전라남도 여수시 율촌면 상평길 31,19
청*복지농장,전라남도 여수시 율촌면 가장리 838번지 1호  ,전라남도 여수시 율촌면 중산길 13,1413
한*농장,전라남도 여수시 화양면 안포리 387번지 3호  ,,6
경*농장,전라남도 여수시 화양면 서촌리 812번지  ,전라남도 여수시 화양면 화서로 804,36
선*농장,전라남도 여수시 율촌면 가장리 844번지 4호  ,전라남도 여수시 율촌면 중산길 14-1,17
우*586,"전라남도 여수시 소라면 복산리 586번지 외 2필지(586-1, 587-2) ",,32
정*석농장,전라남도 여수시 주삼동 736번지 3호  ,전라남도 여수시 좌수영로 1158-14(주삼동),2
조*농장,"전라남도 여수시 율촌면 취적리 609번지 외2필지(609-1, 535) ",,604
팔*농장,전라남도 여수시 율촌면 산수리 778번지 1호 산34번지 ,전라남도 여수시 율촌면 신대길 18-2 (산34번지),13
오*농장,전라남도 여수시 소라면 복산리 665번지  ,,3
대*산농장,전라남도 여수시 소라면 복산리 670번지  ,전라남도 여수시 소라면 마산로 183,12
덕*농장,전라남도 여수시 소라면 덕양리 28번지  ,전라남도 여수시 소라면 가산길 38-11,22
신*농장,전라남도 여수시 돌산읍 신복리 543번지  ,전라남도 여수시 돌산읍 돌산로 989-1,0
에*농장,전라남도 여수시 율촌면 산수리 436번지  ,전라남도 여수시 율촌면 산수봉두2길 12-37,100
수*농장,전라남도 여수시 율촌면 월산리 724번지 1호  ,전라남도 여수시 율촌면 서부로 1828-22,93
청*축산,전라남도 여수시 돌산읍 둔전리 1563번지 2호 1563-20 ,,0
매*축산,전라남도 여수시 율촌면 상봉리 48번지 1호  ,,0
사*절자연방목농장,전라남도 여수시 화양면 안포리 산 458번지 20호  ,,0
강*례 농장,전라남도 여수시 돌산읍 평사리 1405번지 68호  ,전라남도 여수시 돌산읍 진모1길 31-1,4
조*심 농장,전라남도 여수시 소라면 복산리 1521번지 7호  ,전라남도 여수시 소라면 달천길 58,20
신*호농장,전라남도 여수시 화양면 옥적리 218번지 1호  ,,30
신*농장,전라남도 여수시 상암동 452번지  ,,3
안* 농장,전라남도 여수시 화양면 화동리 2300번지  ,,4
정*농장,전라남도 여수시 화정면 개도리 300번지 3호  ,전라남도 여수시 화정면 신흥안길 7,2
염*사육소,전라남도 여수시 화양면 나진리 667번지  ,,6
배*농장,전라남도 여수시 화정면 조발리 산 88번지 3호  ,,4
철*농장,전라남도 여수시 해산동 213번지 10호  ,전라남도 여수시 오산길 24 (해산동),0
송*근 농장,전라남도 여수시 주삼동 834번지 10호  ,전라남도 여수시 주동1길 27-25 (주삼동),12
태*농장2,전라남도 여수시 율촌면 가장리 367번지  ,전라남도 여수시 율촌면 상평길 58-49,15
돌*농장,전라남도 여수시 돌산읍 서덕리 409번지 2호  ,전라남도 여수시 돌산읍 서기동길 10-28,10
천*농장-1,전라남도 여수시 소라면 복산리 1134번지  ,,30
천*농장-2,전라남도 여수시 소라면 복산리 1135번지 5호  ,,7
제*농장2,전라남도 여수시 소라면 현천리 367번지 7호  ,,14
화*농장,전라남도 여수시 화양면 용주리 1357번지 11호  ,전라남도 여수시 화양면 영터길 35-30,13
용*농장,전라남도 여수시 소라면 덕양리 1144번지  ,,4
임*섭 농장,전라남도 여수시 소라면 덕양리 723번지 3호  ,,17
경*농장,전라남도 여수시 소라면 복산리 247번지  ,전라남도 여수시 소라면 조산로 175-72,30
정*농장,전라남도 여수시 소라면 덕양리 728번지  ,,15
염*농장,전라남도 여수시 소라면 덕양리 499번지 1호  ,전라남도 여수시 소라면 조산로 306-16,19
주*철 농장,전라남도 여수시 돌산읍 금성리 729번지  ,,6
호*농장,전라남도 여수시 돌산읍 둔전리 674번지 4호  ,,2
오*농장,전라남도 여수시 소라면 덕양리 1022번지  ,,20
민*농장,전라남도 여수시 화양면 나진리 813번지 11호  ,전라남도 여수시 화양면 안포나진로 594,22
기*기농장,전라남도 여수시 삼산면 덕촌리 1060번지  ,전라남도 여수시 삼산면 장덕로 153,30
메*리농장,전라남도 여수시 소라면 사곡리 106번지  ,전라남도 여수시 소라면 사곡로 36-15,4
한*농장,전라남도 여수시 화정면 백야리 501번지 31호  ,,20
촌*농장,전라남도 여수시 소라면 현천리 911번지 3호  ,전라남도 여수시 소라면 논골안길 30,4
다*이농장,전라남도 여수시 화양면 서촌리 1050번지  ,,20
여*축협 제2생축장,"전라남도 여수시 화양면 이목리 173번지 1호 , 산216-19, 산216-8, 산216-9 ",전라남도 여수시 화양면 자매로 321,56
삼*2목장,전라남도 여수시 돌산읍 둔전리 401번지 9호  ,,10
취*염소농장,전라남도 여수시 율촌면 취적리 1038번지  ,,20
여*염소농장,전라남도 여수시 돌산읍 금성리 695번지 11호  ,,20
돌*농장,전라남도 여수시 돌산읍 금성리 306번지  ,,20
우*농장,전라남도 여수시 돌산읍 둔전리 1584번지 10호  ,,41
초*농장,전라남도 여수시 화양면 화동리 2298번지 2호  ,,81
석*흑염소농장,전라남도 여수시 화양면 서촌리 951번지 6호  ,전라남도 여수시 화양면 석교로 71-46,30
철*네농장,전라남도 여수시 소라면 복산리 1134번지 5호  ,,20
자*로 염소농장,전라남도 여수시 화양면 이목리 23번지 2호  ,전라남도 여수시 화양면 자매로 137,20
김*채농장,전라남도 여수시 화양면 용주리 764번지 1호  ,전라남도 여수시 화양면 고외2길 14-11,20
한*마마,전라남도 여수시 율촌면 가장리 703번지  ,전라남도 여수시 율촌면 하평길 23-4,10
산*농장,전라남도 여수시 화양면 이목리 25번지 2호  ,,16
월*축산,전라남도 여수시 돌산읍 서덕리 834번지  ,전라남도 여수시 돌산읍 승월길 42-45,23
소*네농장,전라남도 여수시 돌산읍 죽포리 1587번지  ,,0
상*농장,전라남도 여수시 화양면 서촌리 산 154번지 1호  ,,20
백*등대로,전라남도 여수시 화정면 백야리 7번지 18호  ,전라남도 여수시 화정면 백야등대길 11,49
나* 산들목장,전라남도 여수시 화양면 나진리 585번지 10호  ,,49
고* 사슴농장,전라남도 여수시 돌산읍 둔전리 431번지 4호  ,,20
지*미정원,전라남도 여수시 삼산면 손죽리 산 1693번지  ,전라남도 여수시 삼산면 우데미길 54,7
봉*농장,"전라남도 여수시 돌산읍 금봉리 105번지 1호 , 106 ",,49
까*농장,전라남도 여수시 돌산읍 서덕리 461번지  ,전라남도 여수시 돌산읍 서기동길 22-41,50
미*농장,전라남도 여수시 화양면 안포리 1211번지  ,전라남도 여수시 화양면 화양로 890-6,0
장* 농장,전라남도 여수시 화양면 이목리 26번지 1호  ,,0
덕*염소농장,전라남도 여수시 돌산읍 금봉리 281번지 2호  ,,40
대*농장,전라남도 여수시 호명동 1686번지  ,,600
개*농장,전라남도 여수시 화양면 서촌리 1426번지 10호  ,,20
다*실 농장,전라남도 여수시 화양면 안포리 621번지  ,,2
초*가득목장,전라남도 여수시 화양면 나진리 585번지 10호  ,,49
작* 농장,전라남도 여수시 돌산읍 금성리 794번지  ,전라남도 여수시 돌산읍 돌산로 666-36,58
산* 흑염소 농장,전라남도 여수시 돌산읍 율림리 583번지 1호  ,전라남도 여수시 돌산읍 향일암로 635-24,70
