사업장명칭,주사육업종,사업장소재지
재*목장,젖소,경상북도 경산시 용성면 외촌리
일*목장,"한우, 젖소",경상북도 경산시 남산면 사림리
태*목장,한우,경상북도 경산시 압량읍 당리
도*목장,젖소,경상북도 경산시 용성면 도덕리
경*목장,젖소,경상북도 경산시 용성면 내촌리
자*축산,젖소,경상북도 경산시 용성면 부제리
중*목장,젖소,경상북도 경산시 자인면 남신리
성*목장,젖소,경상북도 경산시 용성면 송림리
영*농장,젖소,경상북도 경산시 남천면 원리
순*목장,젖소,경상북도 경산시 압량읍 당리
재*목장,젖소,경상북도 경산시 용성면 외촌리
서*목장,"한우, 젖소",경상북도 경산시 자인면 남신리
경*목장,젖소,경상북도 경산시 남산면 경리
가*목장,젖소,경상북도 경산시 자인면 남신리
남*목장,한우,경상북도 경산시 자인면 남신리
범*목장,젖소,경상북도 경산시 남천면 하도리
마*농장,한우,경상북도 경산시 여천동
신*목장,한우,경상북도 경산시 압량읍 신대리
동*목장,젖소,경상북도 경산시 용성면 내촌리
소*골목장,젖소,경상북도 경산시 용성면 외촌리
대*목장,젖소,경상북도 경산시 남산면 경리
사*목장,젖소,경상북도 경산시 남산면 사림리
경*목장,젖소,경상북도 경산시 남산면 경리
당*목장,젖소,경상북도 경산시 압량읍 당음리
강*목장,젖소,경상북도 경산시 압량읍 당음리
계*목장,한우,경상북도 경산시 자인면 계림리
승*목장,"육우, 젖소",경상북도 경산시 자인면 남신리
부*목장,한우,경상북도 경산시 용성면 부제리
인*목장,"한우, 젖소",경상북도 경산시 용성면 도덕리
금*목장,젖소,경상북도 경산시 압량읍 금구리
장*목장,한우,경상북도 경산시 진량읍 문천리
청*목장,한우,경상북도 경산시 용성면 송림리
광*목장,한우,경상북도 경산시 용성면 송림리
마*목장,한우,경상북도 경산시 진량읍 마곡리
길*장,한우,경상북도 경산시 진량읍 북리
태*목장,젖소,경상북도 경산시 용성면 송림리
푸*목장,젖소,경상북도 경산시 용성면 외촌리
외*농장,한우,경상북도 경산시 용성면 외촌리
보*목장,젖소,경상북도 경산시 용성면 송림리
용*목장,젖소,경상북도 경산시 용성면 내촌리
박*목장,한우,경상북도 경산시 와촌면 박사리
경*농장,"한우, 육우",경상북도 경산시 남산면 경리
능*목장,한우,경상북도 경산시 와촌면 음양리
경*목장,한우,경상북도 경산시 남산면 송내리
불*목장,한우,경상북도 경산시 와촌면 신한리
푸*농장,돼지,경상북도 경산시 압량읍 당리
덕*목장,한우,경상북도 경산시 용성면 덕천리
금*목장,한우,경상북도 경산시 압량읍 금구리
가*목장,한우,경상북도 경산시 용성면 가척리
용*목장,한우,경상북도 경산시 용성면 용전리
원*목장,한우,경상북도 경산시 남천면 원리
남*목장,한우,경상북도 경산시 남천면 원리
대*농장,한우,경상북도 경산시 남천면 신방리
신*농장,한우,경상북도 경산시 남천면 신방리
단*농장,한우,경상북도 경산시 와촌면 음양리
우*농장,한우,경상북도 경산시 남산면 우검리
부*목장,한우,경상북도 경산시 압량읍 부적리
만*축산,한우,경상북도 경산시 자인면 남신리
정*농장,한우,경상북도 경산시 와촌면 덕촌리
태*농원,한우,경상북도 경산시 와촌면 박사리
미*목장,한우,경상북도 경산시 와촌면 계전리
O*목장,한우,경상북도 경산시 와촌면 상암리
일*농장,한우,경상북도 경산시 와촌면 용천리
송*목장,젖소,경상북도 경산시 용성면 송림리
외*목장,한우,경상북도 경산시 용성면 외촌리
경*농장,한우,경상북도 경산시 남산면 흥정리
재*축산농장,한우,경상북도 경산시 압량읍 가일리
신*목장,한우,경상북도 경산시 와촌면 계전리
신*농장,한우,경상북도 경산시 와촌면 신한리
상*목장,"한우, 젖소",경상북도 경산시 와촌면 상암리
용*목장,한우,경상북도 경산시 용성면 용전리
경*농장,한우,경상북도 경산시 와촌면 계전리
경*농장,한우,경상북도 경산시 남산면 경리
대*목장,한우,경상북도 경산시 와촌면 대동
동*농장,한우,경상북도 경산시 와촌면 소월리
태*축산,한우,경상북도 경산시 와촌면 용천리
박*목장,한우,경상북도 경산시 와촌면 박사리
영*농장,한우,경상북도 경산시 와촌면
동*농장,한우,경상북도 경산시 와촌면 계전리
대*농장,한우,경상북도 경산시 남천면 대명리
협*농장,한우,경상북도 경산시 남천면 협석리
대*농장,한우,경상북도 경산시 하양읍 대곡리
오*농장,한우,경상북도 경산시 용성면 미산리
광*목장,한우,경상북도 경산시 용성면 미산리
불*골농장,돼지,경상북도 경산시 진량읍 신상리
평*농장,한우,경상북도 경산시 남산면 평기리
성*목장,한우,경상북도 경산시 용성면 고죽리
신*농장,한우,경상북도 경산시 남산면 흥정리
예*농장,한우,경상북도 경산시 압량읍 금구리
대*목장,한우,경상북도 경산시 하양읍 대곡리
삼*농장,한우,경상북도 경산시 남천면 구일리
율*목장,한우,경상북도 경산시 와촌면 계전리
마*농장,육계,경상북도 경산시 진량읍 마곡리
박*농장,한우,경상북도 경산시 와촌면 박사리
