사업장명칭,주사육업종,사업장소재지
영*농장,한우,경상북도 경산시 진량읍 안촌리
금*농장,한우,경상북도 경산시 진량읍 다문리
덕*목장,한우,경상북도 경산시 용성면 덕천리
규*농장,한우,경상북도 경산시 남천면 원리
금*한우,한우,경상북도 경산시 남천면 금곡리
월*농장,한우,경상북도 경산시 남산면 사림리
쌍*이농장,한우,경상북도 경산시 대정동
성*농장,한우,경상북도 경산시 용성면 고은리
김*규농장,한우,경상북도 경산시 용성면 용천리
명*농장,한우,경상북도 경산시 용성면 용천리
송*농장,한우,경상북도 경산시 용성면 당리
김*만농장,한우,경상북도 경산시 용성면 당리
태*농장,한우,경상북도 경산시 와촌면 박사리
현*농장,한우,경상북도 경산시 와촌면 소월리
미*목장,한우,경상북도 경산시 용성면 미산리
호*농장,한우,경상북도 경산시 와촌면 대동
경*농장,한우,경상북도 경산시 와촌면 대동
하*로농장,한우,경상북도 경산시 남천면 신방리
수*농장,"한우, 육우",경상북도 경산시 와촌면 용천리
병*농장,한우,경상북도 경산시 용성면 미산리
새*년농장,한우,경상북도 경산시 남천면 협석리
대*농장,한우,경상북도 경산시 남천면 대명리
근*농장,한우,경상북도 경산시 남산면 경리
승*농장,한우,경상북도 경산시 내동
정*농장,한우,경상북도 경산시 와촌면 계전리
동*농장,한우,경상북도 경산시 압량읍 당음리
양*농장,한우,경상북도 경산시 진량읍 문천리
현*농장,한우,경상북도 경산시 진량읍 현내리
순*농장,한우,경상북도 경산시 와촌면 계전리
행*목장,한우,경상북도 경산시 용성면 고죽리
학*농장,한우,경상북도 경산시 용성면 고죽리
창*농장,한우,경상북도 경산시 용성면 용산리
원*농장,한우,경상북도 경산시 와촌면 대동
우*농장,한우,경상북도 경산시 진량읍 다문리
두*농장,한우,경상북도 경산시 남천면 신방리
흥*농장,한우,경상북도 경산시 남천면 흥산리
순*농장,한우,경상북도 경산시 남산면 우검리
안*농장,한우,경상북도 경산시 남산면 안심리
제*목장,한우,경상북도 경산시 자인면 남신리
푸*농장,한우,경상북도 경산시 남산면 흥정리
우*농장,한우,경상북도 경산시 남산면 안심리
김*선농장,육우,경상북도 경산시 용성면 외촌리
석*농장,한우,경상북도 경산시 용성면 외촌리
평*농장,한우,경상북도 경산시 진량읍 평사(坪)리
이*농장,한우,경상북도 경산시 와촌면 대동
상*농장,한우,경상북도 경산시 와촌면 대동
선*목장,젖소,경상북도 경산시 자인면
사*농장,한우,경상북도 경산시 남산면 사월리
반*농장,한우,경상북도 경산시 와촌면 계전리
한*농장,한우,경상북도 경산시 와촌면 대동
송*목장,한우,경상북도 경산시 용성면 송림리
동*동물농장,육계,경상북도 경산시 갑제동
바*구농장,한우,경상북도 경산시 용성면 부제리
덕*농장,한우,경상북도 경산시 용성면 부제리
정*농장,한우,경상북도 경산시 자인면 북사리
해*농장,한우,경상북도 경산시 용성면 덕천리
두*농장,육우,경상북도 경산시 와촌면 덕촌리
소*농장,한우,경상북도 경산시 와촌면 소월리
해*름 농업회사법인(주),돼지,경상북도 경산시 압량읍 신월리
옥*농장,한우,경상북도 경산시 남산면 경리
신*목장,육우,경상북도 경산시 신천동
옥*축산,한우,경상북도 경산시 자인면 옥천리
솔*농장,한우,경상북도 경산시 자인면 옥천리
정*농원,한우,경상북도 경산시 진량읍 문천리
자*농장,한우,경상북도 경산시 자인면 서부리
남*농장,한우,경상북도 경산시 내동
성*농장,한우,경상북도 경산시 진량읍 광석리
부*농장,한우,경상북도 경산시 와촌면 계전리
여*농장,한우,경상북도 경산시 여천동
정*농장,,경상북도 경산시 남천면 하도리
대*농장,종계/산란계,경상북도 경산시 압량읍 신월리
대*농장,한우,경상북도 경산시 와촌면 신한리
푸*농장,한우,경상북도 경산시 압량읍 당리
성*농장,한우,경상북도 경산시 남천면 산전리
영*농장,한우,경상북도 경산시 남천면 원리
종*농장,한우,경상북도 경산시 자인면 원당리
광*농장,한우,경상북도 경산시 진량읍 북리
대*농장,한우,경상북도 경산시 진량읍 평사(平)리
장*농장,한우,경상북도 경산시 남천면 신방리
맛*락농장,한우,경상북도 경산시 자인면 북사리
옹*찬농장,한우,경상북도 경산시 진량읍 현내리
계*농장,한우,경상북도 경산시 와촌면 계전리
상*목장,한우,경상북도 경산시 남천면 신방리
청*농원,한우,경상북도 경산시 남천면 송백리
신*불이농장,"한우, 젖소",경상북도 경산시 진량읍 보인리
신*농장,한우,경상북도 경산시 압량읍 신월리
동*농장,한우,경상북도 경산시 와촌면 대동
우*한우농장,한우,경상북도 경산시 압량읍 신월리
전*농장,한우,경상북도 경산시 남산면 전지리
환*농장,한우,경상북도 경산시 남산면 우검리
새*목장,"한우, 육우, 젖소",경상북도 경산시 진량읍 북리
J*N농장,육계,경상북도 경산시 와촌면 대동
부*농장,한우,경상북도 경산시 용성면 부제리
대*농장,한우,경상북도 경산시 용성면 가척리
평*목장,한우,경상북도 경산시 남산면 평기리
정*축산,한우,경상북도 경산시 용성면 덕천리
신*농장,한우,경상북도 경산시 남천면 신방리
삼*축산,한우,경상북도 경산시 와촌면 대동
소*농장,한우,경상북도 경산시 와촌면 소월리
화*농장,한우,경상북도 경산시 남천면 금곡리
수*농장,한우,경상북도 경산시 자인면 계림리
문*농장,한우,경상북도 경산시 진량읍 평사(坪)리
박*목장,한우,경상북도 경산시 용성면 고죽리
덕*농장,한우,경상북도 경산시 용성면 부제리
경*한우농장,한우,경상북도 경산시 압량읍 신월리
무*개농장,한우,경상북도 경산시 용성면 용산리
대*농장,한우,경상북도 경산시 남천면 구일리
갓*우 농장,한우,경상북도 경산시 와촌면 대동
삼* 농장,한우,경상북도 경산시 용성면 도덕리
대*농장,한우,경상북도 경산시 자인면 남신리
정* 농장,한우,경상북도 경산시 압량읍 신대리
우* 농장,한우,경상북도 경산시 용성면 도덕리
반*월 농장,한우,경상북도 경산시 진량읍 북리
희* 농장,한우,경상북도 경산시 압량읍 당리
태* 농장,한우,경상북도 경산시 와촌면 박사리
삼*농장,한우,경상북도 경산시 남산면 전지리
이*호농장,한우,경상북도 경산시 와촌면 덕촌리
병*농장,한우,경상북도 경산시 자인면 계남리
가*목장,한우,경상북도 경산시 와촌면 박사리
서*주니농장,한우,경상북도 경산시 자인면 옥천리
소*모농장,한우,경상북도 경산시 남산면 안심리
종*농장,한우,경상북도 경산시 진량읍 평사(平)리
금*축산,한우,경상북도 경산시 남천면 금곡리
동*농장,종계/산란계,경상북도 경산시 하양읍
일*농장,한우,경상북도 경산시 압량읍 신월리
태*농장,한우,경상북도 경산시 남산면 사림리
재*농장,한우,경상북도 경산시 용성면 가척리
동*농장,"한우, 육우",경상북도 경산시 남천면 구일리
백*농장,한우,경상북도 경산시 옥곡동
부*농장,한우,경상북도 경산시 하양읍 환상리
미*농장,한우,경상북도 경산시 용성면 미산리
정*농장,한우,경상북도 경산시 용성면 송림리
양*축산농장,한우,경상북도 경산시 용성면 송림리
상*농장,한우,경상북도 경산시 와촌면 상암리
광*농장,육계,경상북도 경산시 용성면 고죽리
소*농장,한우,경상북도 경산시 와촌면 소월리
이*영농장,한우,경상북도 경산시 용성면 대종리
상*농장,한우,경상북도 경산시 자인면 북사리
일*농장,한우,경상북도 경산시 용성면 고죽리
부*농장,한우,경상북도 경산시 대정동
동*농장,한우,경상북도 경산시 하양읍 한사리
수*농장,한우,경상북도 경산시 남산면 경리
태*농장,한우,경상북도 경산시 자인면 단북리
서*농장,한우,경상북도 경산시 남산면 반곡리
성*사슴농장,"한우, 사슴",경상북도 경산시 갑제동
주*꿩농장,꿩,경상북도 경산시 용성면 곡란리
용*꿩농장,꿩,경상북도 경산시 용성면 곡란리
곱*이재 농장,꿩,경상북도 경산시 용성면 곡란리
명*농장,꿩,경상북도 경산시 용성면 곡란리
현*농장,꿩,경상북도 경산시 용성면 곡란리
도*농장,한우,경상북도 경산시 용성면 도덕리
주*농장,꿩,경상북도 경산시 용성면 곡란리
경*농장,꿩,경상북도 경산시 용성면 곡란리
연*농장,한우,경상북도 경산시 용성면 송림리
임*농장,한우,경상북도 경산시 임당동
울*농장,한우,경상북도 경산시 자인면 울옥리
미*농장,한우,경상북도 경산시 자인면 원당리
갓*우농원,한우,경상북도 경산시 와촌면 대동
옥*농장,한우,경상북도 경산시 자인면 옥천리
종*농장,한우,경상북도 경산시 하양읍 대곡리
윤*조농장,한우,경상북도 경산시 용성면 외촌리
동*농장,한우,경상북도 경산시 하양읍
영*농장,한우,경상북도 경산시 남천면 흥산리
승*이농장,한우,경상북도 경산시 남산면 흥정리
국*농장,한우,경상북도 경산시 와촌면 상암리
형*농장,한우,경상북도 경산시 자인면 읍천리
현*농장,한우,경상북도 경산시 용성면 미산리
명*농장,한우,경상북도 경산시 자인면 계남리
장*농장,한우,경상북도 경산시 남산면 남곡리
봉*농원,육계,경상북도 경산시 용성면 외촌리
승*농장,한우,경상북도 경산시 와촌면 대동
청*농장,돼지,경상북도 경산시 와촌면 계전리
성*축산한우농장,한우,경상북도 경산시 자인면 옥천리
영*농장,한우,경상북도 경산시 와촌면 계전리
윤*농장,한우,경상북도 경산시 와촌면 계전리
박*천 농장,한우,경상북도 경산시 와촌면 대동
덕* 농장,한우,경상북도 경산시 와촌면 계전리
석*농장,한우,경상북도 경산시 와촌면 계전리
욱*농장,한우,경상북도 경산시 와촌면 시천리
평*농장,한우,경상북도 경산시 진량읍 상림리
구*농장,한우,경상북도 경산시 용성면 외촌리
장*농장,한우,경상북도 경산시 용성면 덕천리
원*장,한우,경상북도 경산시 남천면 구일리
순*농장,한우,경상북도 경산시 남산면 경리
벧*농장,한우,경상북도 경산시 용성면 곡신리
부*농장,육계,경상북도 경산시 남천면 송백리
한*군 농장,한우,경상북도 경산시 자인면 울옥리
치*농장,한우,경상북도 경산시 용성면 외촌리
솔*농장,한우,경상북도 경산시 남산면 경리
성*농장,한우,경상북도 경산시 자인면 옥천리
계*목장,한우,경상북도 경산시 자인면 옥천리
두*농장,한우,경상북도 경산시 용성면 외촌리
용*꿩영농조합법인,한우,경상북도 경산시 용성면 곡란리
실*농장,한우,경상북도 경산시 압량읍 내리
구*농장,"한우, 육우",경상북도 경산시 남천면 구일리
우*농장,한우,경상북도 경산시 용성면 용전리
화*의꿈,한우,경상북도 경산시 남천면 산전리
일*2농장,한우,경상북도 경산시 진량읍 문천리
건*농장,한우,경상북도 경산시 용성면 미산리
지* 농장,육우,경상북도 경산시 용성면 외촌리
니*노 목장,육우,경상북도 경산시 자인면 계림리
대*농장,한우,경상북도 경산시 남천면 송백리
명*2농장,한우,경상북도 경산시 남천면 산전리
문*농장,한우,경상북도 경산시 남산면 사림리
석*장,한우,경상북도 경산시 용성면 미산리
한*농장,한우,경상북도 경산시 하양읍 한사리
모*농장,한우,경상북도 경산시 용성면 송림리
대*농장,한우,경상북도 경산시 하양읍 한사리
사*농장,한우,경상북도 경산시 남산면 사월리
무*농장,한우,경상북도 경산시 남천면 신방리
종*농장,한우,경상북도 경산시 용성면 내촌리
성*농장,한우,경상북도 경산시 자인면 읍천리
수*농장,꿩,경상북도 경산시 용성면 곡란리
도*농장,한우,경상북도 경산시 용성면 도덕리
정*농장,한우,경상북도 경산시 남산면 연하리
양*농장,한우,경상북도 경산시 하양읍 양지리
진*장,한우,경상북도 경산시 남산면 조곡리
안*농장,한우,경상북도 경산시 와촌면 계전리
흥*농장,한우,경상북도 경산시 남산면 흥정리
가*농장,"종계/산란계, 염소",경상북도 경산시 압량읍 가일리
평*농장,한우,경상북도 경산시 와촌면 상암리
한*음 농장,한우,경상북도 경산시 자인면 계남리
솔*농장,한우,경상북도 경산시 용성면 부제리
운*농장,한우,경상북도 경산시 하양읍 한사리
프*임 팜,돼지,경상북도 경산시 압량읍 신월리
대*농장,한우,경상북도 경산시 하양읍 한사리
서*목장,한우,경상북도 경산시 하양읍 한사리
가*골 친환경 체험농장,종계/산란계,경상북도 경산시 용성면 고죽리
돈*미농장,한우,경상북도 경산시 용성면 용산리
김*농장,돼지,경상북도 경산시 압량읍 신월리
친*우목장,한우,경상북도 경산시 용성면 일광리
한*농장,한우,경상북도 경산시 하양읍 한사리
남*농장,한우,경상북도 경산시 남산면 안심리
대*산 농장2,한우,경상북도 경산시 남산면 흥정리
혜*목장,육우,경상북도 경산시 용성면 송림리
금*농장,한우,경상북도 경산시 와촌면 시천리
진* 농장,한우,경상북도 경산시 와촌면 박사리
대*농장,한우,경상북도 경산시 자인면
구*한우목장,한우,경상북도 경산시 와촌면 박사리
우*농장,한우,경상북도 경산시 하양읍 한사리
사*목장2,육우,경상북도 경산시 남산면 사림리
평*농장,한우,경상북도 경산시 진량읍 평사(平)리
무*농장,한우,경상북도 경산시 하양읍 대학리
곡*농장,한우,경상북도 경산시 용성면 미산리
우*농장,한우,경상북도 경산시 남산면 경리
둥*축산,한우,경상북도 경산시 내동
문*농장,한우,경상북도 경산시 와촌면 시천리
재*농장,한우,경상북도 경산시 남산면 사림리
양*농장,한우,경상북도 경산시 하양읍 한사리
반*농장,한우,경상북도 경산시 용성면 송림리
달*농장,한우,경상북도 경산시 용성면 미산리
덕*농장,한우,경상북도 경산시 와촌면 덕촌리
능*농장,한우,경상북도 경산시 하양읍 한사리
숲*농장,한우,경상북도 경산시 용성면 도덕리
청*농장,한우,경상북도 경산시 용성면 덕천리
평*농장,한우,경상북도 경산시 진량읍 평사(平)리
하*농장,한우,경상북도 경산시 남천면 하도리
오*농장,한우,경상북도 경산시 용성면 미산리
오*농장,한우,경상북도 경산시 용성면 미산리
대*농장,한우,경상북도 경산시 자인면 북사리
명*농장,한우,경상북도 경산시 하양읍 한사리
현*농장,한우,경상북도 경산시 남천면 신방리
상*농장,한우,경상북도 경산시 남천면 신방리
천*농장,한우,경상북도 경산시 와촌면 시천리
행*한 농장,한우,경상북도 경산시 와촌면 소월리
신*농장,한우,경상북도 경산시 용성면 덕천리
부*농장,한우,경상북도 경산시 와촌면 시천리
종*농장,한우,경상북도 경산시 하양읍 대조리
소*농장,한우,경상북도 경산시 와촌면 소월리
O*한우목장,한우,경상북도 경산시 용성면 외촌리
도*농장,한우,경상북도 경산시 남천면 흥산리
건*농장,한우,경상북도 경산시 자인면 울옥리
동*농장,한우,경상북도 경산시 자인면 옥천리
신*농원,한우,경상북도 경산시 압량읍 신월리
신*농장,돼지,경상북도 경산시 와촌면 계전리
송*농장,한우,경상북도 경산시 용성면 송림리
도*농원,한우,경상북도 경산시 용성면 외촌리
새*산축산,육우,경상북도 경산시 남산면 경리
보*목장,"한우, 육우",경상북도 경산시 용성면 송림리
유*농장2호,한우,경상북도 경산시 와촌면 대동
병*농장,한우,경상북도 경산시 남산면 남곡리
해*이농장,젖소,경상북도 경산시 용성면 송림리
송*농장,한우,경상북도 경산시 남천면 송백리
용*농장,염소,경상북도 경산시 와촌면 용천리
정*농장,한우,경상북도 경산시 와촌면 시천리
봉*농장,한우,경상북도 경산시 자인면 신관리
대*농장,한우,경상북도 경산시 와촌면 상암리
승*농장,한우,경상북도 경산시 남산면 남곡리
진*농장,한우,경상북도 경산시 압량읍 가일리
부*농장,한우,경상북도 경산시 용성면 송림리
경*농장,돼지,경상북도 경산시 진량읍 북리
한*농장,한우,경상북도 경산시 와촌면 상암리
영*농장,한우,경상북도 경산시 하양읍 한사리
상*목장,젖소,경상북도 경산시 용성면 부제리
둔*농장,한우,경상북도 경산시 와촌면 시천리
순*농장,한우,경상북도 경산시 와촌면 대동
임*사슴농장,사슴,경상북도 경산시 임당동
임*사슴농장,한우,경상북도 경산시 임당동
가*농장,돼지,경상북도 경산시 압량읍 가일리
화*농장,한우,경상북도 경산시 남산면 우검리
소*농장,한우,경상북도 경산시 진량읍 아사리
보*농장,한우,경상북도 경산시 용성면 송림리
현*장,한우,경상북도 경산시 하양읍 한사리
소*골농장,한우,경상북도 경산시 용성면 외촌리
대*2농장,한우,경상북도 경산시 하양읍 한사리
대*2농장,한우,경상북도 경산시 하양읍 한사리
화*농장,한우,경상북도 경산시 하양읍 대조리
영*농장,한우,경상북도 경산시 와촌면 시천리
희*농장2,한우,경상북도 경산시 자인면 남신리
성*농원,한우,경상북도 경산시 자인면 일언리
성*축산한우농장,한우,경상북도 경산시 자인면 옥천리
부*농장,한우,경상북도 경산시 진량읍 현내리
북*농장,한우,경상북도 경산시 진량읍 평사(平)리
친*한우농장,한우,경상북도 경산시 자인면 옥천리
성*목장,한우,경상북도 경산시 용성면 송림리
운* 제2농장,한우,경상북도 경산시 하양읍 한사리
이*자축산,한우,경상북도 경산시 와촌면 덕촌리
지*농장,한우,경상북도 경산시 와촌면 계전리
승*목장,젖소,경상북도 경산시 용성면 내촌리
훈*네 농장,한우,경상북도 경산시 진량읍 평사(平)리
S*J농장,육우,경상북도 경산시 하양읍 대조리
혜*농장,한우,경상북도 경산시 진량읍 문천리
기*농장,한우,경상북도 경산시 진량읍 평사(平)리
두*농장,한우,경상북도 경산시 와촌면 시천리
들*농장,한우,경상북도 경산시 와촌면 계전리
선*농장,육우,경상북도 경산시 진량읍 보인리
황*농장,한우,경상북도 경산시 와촌면 상암리
동*라미농장,한우,경상북도 경산시 하양읍 한사리
부*농장,한우,경상북도 경산시 용성면 부제리
양*농장,한우,경상북도 경산시 남천면 신방리
수*농장,한우,경상북도 경산시 압량읍 금구리
장*농장,한우,경상북도 경산시 와촌면 소월리
원*농장,한우,경상북도 경산시 남천면 구일리
우*한우,한우,경상북도 경산시 용성면 내촌리
매*농장,한우,경상북도 경산시 용성면 매남리
산*2농장,한우,경상북도 경산시 용성면 송림리
한*농장,한우,경상북도 경산시 와촌면 소월리
마*틴농장2,한우,경상북도 경산시 와촌면 계전리
마*농장,한우,경상북도 경산시 진량읍 마곡리
하*농장,한우,경상북도 경산시 남산면 하대리
영*농장,한우,경상북도 경산시 남천면 신방리
부*1농장,한우,경상북도 경산시 용성면 내촌리
평*농장,한우,경상북도 경산시 와촌면 상암리
새*산축산,육우,경상북도 경산시 남산면 하대리
실*리농원,한우,경상북도 경산시 와촌면 덕촌리
상*농장,한우,경상북도 경산시 용성면 미산리
성*목장,한우,경상북도 경산시 용성면 송림리
종*농장,한우,경상북도 경산시 용성면 내촌리
우*농장,한우,경상북도 경산시 용성면 도덕리
황*네축산한우,한우,경상북도 경산시 용성면 도덕리
무*농장,한우,경상북도 경산시 남천면 신방리
미*목장,한우,경상북도 경산시 용성면 고죽리
고*돌농장,한우,경상북도 경산시 용성면 미산리
소*이네 농장,한우,경상북도 경산시 용성면 미산리
보*농장,한우,경상북도 경산시 용성면 송림리
도*농원,한우,경상북도 경산시 용성면 내촌리
대*농장,한우,경상북도 경산시 압량읍 신월리
가*농장,염소,경상북도 경산시 자인면 신도리
사*절 제2농장,한우,경상북도 경산시 용성면 미산리
늘*른목장,한우,경상북도 경산시 용성면 외촌리
설*농장,한우,경상북도 경산시 용성면 미산리
한*2농장,한우,경상북도 경산시 와촌면 대동
남*농장,한우,경상북도 경산시 남천면 신방리
맛*락2농장,한우,경상북도 경산시 자인면 북사리
고*팜,한우,경상북도 경산시 와촌면 덕촌리
방*목장,한우,경상북도 경산시 용성면 송림리
대*농장 2,한우,경상북도 경산시 와촌면 대동
대*농장,한우,경상북도 경산시 하양읍 대곡리
금*농장,한우,경상북도 경산시 와촌면 대동
일*농장,한우,경상북도 경산시 자인면 계림리
대*산농장3,한우,경상북도 경산시 남산면 송내리
산*농장,한우,경상북도 경산시 남산면 경리
고*돌 농장2,한우,경상북도 경산시 용성면 미산리
금*농장 2,한우,경상북도 경산시 진량읍 평사(平)리
서*골 농원,한우,경상북도 경산시 남산면 반곡리
산*농장,한우,경상북도 경산시 남천면 구일리
돌*농장,한우,경상북도 경산시 자인면 읍천리
느*농장,한우,경상북도 경산시 용성면 일광리
상*농장,한우,경상북도 경산시 용성면 미산리
자*축사,한우,경상북도 경산시 자인면 북사리
해*농장,한우,경상북도 경산시 자인면 옥천리
동*목장 2,한우,경상북도 경산시 남천면 대명리
베*로농장,한우,경상북도 경산시 용성면 덕천리
목*향기 농장,한우,경상북도 경산시 자인면 북사리
석*농장,한우,경상북도 경산시 용성면 곡란리
대*농장,한우,경상북도 경산시 용성면 미산리
쪽*농장,한우,경상북도 경산시 용성면 송림리
남*농원,한우,경상북도 경산시 내동
육*농장,염소,경상북도 경산시 자인면 북사리
타*농장,한우,경상북도 경산시 용성면 내촌리
안*농장,한우,경상북도 경산시 와촌면 계전리
삼*한우농장,한우,경상북도 경산시 용성면 고은리
대*목장,한우,경상북도 경산시 자인면 남신리
자*축사,한우,경상북도 경산시 자인면 북사리
대*2목장,한우,경상북도 경산시 자인면 남신리
태*농장,한우,경상북도 경산시 자인면 계남리
청*원 한우농장2,한우,경상북도 경산시 남천면 흥산리
도*염소농장,염소,경상북도 경산시 용성면 도덕리
윤*농장,한우,경상북도 경산시 용성면 도덕리
영*농장,한우,경상북도 경산시 용성면 덕천리
풀*소(와촌),한우,경상북도 경산시 와촌면 덕촌리
초*농장,한우,경상북도 경산시 와촌면 시천리
백*축산,한우,경상북도 경산시 자인면 남신리
해*목장2,한우,경상북도 경산시 용성면 덕천리
삼*현농장,한우,경상북도 경산시 남산면 인흥리
해*목장3,한우,경상북도 경산시 용성면 내촌리
부*2농장,한우,경상북도 경산시 용성면 내촌리
하*농장,산양,경상북도 경산시 갑제동
우*농장,염소,경상북도 경산시 용성면 부제리
대*농장,염소,경상북도 경산시 진량읍 광석리
소*목장,한우,경상북도 경산시 와촌면 소월리
유*농장,한우,경상북도 경산시 용성면 내촌리
영*농장,한우,경상북도 경산시 용성면 송림리
정*농장,한우,경상북도 경산시 용성면 송림리
푸*달걀농장,종계/산란계,경상북도 경산시 남천면 흥산리
햇*농원,육우,경상북도 경산시 진량읍 양기리
황*장,한우,경상북도 경산시 남산면 경리
곡*농장,한우,경상북도 경산시 용성면 곡신리
오*농장(3),한우,경상북도 경산시 남산면 연하리
신*농장,한우,경상북도 경산시 와촌면 신한리
행*농장,한우,경상북도 경산시 진량읍 현내리
공*농원,한우,경상북도 경산시 자인면 신도리
자*목장,한우,경상북도 경산시 남천면 흥산리
