사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
박**농장,한우,경상북도 청도군 청도읍 덕암리 ,4,2026-05-11
부**농장,한우,경상북도 청도군 청도읍 덕암리 ,12,2026-05-11
진**농장,한우,경상북도 청도군 청도읍 무등리 ,17,2026-05-11
참**농장,한우,경상북도 청도군 청도읍 무등리 ,40,2026-05-11
현**농장,한우,경상북도 청도군 청도읍 무등리 ,80,2026-05-11
용**목장,한우,경상북도 청도군 청도읍 무등리 ,20,2026-05-11
현**농장,한우,경상북도 청도군 청도읍 무등리 ,20,2026-05-11
준**농장,한우,경상북도 청도군 청도읍 부야리 ,10,2026-05-11
종**농장,한우,경상북도 청도군 청도읍 부야리 ,24,2026-05-11
동**농장,한우,경상북도 청도군 청도읍 부야리 ,19,2026-05-11
수**농장,한우,경상북도 청도군 청도읍 부야리 ,8,2026-05-11
희**농장,한우,경상북도 청도군 청도읍 부야리 ,19,2026-05-11
절**농장,한우,경상북도 청도군 청도읍 부야리 ,40,2026-05-11
한**농장,한우,경상북도 청도군 청도읍 부야리 ,16,2026-05-11
민**농장,한우,경상북도 청도군 청도읍 부야리 ,18,2026-05-11
최**농장,한우,경상북도 청도군 청도읍 부야리 ,25,2026-05-11
서**농장,한우,경상북도 청도군 청도읍 부야리 ,4,2026-05-11
대**농장,한우,경상북도 청도군 청도읍 부야리 ,200,2026-05-11
제**농장,한우,경상북도 청도군 청도읍 부야리 ,25,2026-05-11
동**농장,한우,경상북도 청도군 청도읍 부야리 ,6,2026-05-11
병**농장,한우,경상북도 청도군 청도읍 부야리 ,0,2026-05-11
가**농장,한우,경상북도 청도군 청도읍 부야리 ,0,2026-05-11
안**농장,한우,경상북도 청도군 청도읍 안인리 ,23,2026-05-11
기**농장,한우,경상북도 청도군 청도읍 안인리 ,5,2026-05-11
곰**농장,한우,경상북도 청도군 청도읍 안인리 ,22,2026-05-11
승**농장,한우,경상북도 청도군 청도읍 운산리 ,20,2026-05-11
인**농장,한우,경상북도 청도군 청도읍 원정리 ,60,2026-05-11
달**농장,한우,경상북도 청도군 청도읍 원정리 ,48,2026-05-11
웅**농장,한우,경상북도 청도군 청도읍 원정리 ,20,2026-05-11
병**농장,한우,경상북도 청도군 청도읍 원정리 ,20,2026-05-11
도**농장,한우,경상북도 청도군 청도읍 원정리 ,18,2026-05-11
병**농장,한우,경상북도 청도군 청도읍 원정리 ,40,2026-05-11
길**농장,한우,경상북도 청도군 청도읍 원정리 ,4,2026-05-11
원**농장,한우,경상북도 청도군 청도읍 원정리 ,0,2026-05-11
태**농장,한우,경상북도 청도군 청도읍 원정리 ,0,2026-05-11
성**농장,한우,경상북도 청도군 청도읍 월곡리 ,20,2026-05-11
이**농장,한우,경상북도 청도군 청도읍 월곡리 ,3,2026-05-11
성**농장,한우,경상북도 청도군 청도읍 월곡리 ,0,2026-05-11
황**농장,한우,경상북도 청도군 풍각면 금곡리 ,40,2026-05-11
초**목장,한우,경상북도 청도군 풍각면 금곡리 ,25,2026-05-11
희**농장,한우,경상북도 청도군 풍각면 금곡리 ,10,2026-05-11
정**농장,한우,경상북도 청도군 풍각면 금곡리 ,11,2026-05-11
우**농장,한우,경상북도 청도군 풍각면 덕양리 ,40,2026-05-11
칠**축산,한우,경상북도 청도군 풍각면 덕양리 ,400,2026-05-11
후**농장,한우,경상북도 청도군 풍각면 덕양리 ,40,2026-05-11
상**농장,한우,경상북도 청도군 풍각면 덕양리 ,44,2026-05-11
숙**농장,한우,경상북도 청도군 풍각면 덕양리 ,30,2026-05-11
동**목장,한우,경상북도 청도군 풍각면 덕양리 ,30,2026-05-11
풍**농장,한우,경상북도 청도군 풍각면 덕양리 ,30,2026-05-11
금**농장,한우,경상북도 청도군 풍각면 덕양리 ,17,2026-05-11
진**농장,한우,경상북도 청도군 풍각면 덕양리 ,10,2026-05-11
송**농장,한우,경상북도 청도군 풍각면 덕양리 ,47,2026-05-11
우**농장,한우,경상북도 청도군 풍각면 덕양리 ,80,2026-05-11
산**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
승**농장,한우,경상북도 청도군 풍각면 덕양리 ,94,2026-05-11
대**농장,한우,경상북도 청도군 풍각면 덕양리 ,240,2026-05-11
양**농장,한우,경상북도 청도군 풍각면 덕양리 ,5,2026-05-11
호**농장,한우,경상북도 청도군 풍각면 덕양리 ,40,2026-05-11
영**농장,한우,경상북도 청도군 풍각면 덕양리 ,100,2026-05-11
부**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
푸**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
상**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
가**축산Ⅱ,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
보**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
준**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
덕**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
청**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
동**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
정**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
푸**농장,한우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
봉**농장,한우,경상북도 청도군 풍각면 봉기리 ,18,2026-05-11
성**농장,한우,경상북도 청도군 풍각면 봉기리 ,28,2026-05-11
태**농장,한우,경상북도 청도군 풍각면 봉기리 ,81,2026-05-11
천**농장,한우,경상북도 청도군 풍각면 봉기리 ,43,2026-05-11
태**축산,한우,경상북도 청도군 풍각면 봉기리 ,14,2026-05-11
봉**농장,한우,경상북도 청도군 풍각면 봉기리 ,15,2026-05-11
수**우스,한우,경상북도 청도군 풍각면 봉기리 ,35,2026-05-11
한**농장,한우,경상북도 청도군 풍각면 봉기리 ,21,2026-05-11
전**축산,한우,경상북도 청도군 풍각면 봉기리 ,40,2026-05-11
신**농장,한우,경상북도 청도군 풍각면 봉기리 ,11,2026-05-11
정**농장,한우,경상북도 청도군 풍각면 봉기리 ,23,2026-05-11
우**축산,한우,경상북도 청도군 풍각면 봉기리 ,14,2026-05-11
우**농장,한우,경상북도 청도군 풍각면 봉기리 ,60,2026-05-11
대**농장,한우,경상북도 청도군 풍각면 봉기리 ,43,2026-05-11
봉**농장,한우,경상북도 청도군 풍각면 봉기리 ,60,2026-05-11
손**농장,한우,경상북도 청도군 풍각면 봉기리 ,2,2026-05-11
변**농장,한우,경상북도 청도군 풍각면 봉기리 ,19,2026-05-11
변**농장,한우,경상북도 청도군 풍각면 봉기리 ,4,2026-05-11
병**농장,한우,경상북도 청도군 풍각면 봉기리 ,60,2026-05-11
순**농장,한우,경상북도 청도군 풍각면 봉기리 ,5,2026-05-11
스**팜,한우,경상북도 청도군 풍각면 봉기리 ,0,2026-05-11
변**농장,한우,경상북도 청도군 풍각면 봉기리 ,3,2026-05-11
농**축산,한우,경상북도 청도군 풍각면 봉기리 ,0,2026-05-11
종**농장,한우,경상북도 청도군 풍각면 성곡리 ,39,2026-05-11
김**농장,한우,경상북도 청도군 풍각면 성곡리 ,2,2026-05-11
백**농장,한우,경상북도 청도군 풍각면 성곡리 ,0,2026-05-11
종**농장,한우,경상북도 청도군 풍각면 송서리 ,40,2026-05-11
순**농장,한우,경상북도 청도군 풍각면 송서리 ,20,2026-05-11
재**농장,한우,경상북도 청도군 풍각면 송서리 ,30,2026-05-11
성**농장,한우,경상북도 청도군 풍각면 송서리 ,46,2026-05-11
영**농장,한우,경상북도 청도군 풍각면 송서리 ,57,2026-05-11
대**농장,한우,경상북도 청도군 풍각면 송서리 ,66,2026-05-11
재**농장,한우,경상북도 청도군 풍각면 송서리 ,20,2026-05-11
경**목장,한우,경상북도 청도군 풍각면 송서리 ,20,2026-05-11
송**농장,한우,경상북도 청도군 풍각면 송서리 ,17,2026-05-11
풍**농장,한우,경상북도 청도군 풍각면 송서리 ,17,2026-05-11
협**농장,한우,경상북도 청도군 풍각면 송서리 ,98,2026-05-11
도**농장,한우,경상북도 청도군 풍각면 송서리 ,9,2026-05-11
박**농장,한우,경상북도 청도군 풍각면 송서리 ,13,2026-05-11
송**농장,한우,경상북도 청도군 풍각면 송서리 ,7,2026-05-11
정**목장,한우,경상북도 청도군 풍각면 송서리 ,0,2026-05-11
안**농장,한우,경상북도 청도군 풍각면 안산리 ,55,2026-05-11
최**농장,한우,경상북도 청도군 풍각면 안산리 ,8,2026-05-11
박**농장,한우,경상북도 청도군 풍각면 안산리 ,1,2026-05-11
임**농장,한우,경상북도 청도군 풍각면 월봉리,3,2026-05-11
수**농장,한우,경상북도 청도군 풍각면 월봉리 ,20,2026-05-11
창**축사,한우,경상북도 청도군 풍각면 월봉리 ,22,2026-05-11
기**농장,한우,경상북도 청도군 풍각면 월봉리 ,0,2026-05-11
풍**농장,한우,경상북도 청도군 풍각면 차산리 ,1,2026-05-11
깜**,한우,경상북도 청도군 풍각면 차산리 ,0,2026-05-11
변**,한우,경상북도 청도군 풍각면 현리리 ,30,2026-05-11
삼**축산,한우,경상북도 청도군 풍각면 현리리 ,60,2026-05-11
제**농장,한우,경상북도 청도군 풍각면 현리리 ,50,2026-05-11
명**농장,한우,경상북도 청도군 풍각면 현리리 ,26,2026-05-11
명**농장,한우,경상북도 청도군 풍각면 현리리 ,35,2026-05-11
정**농장,한우,경상북도 청도군 풍각면 현리리 ,14,2026-05-11
강**창희,한우,경상북도 청도군 풍각면 현리리 ,3,2026-05-11
변**농장,한우,경상북도 청도군 풍각면 현리리 ,0,2026-05-11
수**농장,한우,경상북도 청도군 풍각면 현리리 ,0,2026-05-11
김**농장,한우,경상북도 청도군 풍각면 화산리 ,5,2026-05-11
진**농장,한우,경상북도 청도군 풍각면 흑석리 ,48,2026-05-11
광**농장,한우,경상북도 청도군 풍각면 흑석리 ,19,2026-05-11
석**농장,한우,경상북도 청도군 풍각면 흑석리 ,12,2026-05-11
흑**농장,한우,경상북도 청도군 풍각면 흑석리 ,40,2026-05-11
성**농장,한우,경상북도 청도군 풍각면 흑석리 ,95,2026-05-11
구**농장,한우,경상북도 청도군 풍각면 흑석리 ,5,2026-05-11
세**농장,한우,경상북도 청도군 풍각면 흑석리 ,0,2026-05-11
형**농장,한우,경상북도 청도군 풍각면 흑석리 ,63,2026-05-11
순**농장,한우,경상북도 청도군 풍각면 흑석리 ,0,2026-05-11
최**축산,한우,경상북도 청도군 풍각면 흑석리 ,0,2026-05-11
안**농장,한우,경상북도 청도군 풍각면 흑석리 ,4,2026-05-11
제**농장,한우,경상북도 청도군 화양읍 고평리 ,2,2026-05-11
춘**농장,한우,경상북도 청도군 화양읍 눌미리 ,10,2026-05-11
재**농장,한우,경상북도 청도군 화양읍 눌미리 ,170,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 눌미리 ,30,2026-05-11
수**농장,한우,경상북도 청도군 화양읍 눌미리 ,10,2026-05-11
영**농장,한우,경상북도 청도군 화양읍 눌미리 ,10,2026-05-11
화**농장,한우,경상북도 청도군 화양읍 눌미리 ,0,2026-05-11
다**농장,한우,경상북도 청도군 화양읍 다로리 ,60,2026-05-11
다**농장,한우,경상북도 청도군 화양읍 다로리 ,20,2026-05-11
서**농장,한우,경상북도 청도군 화양읍 다로리 ,27,2026-05-11
이**농장,한우,경상북도 청도군 화양읍 동천리 ,70,2026-05-11
최**농장,한우,경상북도 청도군 화양읍 동천리 ,84,2026-05-11
성**농장,한우,경상북도 청도군 화양읍 동천리 ,30,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 동천리 ,7,2026-05-11
화**농장,한우,경상북도 청도군 화양읍 동천리 ,20,2026-05-11
무**농장,한우,경상북도 청도군 화양읍 동천리 ,12,2026-05-11
화**축산,한우,경상북도 청도군 화양읍 동천리 ,30,2026-05-11
화**농장,한우,경상북도 청도군 화양읍 동천리 ,11,2026-05-11
박**농장,한우,경상북도 청도군 화양읍 동천리 ,0,2026-05-11
청**축사,한우,경상북도 청도군 화양읍 범곡리 ,20,2026-05-11
정**농장,한우,경상북도 청도군 화양읍 삼신리 ,20,2026-05-11
삼**농장,한우,경상북도 청도군 화양읍 삼신리 ,35,2026-05-11
이**농장,한우,경상북도 청도군 화양읍 삼신리 ,7,2026-05-11
삼**농장,한우,경상북도 청도군 화양읍 삼신리 ,0,2026-05-11
큰**농장,한우,경상북도 청도군 화양읍 삼신리 ,0,2026-05-11
김**농장,한우,경상북도 청도군 화양읍 서상리 ,29,2026-05-11
이**농장,한우,경상북도 청도군 화양읍 서상리 ,38,2026-05-11
수**농원,한우,경상북도 청도군 화양읍 서상리 ,56,2026-05-11
화**농장,한우,경상북도 청도군 화양읍 서상리 ,16,2026-05-11
정**농장,한우,경상북도 청도군 화양읍 서상리 ,20,2026-05-11
홍**농장,한우,경상북도 청도군 화양읍 서상리 ,39,2026-05-11
희**농장,한우,경상북도 청도군 화양읍 서상리 ,12,2026-05-11
도**농장,한우,경상북도 청도군 화양읍 서상리 ,16,2026-05-11
혜**농장,한우,경상북도 청도군 화양읍 서상리 ,11,2026-05-11
오**농장,한우,경상북도 청도군 화양읍 서상리 ,0,2026-05-11
미**농장,한우,경상북도 청도군 화양읍 서상리 ,0,2026-05-11
다**농장,한우,경상북도 청도군 화양읍 서상리 ,4,2026-05-11
이**농장,한우,경상북도 청도군 화양읍 소라리 ,33,2026-05-11
소**축산,한우,경상북도 청도군 화양읍 소라리 ,50,2026-05-11
파**농장,한우,경상북도 청도군 화양읍 소라리 ,30,2026-05-11
소**목장,한우,경상북도 청도군 화양읍 소라리 ,16,2026-05-11
땡**농장,한우,경상북도 청도군 화양읍 소라리 ,30,2026-05-11
파**농장,한우,경상북도 청도군 화양읍 소라리 ,50,2026-05-11
희**농장,한우,경상북도 청도군 화양읍 소라리 ,30,2026-05-11
수**농장,한우,경상북도 청도군 화양읍 소라리 ,0,2026-05-11
호**농장,한우,경상북도 청도군 화양읍 소라리 ,0,2026-05-11
순**농장,한우,경상북도 청도군 화양읍 송금리 ,65,2026-05-11
서**농장,한우,경상북도 청도군 화양읍 송금리 ,10,2026-05-11
금**농장,한우,경상북도 청도군 화양읍 송금리 ,25,2026-05-11
성**농장,한우,경상북도 청도군 화양읍 송북리 ,26,2026-05-11
아**농장,한우,경상북도 청도군 화양읍 신봉리 ,20,2026-05-11
아**농장,한우,경상북도 청도군 화양읍 신봉리 ,17,2026-05-11
대**농장,한우,경상북도 청도군 화양읍 신봉리 ,20,2026-05-11
안**농장,한우,경상북도 청도군 화양읍 신봉리 ,10,2026-05-11
장**농장,한우,경상북도 청도군 화양읍 신봉리 ,0,2026-05-11
대**농장,한우,경상북도 청도군 화양읍 신봉리 ,0,2026-05-11
김**농장,한우,경상북도 청도군 화양읍 유등리 ,20,2026-05-11
김**농장,한우,경상북도 청도군 화양읍 유등리 ,34,2026-05-11
장**농장,한우,경상북도 청도군 화양읍 유등리 ,12,2026-05-11
청**농장,한우,경상북도 청도군 화양읍 유등리 ,7,2026-05-11
재**농장,한우,경상북도 청도군 화양읍 유등리 ,54,2026-05-11
영**농원,한우,경상북도 청도군 화양읍 유등리 ,5,2026-05-11
김**농장,한우,경상북도 청도군 화양읍 유등리 ,38,2026-05-11
천**농장,한우,경상북도 청도군 화양읍 유등리 ,12,2026-05-11
도**농장,한우,경상북도 청도군 화양읍 유등리 ,4,2026-05-11
칠**농장,한우,경상북도 청도군 화양읍 유등리 ,50,2026-05-11
유**농장,한우,경상북도 청도군 화양읍 유등리 ,20,2026-05-11
꼴**농장,한우,경상북도 청도군 화양읍 유등리 ,42,2026-05-11
칠**한우2,한우,경상북도 청도군 화양읍 유등리 ,97,2026-05-11
종**농장,한우,경상북도 청도군 화양읍 유등리 ,0,2026-05-11
칠**농장,한우,경상북도 청도군 화양읍 유등리 ,0,2026-05-11
청**농장,한우,경상북도 청도군 화양읍 진라리 ,100,2026-05-11
윤**농장,한우,경상북도 청도군 화양읍 진라리 ,34,2026-05-11
명**농장,한우,경상북도 청도군 화양읍 진라리 ,25,2026-05-11
운**농장,한우,경상북도 청도군 화양읍 진라리 ,7,2026-05-11
형**농장,한우,경상북도 청도군 화양읍 진라리 ,15,2026-05-11
새**농장,한우,경상북도 청도군 화양읍 진라리 ,45,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 토평리 ,140,2026-05-11
토**농장,한우,경상북도 청도군 화양읍 토평리 ,60,2026-05-11
영**농장,한우,경상북도 청도군 화양읍 토평리 ,116,2026-05-11
태**농장,한우,경상북도 청도군 화양읍 토평리 ,35,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 토평리 ,28,2026-05-11
완**농장,한우,경상북도 청도군 화양읍 토평리 ,0,2026-05-11
현**농장,한우,경상북도 청도군 화양읍 합천리 ,20,2026-05-11
명**농장,한우,경상북도 청도군 화양읍 합천리 ,30,2026-05-11
태**농장,한우,경상북도 청도군 화양읍 합천리 ,52,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 합천리 ,15,2026-05-11
초**농장,한우,경상북도 청도군 화양읍 합천리 ,110,2026-05-11
재**농장,한우,경상북도 청도군 화양읍 합천리 ,44,2026-05-11
공**농장,한우,경상북도 청도군 화양읍 합천리 ,25,2026-05-11
명**목장,한우,경상북도 청도군 화양읍 합천리 ,120,2026-05-11
재**농장,한우,경상북도 청도군 화양읍 합천리 ,5,2026-05-11
소**목장,한우,경상북도 청도군 화양읍 합천리 ,55,2026-05-11
에**농장,한우,경상북도 청도군 화양읍 합천리 ,20,2026-05-11
고**농장,한우,경상북도 청도군 화양읍 합천리 ,14,2026-05-11
상**농장,한우,경상북도 청도군 화양읍 합천리 ,16,2026-05-11
징**농장,한우,경상북도 청도군 화양읍 합천리 ,68,2026-05-11
우**농장,한우,경상북도 청도군 화양읍 합천리 ,13,2026-05-11
매**농장,한우,경상북도 청도군 화양읍 합천리 ,80,2026-05-11
달**농장,한우,경상북도 청도군 화양읍 합천리 ,41,2026-05-11
오**농장,한우,경상북도 청도군 화양읍 합천리 ,30,2026-05-11
김**농장,한우,경상북도 청도군 화양읍 합천리 ,35,2026-05-11
남**농장,한우,경상북도 청도군 화양읍 합천리 ,49,2026-05-11
재**농장,한우,경상북도 청도군 화양읍 합천리 ,160,2026-05-11
루**농장,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
대**농장,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
건**농장,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
유**농장,한우,경상북도 청도군 화양읍 합천리 ,50,2026-05-11
지**계절,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
청**농장,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
화**농장,한우,경상북도 청도군 화양읍 합천리 ,0,2026-05-11
장**농장,종계/산란계,경상북도 청도군 각남면 함박리 ,100,2026-05-11
소**농장,종계/산란계,경상북도 청도군 금천면 소천리 ,300,2026-05-11
이**농원,종계/산란계,경상북도 청도군 매전면 금천리 ,0,2026-05-11
대**농원,종계/산란계,경상북도 청도군 청도읍 운산리 ,70,2026-05-11
지**로닭,종계/산란계,경상북도 청도군 이서면 대곡리 ,1000,2026-05-11
박**농장,종계/산란계,경상북도 청도군 이서면 팔조리 ,50,2026-05-11
정**농장,종계/산란계,경상북도 청도군 이서면 학산리 ,20,2026-05-11
현**농장,종계/산란계,경상북도 청도군 청도읍 무등리 ,50,2026-05-11
청**그린,종계/산란계,경상북도 청도군 풍각면 흑석리 ,60000,2026-05-11
청**축산,종계/산란계,경상북도 청도군 풍각면 흑석리 ,89600,2026-05-11
이**농장,종계/산란계,경상북도 청도군 화양읍 삼신리 ,48,2026-05-11
석**농장,종계/산란계,경상북도 청도군 화양읍 송북리 ,45,2026-05-11
성**농장,젖소,경상북도 청도군 각남면 녹명리 ,60,2026-05-11
원**농장,젖소,경상북도 청도군 매전면 남양리 ,90,2026-05-11
대**목장,젖소,경상북도 청도군 매전면 상평리 ,45,2026-05-11
철**목장,젖소,경상북도 청도군 이서면 가금리 ,65,2026-05-11
김**농장,젖소,경상북도 청도군 이서면 신촌리 ,25,2026-05-11
덕**목장,젖소,경상북도 청도군 청도읍 무등리 ,30,2026-05-11
안**목장,젖소,경상북도 청도군 풍각면 안산리 ,100,2026-05-11
수**농장,젖소,경상북도 청도군 풍각면 안산리 ,50,2026-05-11
치**목장,젖소,경상북도 청도군 화양읍 동상리 ,55,2026-05-11
정**목장,젖소,경상북도 청도군 화양읍 동천리 ,80,2026-05-11
동**목장,젖소,경상북도 청도군 화양읍 동천리 ,80,2026-05-11
푸**목장,젖소,경상북도 청도군 화양읍 합천리 ,40,2026-05-11
스**농장,육우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
상**농장,육우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
용**농장,육우,경상북도 청도군 매전면 남양리 ,50,2026-05-11
임**농장,육우,경상북도 청도군 매전면 남양리 ,0,2026-05-11
웅**농장,육우,경상북도 청도군 풍각면 덕양리 ,0,2026-05-11
청**농장,육계,경상북도 청도군 각남면 구곡리 ,1000,2026-05-11
각**농장,육계,경상북도 청도군 각북면 남산리 ,66700,2026-05-11
버**농장,육계,경상북도 청도군 매전면 금곡리 ,100,2026-05-11
풍**농장,육계,경상북도 청도군 풍각면 금곡리 ,3000,2026-05-11
김**농장,육계,경상북도 청도군 화양읍 유등리 ,50,2026-05-11
박**농장,염소,경상북도 청도군 금천면 박곡리 ,60,2026-05-11
문**농장,염소,경상북도 청도군 매전면 지전리 ,0,2026-05-11
무**농장,염소,경상북도 청도군 청도읍 무등리 ,0,2026-05-11
장**목장,염소,경상북도 청도군 풍각면 송서리 ,0,2026-05-11
석**농장,염소,경상북도 청도군 화양읍 송북리 ,16,2026-05-11
최**농장,산양,경상북도 청도군 금천면 박곡리 ,5,2026-05-11
박**농장,산양,경상북도 청도군 금천면 박곡리 ,5,2026-05-11
소**농장,산양,경상북도 청도군 금천면 소천리 ,500,2026-05-11
염**농장,산양,경상북도 청도군 금천면 임당리 ,200,2026-05-11
박**농장,산양,경상북도 청도군 매전면 내리 ,0,2026-05-11
옹**염소,산양,경상북도 청도군 운문면 오진리 ,180,2026-05-11
욱**농장,산양,경상북도 청도군 청도읍 부야리 ,30,2026-05-11
상**농장,산란육성계,경상북도 청도군 금천면 신지리 ,4600,2026-05-11
금**농장,산란육성계,경상북도 청도군 이서면 대곡리 ,50,2026-05-11
풍**농장,산란육성계,경상북도 청도군 풍각면 흑석리 ,3000,2026-05-11
김**농장,사슴,경상북도 청도군 청도읍 거연리 ,10,2026-05-11
백**농장,사슴,경상북도 청도군 풍각면 안산리 ,0,2026-05-11
강**농장,돼지,경상북도 청도군 각남면 구곡리 ,0,2026-05-11
강**농장,돼지,경상북도 청도군 각남면 구곡리 ,900,2026-05-11
청**축산,돼지,경상북도 청도군 각남면 녹명리 ,2300,2026-05-11
e**농장,돼지,경상북도 청도군 각남면 칠성리 ,700,2026-05-11
석**농장,돼지,경상북도 청도군 각북면 우산리 ,700,2026-05-11
소**농장,돼지,경상북도 청도군 금천면 소천리 ,1400,2026-05-11
송**농장,돼지,경상북도 청도군 매전면 덕산리 ,800,2026-05-11
송**농장,돼지,경상북도 청도군 매전면 덕산리 ,0,2026-05-11
태**축산,돼지,경상북도 청도군 매전면 장연리 ,1600,2026-05-11
이**농장,돼지,경상북도 청도군 매전면 장연리 ,1350,2026-05-11
제**축산,돼지,경상북도 청도군 매전면 하평리 ,2000,2026-05-11
e**농장,돼지,경상북도 청도군 이서면 가금리 ,1670,2026-05-11
현**농장,돼지,경상북도 청도군 이서면 가금리 ,2400,2026-05-11
e**농장,돼지,경상북도 청도군 이서면 가금리 ,0,2026-05-11
재**농장,돼지,경상북도 청도군 이서면 금촌리 ,1000,2026-05-11
태**농장,돼지,경상북도 청도군 이서면 대곡리 ,1800,2026-05-11
대**농원,돼지,경상북도 청도군 이서면 서원리 ,3500,2026-05-11
평**농장,돼지,경상북도 청도군 이서면 흥선리 ,1500,2026-05-11
쌍**농장,돼지,경상북도 청도군 이서면 흥선리 ,4000,2026-05-11
영**농장,돼지,경상북도 청도군 청도읍 내호리 ,2500,2026-05-11
양**농장,돼지,경상북도 청도군 청도읍 평양리 ,850,2026-05-11
승**농장,돼지,경상북도 청도군 풍각면 덕양리 ,1100,2026-05-11
대**농장,돼지,경상북도 청도군 풍각면 성곡리 ,3000,2026-05-11
농업회사법인**농장,돼지,경상북도 청도군 풍각면 안산리 ,0,2026-05-11
송**농장,돼지,경상북도 청도군 풍각면 월봉리 ,350,2026-05-11
신**농장,돼지,경상북도 청도군 풍각면 현리리 ,1000,2026-05-11
상**농장,돼지,경상북도 청도군 풍각면 흑석리 ,2000,2026-05-11
한**자원,돼지,경상북도 청도군 화양읍 진라리 ,100,2026-05-11
