사업장명칭,주사육업종,사업장소재지,적정사육두수
녹황우생산농장,한우,전라남도 보성군 보성읍 ,119
최형면농장,한우,전라남도 보성군 미력면 ,49
정형섭농장,한우,전라남도 보성군 미력면 ,152
고음농장,한우,전라남도 보성군 율어면 ,126
어무실농장,한우,전라남도 보성군 복내면 ,57
김판오농장,한우,전라남도 보성군 조성면 ,118
마천농장,한우,전라남도 보성군 득량면 ,182
대룡농장,한우,전라남도 보성군 득량면 ,86
이규태농장,한우,전라남도 보성군 회천면 ,36
월정유기농장(정심원),종계/산란계,전라남도 보성군 벌교읍 ,176
이공님농장,오리,전라남도 보성군 조성면 ,14615
화성목장(두평),육우,전라남도 보성군 벌교읍 ,64
봉황농장,한우,전라남도 보성군 벌교읍 ,79
조성축산(육우)영농조합법인,한우,전라남도 보성군 조성면 ,110
영등농장,육계,전라남도 보성군 벌교읍 ,129658
평촌농장,한우,전라남도 보성군 보성읍 ,147
김규현농장,한우,전라남도 보성군 미력면 ,34
봉천농장,한우,전라남도 보성군 복내면 ,66
김동복농장,한우,전라남도 보성군 복내면 ,99
효성농장,한우,전라남도 보성군 율어면 ,49
김국열농장,한우,전라남도 보성군 율어면 ,52
전충농장,한우,전라남도 보성군 보성읍 ,92
대광농장,젖소,전라남도 보성군 보성읍 ,44
만수농장,젖소,전라남도 보성군 보성읍 ,95
박남숙목장,젖소,전라남도 보성군 보성읍 ,109
활천농장,젖소,전라남도 보성군 보성읍 ,67
설동진농장,한우,전라남도 보성군 벌교읍 ,33
대성목장,젖소,전라남도 보성군 노동면 ,174
박완주농장,한우,전라남도 보성군 미력면 ,42
대룡목장,젖소,전라남도 보성군 미력면 ,98
송정목장,젖소,전라남도 보성군 율어면 ,72
자담농장,종계/산란계,전라남도 보성군 미력면 ,734
튼튼농장,한우,전라남도 보성군 조성면 ,52
선학규농장,한우,전라남도 보성군 조성면 ,31
용전농장,한우,전라남도 보성군 복내면 ,362
최정열농장,한우,전라남도 보성군 득량면 ,88
이레농원,한우,전라남도 보성군 보성읍 ,33
한재희농장,한우,전라남도 보성군 벌교읍 ,164
금평축산,한우,전라남도 보성군 벌교읍 ,48
호산농장,한우,전라남도 보성군 벌교읍 ,128
봉황농장,젖소,전라남도 보성군 벌교읍 ,132
아브라함 목장 A,젖소,전라남도 보성군 벌교읍 ,105
서안수농장,한우,전라남도 보성군 벌교읍 ,78
선태목장,젖소,전라남도 보성군 득량면 ,160
웰컴투목장,젖소,전라남도 보성군 득량면 ,120
예당목장,한우,전라남도 보성군 득량면 ,158
번영목장,한우,전라남도 보성군 득량면 ,349
복옥목장,젖소,전라남도 보성군 득량면 ,80
쾌일농장,한우,전라남도 보성군 보성읍 ,156
박하균농장,한우,전라남도 보성군 조성면 ,52
성화농장,한우,전라남도 보성군 득량면 ,164
보성축협생축사업장,한우,전라남도 보성군 보성읍 ,285
가릿농장,한우,전라남도 보성군 노동면 ,344
굴매농장,한우,전라남도 보성군 보성읍 ,66
수림목장,젖소,전라남도 보성군 조성면 ,56
강형태농장,한우,전라남도 보성군 벌교읍 ,39
기쁨축산,한우,전라남도 보성군 율어면 ,146
승지농장,돼지,전라남도 보성군 보성읍 ,1631
조연목농장,젖소,전라남도 보성군 벌교읍 ,120
벧엘농장,한우,전라남도 보성군 벌교읍 ,107
김성삼농장,한우,전라남도 보성군 겸백면 ,54
푸른농장,한우,전라남도 보성군 조성면 ,30
최종수농장,한우,전라남도 보성군 보성읍 ,30
태산농장,한우,전라남도 보성군 보성읍 ,67
성덕농장,한우,전라남도 보성군 보성읍 ,115
박금섭농장,한우,전라남도 보성군 보성읍 ,30
수정소농장,한우,전라남도 보성군 보성읍 ,63
자람,한우,전라남도 보성군 보성읍 ,144
강복기농장,한우,전라남도 보성군 벌교읍 ,99
미래목장,젖소,전라남도 보성군 벌교읍 ,113
상경축산,한우,전라남도 보성군 벌교읍 ,288
윤용락농장,한우,전라남도 보성군 복내면 ,99
김정숙농장,한우,전라남도 보성군 조성면 ,127
선영옥농장,한우,전라남도 보성군 득량면 ,149
이종돈농장,한우,전라남도 보성군 득량면 ,83
정봉채농장,한우,전라남도 보성군 율어면 ,33
김주식농장,한우,전라남도 보성군 조성면 ,33
성림축산,돼지,전라남도 보성군 율어면 ,3820
장일양돈,돼지,전라남도 보성군 벌교읍 ,2664
정식래농장,한우,전라남도 보성군 득량면 ,30
윤영백농장,한우,전라남도 보성군 조성면 ,33
장창수농장,한우,전라남도 보성군 복내면 ,27
안준현농장,한우,전라남도 보성군 보성읍 ,28
금곡농장,한우,전라남도 보성군 겸백면 ,88
정의종농장,한우,전라남도 보성군 겸백면 ,39
남현축산,한우,전라남도 보성군 조성면 ,66
백종기농장,한우,전라남도 보성군 조성면 ,253
곽정순 농장,한우,전라남도 보성군 율어면 ,9
정영식농장,한우,전라남도 보성군 율어면 ,35
전홍균농장,한우,전라남도 보성군 율어면 ,53
