연번,사업장명칭,주사육업종,사육두수,데이터기준일자
162,위림농장,한우,74,2026-01-26
163,소농장,한우,6,2026-01-26
164,안골농장,한우,19,2026-01-26
165,부자농장,한우,10,2026-01-26
166,대화농장,한우,153,2026-01-26
167,봉황축산농원,한우,20,2026-01-26
168,윤성농장,한우,19,2026-01-26
169,우승농장,한우,67,2026-01-26
170,현도농장,한우,80,2026-01-26
171,국봉축산,한우,15,2026-01-26
172,채실농원,한우,13,2026-01-26
173,요한목장,한우,12,2026-01-26
174,우람한우,한우,25,2026-01-26
175,한마음농장,한우,32,2026-01-26
176,애련축산,한우,26,2026-01-26
177,고명농장,한우,65,2026-01-26
178,우수농장,한우,28,2026-01-26
179,운학농장,한우,22,2026-01-26
180,바우농장,한우,12,2026-01-26
181,호윤농장,한우,46,2026-01-26
182,행복농장,한우,26,2026-01-26
183,골미봉목장,한우,16,2026-01-26
184,선화목장,한우,114,2026-01-26
185,푸른농장,한우,28,2026-01-26
186,원두막목장,한우,58,2026-01-26
187,은성농장,한우,45,2026-01-26
188,백두축산,한우,81,2026-01-26
189,수경농장,한우,56,2026-01-26
190,남산축산,한우,33,2026-01-26
191,경인농장,한우,30,2026-01-26
192,산해농장,한우,22,2026-01-26
193,절골목장,한우,23,2026-01-26
194,좋은목장,한우,9,2026-01-26
195,서울농장,한우,30,2026-01-26
196,미실농장,한우,20,2026-01-26
197,명도농장,한우,21,2026-01-26
198,자작농장,한우,32,2026-01-26
199,평산농장,한우,21,2026-01-26
200,마루축산,한우,52,2026-01-26
201,대영농장,한우,25,2026-01-26
202,양지뜸 축산,한우,39,2026-01-26
203,남경목장,한우,4,2026-01-26
204,태일농장,한우,20,2026-01-26
205,푸른농장,한우,15,2026-01-26
206,윤정숙 목장,한우,21,2026-01-26
207,OK목장,한우,5,2026-01-26
208,길상농장,한우,17,2026-01-26
209,황금농장,한우,13,2026-01-26
210,형제농장,한우,24,2026-01-26
211,상말농장,한우,70,2026-01-26
212,평산농원,한우,28,2026-01-26
213,소바우농장,한우,26,2026-01-26
214,오티농장,한우,34,2026-01-26
215,한티재한우농장,한우,50,2026-01-26
216,소망농장,한우,51,2026-01-26
217,일용목장,한우,65,2026-01-26
218,오미농장,한우,12,2026-01-26
219,행복축산,한우,22,2026-01-26
220,백호농장,한우,70,2026-01-26
221,송학목장,한우,44,2026-01-26
222,양화목장,한우,64,2026-01-26
223,송화농장,한우,60,2026-01-26
224,태영농장,한우,20,2026-01-26
225,명균축산,한우,218,2026-01-26
226,병열농장,한우,22,2026-01-26
227,동희농장,한우,16,2026-01-26
228,임성농장,한우,23,2026-01-26
229,장등농장,한우,14,2026-01-26
230,장포농장,한우,27,2026-01-26
231,검은돌농장,한우,10,2026-01-26
