사업장명칭,사업장 소재지,사육시설(동),사육시설 규모(제곱미터),사육규모(마리)
성일농장,제주특별자치도 제주시 한림읍 금악리,8,1923.77,1700
장수축산,제주특별자치도 제주시 한림읍 상명리,1,820.24,950
대성농장,제주특별자치도 제주시 한림읍 명월리,7,710.98,574
튼튼농장,제주특별자치도 제주시 한림읍 상대리,5,941.8,746
해피팜,제주특별자치도 제주시 한림읍 금악리,5,2325,4000
스카이팜,제주특별자치도 제주시 한림읍 상대리,5,2037.92,2100
마리아농장,제주특별자치도 제주시 한림읍 금악리,6,2559.4,1886
승원농장,제주특별자치도 제주시 한림읍 명월리,10,2233.1,1710
성주농장,제주특별자치도 제주시 한림읍 명월리,4,709.87,705
제주흑돼지농장,제주특별자치도 제주시 한림읍 상명리,5,659.17,681
육호농장,제주특별자치도 제주시 한림읍 금악리,13,3479.57,3100
태현농장,제주특별자치도 제주시 한림읍 상명리,7,1114.14,830
금원농장,제주특별자치도 제주시 한림읍 금악리,9,3171.47,2642
주사랑농장,제주특별자치도 제주시 한림읍 금악리,4,2192.6,1420
우일축산,제주특별자치도 제주시 한림읍 금악리,9,1780.9,1800
동성농장,제주특별자치도 제주시 구좌읍 김녕리,7,1421.4,1887
동축산업,제주특별자치도 제주시 조천읍 와흘리,10,3429.64,254
유명농장,제주특별자치도 제주시 조천읍 조천리,9,2398.49,2550
진성농장,제주특별자치도 제주시 한림읍 금악리,5,1307,800
우리들농장,제주특별자치도 제주시 한림읍 상대리,2,1720.56,1360
망오름농장,제주특별자치도 제주시 한림읍 상명리,7,2464.95,2327
맹호농장,제주특별자치도 제주시 한림읍 상명리,7,951.7,48
선진농장,제주특별자치도 제주시 애월읍 봉성리,6,1259.8,1235
삼호농장,제주특별자치도 제주시 한림읍 금악리,6,2048.99,1202
믿음농장,제주특별자치도 제주시 한림읍 금악리,8,2028.4,1800
복돼지농장,제주특별자치도 제주시 조천읍 조천리,5,1567.4,2308
영축산업,제주특별자치도 제주시 조천읍 대흘리,9,3555.6,3311
승희농장,제주특별자치도 제주시 한림읍 금악리,5,1740.39,0
칠육농장,제주특별자치도 제주시 한림읍 명월리,7,985.62,481
금석농장,제주특별자치도 제주시 한림읍 상명리,8,1850.8,1600
부민농장,제주특별자치도 제주시 한림읍 상명리,9,2717.68,2600
에스엠축산,제주특별자치도 제주시 한림읍 상명리,9,3131.62,3000
농업회사법인고려 주식회사,제주특별자치도 제주시 한림읍 금악리,10,2219.87,2578
E.F축산,제주특별자치도 제주시 애월읍 고성리,9,2583.24,2764
남광농장,제주특별자치도 제주시 애월읍 고성리,10,2012.5,2120
농업회사법인 (주)피그랜드(제주 백록지점),제주특별자치도 제주시 애월읍 광령리,10,10078.1,4988
승영농장,제주특별자치도 제주시 애월읍 유수암리,5,1659,1652
대현농장,제주특별자치도 제주시 한림읍 금능리,5,1345,1406
탐라축산,제주특별자치도 제주시 애월읍 광령리,8,6291.56,5383
가현농장,제주특별자치도 제주시 한림읍 금악리,4,1930,1291
태명축산,제주특별자치도 제주시 한림읍 금악리,4,2192.6,1831
농업회사법인(주)홍도야지 6농장,제주특별자치도 제주시 한림읍 금악리,5,787.26,847
우진축산,제주특별자치도 제주시 한림읍 금능리,3,967.2,1240
없음,제주특별자치도 제주시 한림읍 월림리,2,392,0
지혁농장,제주특별자치도 제주시 한림읍 상대리,5,1478.22,1060
농업회사법인 주식회사 서현,제주특별자치도 제주시 한경면 조수리,1,369.6,270
동방골농장,제주특별자치도 제주시 한림읍 상대리,1,2407.6,2230
새천년축산,제주특별자치도 제주시 한림읍 명월리,11,2758.8,2067
명성농장,제주특별자치도 제주시 한림읍 금악리,3,2636.32,2400
탐라농장,제주특별자치도 제주시 한림읍 금악리,3,1233.57,1350
덕림농장,제주특별자치도 제주시 한림읍 명월리,3,3454.94,3456
평대농장,제주특별자치도 제주시 구좌읍 한동리,9,2533,2193
케이원영농조합법인,제주특별자치도 제주시 한림읍 금능리,1,741.46,1100
농업회사법인(주)홍도야지 7농장,제주특별자치도 제주시 한림읍 금능리,5,1410.88,1722
일수축산,제주특별자치도 제주시 구좌읍 한동리,3,4838.56,4410
농업회사법인 (주) 대한에코팜 제주지점,제주특별자치도 제주시 구좌읍 한동리,12,3655.4,3350
우리농장,제주특별자치도 제주시 한림읍 상대리,7,19467.2,15986
녹돈다원,제주특별자치도 제주시 한림읍 금능리,3,3546,3700
유환농장,제주특별자치도 제주시 한림읍 금악리,6,1232.92,970
홍석양돈,제주특별자치도 제주시 한림읍 금악리,4,2219.6,2210
현소농장,제주특별자치도 제주시 한림읍 금악리,12,4556.56,0
제일축산,제주특별자치도 제주시 한림읍 금악리,9,2562.08,3100
금능축산,제주특별자치도 제주시 한림읍 금능리,6,1591.34,1416
영축축산,제주특별자치도 제주시 조천읍 조천리,3,2191.18,2599
아름팜,제주특별자치도 제주시 한림읍 상명리,1,921.34,990
영훈농장,제주특별자치도 제주시 조천읍 대흘리,3,1975.2,1815
한길농장,제주특별자치도 제주시 구좌읍 한동리,10,2798.34,3187
삼축산업,제주특별자치도 제주시 애월읍 장전리,7,3400.86,2565
에덴농장,제주특별자치도 제주시 한림읍 금악리,8,1011.45,990
새남농장,제주특별자치도 제주시 한림읍 금악리,5,2638.8,383
청솔농장,제주특별자치도 제주시 한림읍 상대리,4,6148.92,5170
농업회사법인 유한회사 한솔,제주특별자치도 제주시 한림읍 상명리,1,2273.5,2500
케이제이팜,제주특별자치도 제주시 한림읍 금악리,5,1722,2141
장수팜,제주특별자치도 제주시 한림읍 상명리,1,283.01,950
영농조합법인제주광평축산,제주특별자치도 제주시 한림읍 명월리,2,2615.46,1084
신보람농장,제주특별자치도 제주시 한림읍 금악리,10,2550,2500
오름축산,제주특별자치도 제주시 한림읍 금능리,5,13870.37,8877
전희농장,제주특별자치도 제주시 한림읍 상대리,14,1591.43,1409
승광농장,제주특별자치도 제주시 구좌읍 동복리,2,1910.37,1932
오름농장,제주특별자치도 제주시 한림읍 금능리,1,3420.56,2576
호창농장,제주특별자치도 제주시 한경면 조수리,7,1920.2,900
송백농장,제주특별자치도 제주시 한림읍 명월리,8,1955,1904
제일양돈영농조합법인,제주특별자치도 제주시 애월읍 광령리,9,4967.63,5656
선진팜,제주특별자치도 제주시 애월읍 어음리,4,1349.56,1300
제주새벽농장,제주특별자치도 제주시 한림읍 금악리,6,1612.45,1300
SB팜,제주특별자치도 제주시 구좌읍 김녕리,4,1289.6,1290
먼동축산영농조합법인,제주특별자치도 제주시 한림읍 금악리,13,4164.84,4266
동찬양돈,제주특별자치도 제주시 한림읍 금악리,8,2381.5,1498
신천영농조합법인,제주특별자치도 제주시 애월읍 고성리,7,1592.63,455
농업회사법인(주)바오,제주특별자치도 제주시 한림읍 상명리,10,3323.81,2569
돼지사랑농장,제주특별자치도 제주시 구좌읍 김녕리,8,722.99,715
농업회사법인(주)성신,제주특별자치도 제주시 애월읍 고성리,3,1112,1106
농업회사법인 주식회사 서현,제주특별자치도 제주시 애월읍 고성리,7,5161.36,270
제주특별자치도 축산생명연구원,제주특별자치도 제주시 노형동 315번지,3,1669.7,2896
고은축산,제주특별자치도 제주시 한경면 조수리,3,1216.4,979
제주양돈,제주특별자치도 제주시 애월읍 고성리,6,1642.43,1624
제일축산(2),제주특별자치도 제주시 한림읍 금악리,1,486,3100
4호목장,제주특별자치도 제주시 한림읍 금악리,1,198,0
제주대학교 AI 스마트 인큐베이트 돈사,제주특별자치도 제주시 아라일동 ,1,241.96,0
