연번,사업장명칭,주사육업종,등록축종,사업장소재지
800,작동축산,한우,한우,전라남도 영광군 홍농읍
801,김미경농장,한우,한우,전라남도 영광군 백수읍
802,송암농장,육계,육계,전라남도 영광군 군남면
803,황금농장,한우,한우,전라남도 영광군 홍농읍
804,원주농장,한우,한우,전라남도 영광군 홍농읍
805,청산농장,한우,한우,전라남도 영광군 묘량면
806,왕호농장,육계,육계,전라남도 영광군 영광읍
807,민구축산,한우,한우,전라남도 영광군 염산면
808,용문축산,한우,한우,전라남도 영광군 군서면
809,양평농장,한우,한우,전라남도 영광군 영광읍
810,두꺼비농장,한우,한우,전라남도 영광군 군남면
811,청정한우농장,한우,한우,전라남도 영광군 염산면
812,화선농장,한우,한우,전라남도 영광군 군서면
813,518농장,한우,한우,전라남도 영광군 염산면
814,재영농장,한우,한우,전라남도 영광군 영광읍
815,우진농장,한우,한우,전라남도 영광군 염산면
816,나라농장,한우,한우,전라남도 영광군 영광읍
817,와우축산2,한우,한우,전라남도 영광군 영광읍
818,황토골농장,한우,한우,전라남도 영광군 홍농읍
819,삼남매한우농장,한우,한우,전라남도 영광군 묘량면
820,순자농장,한우,한우,전라남도 영광군 홍농읍
821,현진목장,한우,한우,전라남도 영광군 군서면
822,자연농장,한우,한우,전라남도 영광군 홍농읍
823,봉영농장,한우,한우,전라남도 영광군 대마면
824,대주농장3,한우,한우,전라남도 영광군 백수읍
825,와룡축산2,한우,한우,전라남도 영광군 영광읍
826,군남축산,한우,한우,전라남도 영광군 군남면
827,인환농장,한우,한우,전라남도 영광군 백수읍
828,신흥농장,한우,한우,전라남도 영광군 대마면
829,미경축산,한우,한우,전라남도 영광군 군남면
830,이호농장,한우,한우,전라남도 영광군 묘량면
831,영광농장,산란육성계,산란육성계,전라남도 영광군 영광읍
832,보라농장2,한우,,전라남도 영광군 군서면
833,지우농장,한우,,전라남도 영광군 불갑면
834,칠성농장,한우,,전라남도 영광군 영광읍
835,소통농장,한우,한우,전라남도 영광군 영광읍
836,덕흥축산,한우,한우,전라남도 영광군 묘량면
837,관승농장,한우,,전라남도 영광군 영광읍
838,대호농장,한우,한우,전라남도 영광군 백수읍
839,백영목장,한우,한우,전라남도 영광군 영광읍
840,남도축산,한우,,전라남도 영광군 대마면
841,부용골농장,한우,,전라남도 영광군 법성면
842,소마루농장,한우,한우,전라남도 영광군 백수읍
843,남선한우농장,한우,,전라남도 영광군 군남면
844,찬구농장,한우,,전라남도 영광군 영광읍
845,매선박농장2,한우,,전라남도 영광군 묘량면
846,한길농장,한우,,전라남도 영광군 법성면
847,형민농장,한우,,전라남도 영광군 법성면
848,포동이농장,한우,,전라남도 영광군 군서면
849,남수농장,한우,,전라남도 영광군 영광읍
850,은찬목장,한우,,전라남도 영광군 홍농읍
851,유주농장,한우,,전라남도 영광군 군서면
852,가오농장2,한우,,전라남도 영광군 불갑면
853,영광에덴농장,한우,,전라남도 영광군 군서면
854,누리농장,한우,,전라남도 영광군 영광읍
855,노을축산,한우,,전라남도 영광군 백수읍
856,대박농장2,한우,,전라남도 영광군 법성면
857,혜미농장,한우,,전라남도 영광군 홍농읍
858,주호농장,한우,,전라남도 영광군 묘량면
859,용성축산,한우,,전라남도 영광군 법성면
860,갈마농장,한우,,전라남도 영광군 군남면
861,만년축산,한우,,전라남도 영광군 군서면
862,가온농장,한우,,전라남도 영광군 영광읍
863,석진농장,한우,,전라남도 영광군 불갑면
864,채움 농장,한우,,전라남도 영광군 군서면
865,영광흑염소농장,염소,,전라남도 영광군 영광읍
866,종남축사,한우,,전라남도 영광군 백수읍
867,해오름영농조합법인,한우,,전라남도 영광군 군남면
868,윤지농장,한우,,전라남도 영광군 군서면
869,은지농장,한우,,전라남도 영광군 영광읍
870,미소농장,한우,,전라남도 영광군 군남면
871,영표농장,한우,,전라남도 영광군 군서면
872,재성농장,한우,,전라남도 영광군 백수읍
873,희빈농장,한우,,전라남도 영광군 백수읍
874,만송농장,한우,,전라남도 영광군 영광읍
875,신정축산,한우,,전라남도 영광군 묘량면
876,시우농장,한우,,전라남도 영광군 백수읍
877,두레농장,육계,,전라남도 영광군 홍농읍
878,신우한우농장,한우,,전라남도 영광군 영광읍
879,와룡농장,한우,,전라남도 영광군 영광읍
880,상원농장,한우,,전라남도 영광군 영광읍
881,해동농장,한우,,전라남도 영광군 묘량면
882,춘수농장,한우,,전라남도 영광군 염산면
883,J이하목장,한우,,전라남도 영광군 영광읍
884,우희농장,한우,,전라남도 영광군 염산면
885,웰빙농장,한우,,전라남도 영광군 법성면
886,세정축산,한우,,전라남도 영광군 영광읍
887,무열농장,한우,,전라남도 영광군 염산면
888,병희축사,한우,,전라남도 영광군 홍농읍
889,관용농장,한우,,전라남도 영광군 홍농읍
890,용호농장,한우,,전라남도 영광군 군서면
891,정민 제2농장,한우,,전라남도 영광군 영광읍
892,신월농장,한우,,전라남도 영광군 영광읍
893,군남축사,한우,,전라남도 영광군 군남면
894,조은농장,한우,,전라남도 영광군 백수읍
895,토성한우농장,한우,,전라남도 영광군 백수읍
896,상만축산,한우,,전라남도 영광군 묘량면
897,삼강농장,한우,,전라남도 영광군 백수읍
898,길축산,한우,,전라남도 영광군 영광읍
899,민석농장,한우,,전라남도 영광군 군서면
900,민석농장,한우,,전라남도 영광군 군서면
901,미금축산,한우,,전라남도 영광군 백수읍
902,하나은 농장,한우,,전라남도 영광군 묘량면
903,계송 흑염소 농장,산양,,전라남도 영광군 영광읍
904,성화2농장,한우,,전라남도 영광군 영광읍
905,누리농장,한우,,전라남도 영광군 불갑면
906,꿈의 농장,한우,,전라남도 영광군 홍농읍
907,대덕농장,한우,,전라남도 영광군 홍농읍
908,미나농장,한우,,전라남도 영광군 군서면
909,보라농장,한우,,전라남도 영광군 군서면
910,송산농장,한우,,전라남도 영광군 백수읍
911,거성 한우농장,한우,,전라남도 영광군 군서면
912,두메 산골 한우,한우,,전라남도 영광군 홍농읍
913,김삿갓농장,한우,,전라남도 영광군 영광읍
914,서당농장,한우,,전라남도 영광군 법성면
915,오가네 농장,염소,,전라남도 영광군 염산면
916,황금농장,한우,,전라남도 영광군 홍농읍
917,준태농장,한우,,전라남도 영광군 법성면
918,사계절 농장,한우,,전라남도 영광군 군남면
919,자연농장,한우,,전라남도 영광군 법성면
920,진정농장,한우,,전라남도 영광군 홍농읍
921,순애농장,한우,,전라남도 영광군 홍농읍
922,이윤축산,한우,,전라남도 영광군 법성면
923,장자농장,한우,,전라남도 영광군 법성면
924,금호한우농장,한우,,전라남도 영광군 군서면
925,보리카우,한우,,전라남도 영광군 법성면
926,제2 안골농장,한우,,전라남도 영광군 군서면
927,대흥,한우,,전라남도 영광군 군서면
928,재경농장,한우,,전라남도 영광군 군서면
929,두리농장,한우,,전라남도 영광군 군남면
