가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 서면 서호리 211번지 외 2필지 ,경상남도 남해군 서면 스포츠로542번길 35-79 (외 2필지),30 ,800 ,2022-11-07
한우,경상남도 남해군 서면 남상리 148번지 4호  ,경상남도 남해군 서면 남서대로 2157,34 ,290 ,2022-11-07
한우,경상남도 남해군 고현면 오곡리 1530번지  ,경상남도 남해군 고현면 삼봉로 19-48,334 ,2043 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 148번지 2호  ,경상남도 남해군 이동면 남해대로2264번길 37,9 ,192 ,2022-11-07
한우,경상남도 남해군 이동면 초음리 1389번지  ,경상남도 남해군 이동면 남해대로 2364-13,5 ,364 ,2022-11-07
한우,경상남도 남해군 남해읍 심천리 630번지  ,경상남도 남해군 남해읍 남해대로3100번가길 19-90,40 ,512 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 737번지  ,경상남도 남해군 설천면 창남로284번길 27-31,63 ,596 ,2022-11-07
한우,경상남도 남해군 설천면 비란리 419번지 1호  ,경상남도 남해군 설천면 고설로285번길 51-4,20 ,446 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 673번지  ,"경상남도 남해군 설천면 창남로284번길 37-18, 외 1필지",41 ,643 ,2022-11-07
한우,경상남도 남해군 설천면 비란리 893번지 1호  ,경상남도 남해군 설천면 고설로 182-29,0 ,300 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 577번지 3호  ,경상남도 남해군 설천면 창남로284번길 9,54 ,709 ,2022-11-07
한우,경상남도 남해군 설천면 덕신리 236번지 1호  ,경상남도 남해군 설천면 창남로 195,35 ,396 ,2022-11-07
한우,경상남도 남해군 고현면 이어리 369번지 외 2필지 ,경상남도 남해군 고현면 남해대로2984번길 94-17 (외 2필지),5 ,1337 ,2022-11-07
한우,경상남도 남해군 삼동면 영지리 1026번지 18호  ,,30 ,520 ,2022-11-07
한우,경상남도 남해군 남해읍 평현리 8번지  ,경상남도 남해군 남해읍 평현로 177-66,9 ,370 ,2022-11-07
한우,경상남도 남해군 서면 연죽리 780번지 1호  ,,20 ,200 ,2022-11-07
한우,경상남도 남해군 남면 덕월리 398번지 1호  ,경상남도 남해군 남면 남서대로 1227-4,80 ,928 ,2022-11-07
한우,경상남도 남해군 남해읍 입현리 81번지 1호  ,경상남도 남해군 남해읍 초양로 129-33,34 ,446 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1002번지 외 2필지 ,경상남도 남해군 서면 남서대로2197번길 26-12 (외 2필지),104 ,1556 ,2022-11-07
한우,경상남도 남해군 남면 상가리 251번지  ,,30 ,467 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 809번지 1호  ,경상남도 남해군 설천면 창남로284번길 27-58,100 ,1005 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 434번지  ,경상남도 남해군 설천면 창남로283번길 10-80,40 ,1240 ,2022-11-07
