사업장명칭,주사육업종,사업장소재지(지번),면적
쌍둥이농장,한우,경상남도 창원시 의창구 대산면 가술리 ,92
마산축산,한우,경상남도 창원시 마산합포구 진북면 부산리,913
양지목장,한우,경상남도 창원시 마산합포구 구산면 옥계리,272
양지목장,한우,경상남도 창원시 마산합포구 구산면 옥계리 ,272
양지목장,한우,경상남도 창원시 마산합포구 구산면 옥계리  ,272
대정목장,한우,경상남도 창원시 마산합포구 진전면 양촌리   ,366
신화농장,한우,경상남도 창원시 마산합포구 구산면 내포리,167
희천목장,한우,경상남도 창원시 의창구 대산면 유등리,727
대산농장,한우,경상남도 창원시 마산합포구 진전면 임곡리   ,44
선행농장,한우,경상남도 창원시 의창구 동읍 봉강리 ,100
밤슾농장,한우,경상남도 창원시 마산합포구 진전면 평암리   ,169
수달사농장,사슴,경상남도 창원시 의창구 북면 신촌리  ,24
형제농장,한우,경상남도 창원시 마산합포구 진전면 이명리  ,320
혜원3농장,한우,경상남도 창원시 의창구 동읍 월잠리   ,968
삼영목장2,육우,경상남도 창원시 의창구 북면 월백리   ,1105
에벤에셀,육계,경상남도 창원시 마산합포구 진전면 금암리   ,23
평암농장,한우,경상남도 창원시 마산합포구 진전면 평암리   ,128
창북농장,한우,경상남도 창원시 의창구 북면 하천리  ,338
전원농장,육계,경상남도 창원시 마산합포구 진동면 신기리  ,18
진평축산,한우,경상남도 창원시 의창구 대산면 대방리   ,144
노연목장,한우,경상남도 창원시 의창구 동읍 노연리   ,240
수근농장,한우,경상남도 창원시 의창구 동읍 노연리  ,424
김용태축사,한우,경상남도 창원시 마산회원구 내서읍 평성리   ,398
야은농장,육계,경상남도 창원시 마산합포구 진북면 정현리   ,99
지혜농장,한우,경상남도 창원시 의창구 북면 월백리   ,328
Joy farm(조이팜),육계,경상남도 창원시 마산합포구 구산면 석곡리   ,48
신감리농장,염소,경상남도 창원시 마산회원구 내서읍 신감리   ,1484
윤점농장,한우,경상남도 창원시 의창구 북면 월백리  ,193
해오름목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리  ,817
정우목장,염소,경상남도 창원시 마산합포구 진북면 지산리   ,42
정보목장,염소,경상남도 창원시 마산합포구 진북면 지산리   ,42
덕곡농장,한우,경상남도 창원시 마산합포구 진북면 덕곡리   ,96
반성농장,한우,경상남도 창원시 의창구 동읍 석산리   ,758
가족농장,한우,경상남도 창원시 마산합포구 진북면 예곡리 ,53
웃담농장,한우,경상남도 창원시 마산합포구 진북면 예곡리   ,126
자연愛목장,젖소,경상남도 창원시 의창구 북면 마산리  ,2396
현이농장,한우,경상남도 창원시 마산합포구 진동면 교동리   ,39
미화농장,한우,경상남도 창원시 마산합포구 진동면 교동리   ,38
