사업장명칭,주사육업종,사업장소재지(지번),면적
대평농장,돼지,경상남도 창원시 마산합포구 진북면 이목리,1446
학산농장,돼지,경상남도 창원시 마산합포구 진북면 지산리,2996
우원농장,돼지,경상남도 창원시 마산합포구 진북면 추곡리,1710
남해축산,돼지,경상남도 창원시 마산합포구 진북면 이목리,2063
성은농장,돼지,경상남도 창원시 마산합포구 진북면 망곡리,1333
잔디농장,돼지,경상남도 창원시 마산합포구 진북면 망곡리,889
상흠농장,한우,경상남도 창원시 마산합포구 구산면 반동리,219
성목축산,돼지,경상남도 창원시 마산합포구 진북면 망곡리,1931
영일농장,돼지,경상남도 창원시 마산합포구 진북면 부평리,2164
청록축산,돼지,경상남도 창원시 마산합포구 진북면 신촌리,2994
삼화농산,돼지,경상남도 창원시 마산합포구 진북면 부평리,4298
청송농원,한우,경상남도 창원시 마산합포구 구산면 옥계리,808
만복농장,산양,경상남도 창원시 마산합포구 구산면 반동리,198
대정한우농장,한우,경상남도 창원시 마산합포구 진전면 양촌리,2554
예곡농장,한우,경상남도 창원시 마산합포구 진북면 예곡리,574
반동농장,한우,경상남도 창원시 마산합포구 구산면 반동리,199
솔밭농장,한우,경상남도 창원시 마산합포구 구산면 옥계리,317
양지목장,한우,경상남도 창원시 마산합포구 구산면 옥계리,546
신당목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,1529
은주목장,한우,경상남도 창원시 마산합포구 구산면 옥계리,797
율리목장,젖소,경상남도 창원시 마산합포구 구산면 반동리,1226
상현농장,한우,경상남도 창원시 마산합포구 진동면 교동리,494
태산농장,한우,경상남도 창원시 마산합포구 진북면 부평리,1117
유목팜,돼지,경상남도 창원시 마산합포구 예곡동,1043
정곤농장,젖소,경상남도 창원시 마산합포구 구산면 난포리,732
원택농장,한우,경상남도 창원시 마산합포구 구산면 난포리,675
진민한우농장,한우,경상남도 창원시 마산회원구 내서읍 평성리,982
부흥목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,911
삼진농장,한우,경상남도 창원시 마산합포구 진북면 망곡리,599
진북목장,한우,경상남도 창원시 마산합포구 진북면 정현리,837
정현농장,돼지,경상남도 창원시 마산합포구 진북면 정현리,2974
추곡농장,한우,경상남도 창원시 마산합포구 진북면 추곡리,254
부산농장,돼지,경상남도 창원시 마산합포구 진북면 부산리,2292
도원농장,육계,경상남도 창원시 마산합포구 진전면 봉곡리,2484
수림농장,한우,경상남도 창원시 마산합포구 진전면 고사리,690
신덕농장,한우,경상남도 창원시 마산합포구 진전면 고사리,588
옥방농장,한우,경상남도 창원시 마산합포구 진전면 여양리,312
정곡농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,399
양평농장,한우,경상남도 창원시 마산합포구 진동면 요장리,979
신촌목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,1699
의중농장,한우,경상남도 창원시 마산합포구 구산면 옥계리,508
대광농장,한우,경상남도 창원시 마산합포구 진전면 봉암리,1483
봉암농장,한우,경상남도 창원시 마산합포구 진전면 봉암리,876
청송목장,한우,경상남도 창원시 마산합포구 구산면 옥계리,228
의곤목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,809
형익목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,1517
제일농장,돼지,경상남도 창원시 마산합포구 진전면 이명리,3787
덕기농장,한우,경상남도 창원시 마산합포구 진북면 덕곡리,270
철홍농장,한우,경상남도 창원시 마산합포구 구산면 석곡리,564
옥계농장,한우,경상남도 창원시 마산합포구 구산면 옥계리,384
상평농장,한우,경상남도 창원시 마산합포구 진전면 평암리,591
와우농장,한우,경상남도 창원시 마산합포구 진전면 금암리,1160
희망농장,한우,경상남도 창원시 마산회원구 회원동,408
부일축산,한우,경상남도 창원시 마산합포구 진북면 정현리,396
한우농장,한우,경상남도 창원시 마산합포구 구산면 옥계리,114
진해축산,돼지,경상남도 창원시 진해구 가주동,990
신전농장,한우,경상남도 창원시 의창구 대산면 갈전리,557
진북농장,한우,경상남도 창원시 마산합포구 진북면 지산리,393
신흥농장,한우,경상남도 창원시 성산구 양곡동,99
선희농장,한우,경상남도 창원시 의창구 북면 하천리,397
한일농장,돼지,경상남도 창원시 성산구 삼정자동,380
성섭농장,한우,경상남도 창원시 의창구 북면 월백리,185
셋터골농장,육계,경상남도 창원시 의창구 동읍 봉곡리,130
연동농장,한우,경상남도 창원시 의창구 북면 마산리,210
월계축사,한우,경상남도 창원시 의창구 북면 월계리,236
갈전농장,한우,경상남도 창원시 의창구 대산면 갈전리,198
동용농장,한우,경상남도 창원시 의창구 대산면 가술리,165
복원농장,한우,경상남도 창원시 의창구 대산면 제동리,195
북부축산,한우,경상남도 창원시 의창구 대산면 북부리,152
동민농장,한우,경상남도 창원시 의창구 대산면 유등리,165
유청농장,한우,경상남도 창원시 의창구 대산면 유등리,165
대동목장,한우,경상남도 창원시 의창구 대산면 제동리,198
우리목장,한우,경상남도 창원시 의창구 북면 월계리,45
월계목장,한우,경상남도 창원시 의창구 북면 월계리,671
기준농장,한우,경상남도 창원시 의창구 북면 마산리,915
완암농장,육계,경상남도 창원시 성산구 창곡동,95
용환축사,한우,경상남도 창원시 의창구 북면 신촌리,1655
부농농장,한우,경상남도 창원시 의창구 동읍 본포리,156
초원목장,한우,경상남도 창원시 의창구 동읍 다호리,286
찬복농장,한우,경상남도 창원시 성산구 천선동,89
봉곡축산,한우,경상남도 창원시 의창구 동읍 봉곡리,90
용도농장,한우,경상남도 창원시 의창구 북면 상천리,231
철교농장,한우,경상남도 창원시 의창구 북면 상천리,359
상숙농장,한우,경상남도 창원시 의창구 북면 월계리,148
대명농장,한우,경상남도 창원시 의창구 북면 신촌리,2348
신동농장,한우,경상남도 창원시 의창구 대산면 가술리,230
과수원농장,육계,경상남도 창원시 의창구 동읍 다호리,300
영길농원,한우,경상남도 창원시 의창구 동읍 죽동리,730
성수목장,한우,경상남도 창원시 마산합포구 구산면 내포리,200
유호목장,한우,경상남도 창원시 마산합포구 구산면 반동리,80
중촌한우농장,한우,경상남도 창원시 마산합포구 진북면 대티리,564
대도축산,한우,경상남도 창원시 의창구 대산면 가술리,570
두배농장,한우,경상남도 창원시 의창구 북면 지개리,495
상운농장,한우,경상남도 창원시 의창구 북면 하천리,134
상근농장,한우,경상남도 창원시 의창구 북면 상천리,268
정규농장,한우,경상남도 창원시 의창구 북면 신촌리,251
점규농장,한우,경상남도 창원시 의창구 대산면 우암리,196
재일농장,한우,경상남도 창원시 의창구 북면 하천리,198
갈전농장,한우,경상남도 창원시 의창구 대산면 갈전리,900
대촌목장,한우,경상남도 창원시 의창구 북면 하천리,94
용산농장,한우,경상남도 창원시 의창구 동읍 죽동리,198
정원축사,한우,경상남도 창원시 의창구 동읍 봉곡리,75
선규농장,한우,경상남도 창원시 의창구 대산면 모산리,396
신유목농장,한우,경상남도 창원시 의창구 대산면 갈전리,2482
동삼농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,351
이목농장,한우,경상남도 창원시 마산합포구 진북면 이목리,396
인곡농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,257
우애농장,한우,경상남도 창원시 마산합포구 진전면 오서리,356
일암농장,한우,경상남도 창원시 마산합포구 진전면 일암리 ,96
허준농장,육계,경상남도 창원시 마산합포구 진북면 인곡리,881
대천농장,한우,경상남도 창원시 마산합포구 진북면 예곡리,92
대정일반목장,한우,경상남도 창원시 마산합포구 진전면 양촌리,280
박신농장,한우,경상남도 창원시 마산합포구 구산면 석곡리,180
한우농장,한우,경상남도 창원시 마산합포구 진전면 양촌리,104
동일목장,한우,경상남도 창원시 마산합포구 진동면 교동리,483
교동농장,한우,경상남도 창원시 마산합포구 진동면 교동리,327
태영목장,한우,경상남도 창원시 마산합포구 진동면 다구리,42
학동농장,한우,경상남도 창원시 마산합포구 진북면 영학리,141
영동농장,한우,경상남도 창원시 마산합포구 진북면 영학리,82
백천목장,한우,경상남도 창원시 마산합포구 진전면 오서리,85
도산농장,한우,경상남도 창원시 마산합포구 진전면 봉곡리,152
봉암농장,한우,경상남도 창원시 마산합포구 진전면 봉암리,80
봉곡농장,한우,경상남도 창원시 마산합포구 진전면 봉곡리,71
적석산농장,한우,경상남도 창원시 마산합포구 진전면 일암리,86
숲실농장,한우,경상남도 창원시 마산합포구 진전면 임곡리,564
병진농장,한우,경상남도 창원시 마산합포구 진전면 평암리,146
초원농장,한우,경상남도 창원시 마산합포구 구산면 석곡리,429
마전농장,한우,경상남도 창원시 마산합포구 구산면 마전리,66
하마농장,한우,경상남도 창원시 마산합포구 구산면 마전리,94
훈농장,한우,경상남도 창원시 마산합포구 진동면 다구리,178
정우농장,한우,경상남도 창원시 마산합포구 진동면 인곡리,64
재우농장,한우,경상남도 창원시 마산합포구 진전면 이명리,115
점도농장,한우,경상남도 창원시 마산합포구 진전면 이명리,167
봉원농장,한우,경상남도 창원시 마산합포구 진전면 이명리,128
민지농장,한우,경상남도 창원시 마산합포구 진전면 양촌리,116
죽곡농장,한우,경상남도 창원시 마산합포구 진전면 오서리,111
자연목장,한우,경상남도 창원시 마산합포구 진동면 다구리,148
종술농장,한우,경상남도 창원시 마산합포구 진북면 정현리,255
준열농장,한우,경상남도 창원시 마산합포구 진북면 정현리,295
임우농장,한우,경상남도 창원시 마산합포구 진전면 임곡리,94
양전농장,한우,경상남도 창원시 마산합포구 진전면 양촌리,233
태진농장,한우,경상남도 창원시 마산합포구 진북면 덕곡리,240
부산농장,한우,경상남도 창원시 마산합포구 진북면 부산리,162
풍산목장,한우,경상남도 창원시 진해구 서중동,298
하식목장,한우,경상남도 창원시 진해구 자은동,123
장천농장,종계/산란계,경상남도 창원시 진해구 장천동,666
경남농장,한우,경상남도 창원시 의창구 동읍 노연리,320
추곡농장,한우,경상남도 창원시 마산합포구 진북면 추곡리,132
봉이농장,한우,경상남도 창원시 마산합포구 진북면 신촌리,350
아빠아들농장,한우,경상남도 창원시 마산합포구 진전면 봉곡리,387
우산농장,한우,경상남도 창원시 마산합포구 진북면 금산리,182
종진농장,한우,경상남도 창원시 마산합포구 구산면 내포리,118
태선농장,한우,경상남도 창원시 마산회원구 내서읍 평성리,410
중원농장,육우,경상남도 창원시 마산합포구 진북면 인곡리,873
인황농장,돼지,경상남도 창원시 마산합포구 진북면 인곡리,529
이목농장,한우,경상남도 창원시 마산합포구 진북면 이목리,90
진동축산,한우,경상남도 창원시 마산합포구 진동면 요장리,1170
성산농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,91
명일축산,한우,경상남도 창원시 마산합포구 진전면 근곡리,2187
성가농장,한우,경상남도 창원시 마산합포구 진전면 고사리,119
청송농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,63
만복축산,한우,경상남도 창원시 마산합포구 진북면 인곡리,384
무학산산돼지,돼지,경상남도 창원시 마산회원구 내서읍 감천리,204
목화축산,염소,경상남도 창원시 진해구 서중동,191
윤석농장,한우,경상남도 창원시 의창구 북면 고암리,174
경남위탁 농장,한우,경상남도 창원시 의창구 대산면 모산리,330
자여목장,한우,경상남도 창원시 의창구 대산면 모산리 ,32
네모농장,한우,경상남도 창원시 의창구 북면 외산리 ,976
승준목장,육우,경상남도 창원시 의창구 대산면 제동리 ,325
호성목장,한우,경상남도 창원시 의창구 북면 무곡리 ,40
가고파농장,한우,경상남도 창원시 마산합포구 진동면 교동리,75
우리농장,한우,경상남도 창원시 마산합포구 진북면 예곡리,595
한우리 목장,한우,경상남도 창원시 의창구 북면 대산리,1464
우진목장,한우,경상남도 창원시 의창구 북면 내곡리 ,175
진전한우농장,한우,경상남도 창원시 마산합포구 진전면 양촌리,332
늘푸른농장,산양,경상남도 창원시 마산합포구 구산면 석곡리,139
삼구농장,한우,경상남도 창원시 의창구 동읍 신방리  ,1095
광성2농장,젖소,경상남도 창원시 의창구 동읍 노연리  ,1325
광우농장,한우,경상남도 창원시 마산합포구 진전면 봉곡리,198
우영농원,한우,경상남도 창원시 마산합포구 진전면 금암리,295
대호농장,한우,경상남도 창원시 마산합포구 진북면 지산리,390
신대산 농장,한우,경상남도 창원시 의창구 대산면 가술리  ,988
신천농장,한우,경상남도 창원시 의창구 북면 하천리 ,71
수명목장,한우,경상남도 창원시 의창구 북면 월백리,866
영한농장,한우,경상남도 창원시 의창구 동읍 봉곡리 ,584
산산농장,산양,경상남도 창원시 의창구 북면 지개리 ,209
행복농장,산양,경상남도 창원시 진해구 원포동 ,145
대호농장,한우,경상남도 창원시 의창구 대산면 우암리,792
마루농장,한우,경상남도 창원시 의창구 대산면 갈전리,1288
유목농장,한우,경상남도 창원시 의창구 대산면 갈전리 ,483
상호목장,한우,경상남도 창원시 의창구 북면 월백리 ,1340
순복농장,한우,경상남도 창원시 의창구 대산면 모산리,1225
팔도가든,산양,경상남도 창원시 진해구 소사동,100
강국명,산양,경상남도 창원시 진해구 남양동,40
정상오,육계,경상남도 창원시 진해구 마천동,66
배용길,산양,경상남도 창원시 진해구 가주동 ,30
이선우,오리,경상남도 창원시 진해구 가주동,340
성경연,산양,경상남도 창원시 진해구 북부동,33
덕우축산,한우,경상남도 창원시 진해구 가주동,49
박상준,한우,경상남도 창원시 진해구 가주동  ,48
정용기,사슴,경상남도 창원시 진해구 죽곡동 ,102
이용대,산양,경상남도 창원시 진해구 가주동,76
문화사슴농장,사슴,경상남도 창원시 진해구 가주동  ,191
김금만,산양,경상남도 창원시 진해구 자은동,14
종옥농장,한우,경상남도 창원시 의창구 북면 대산리,1495
해성농장,돼지,경상남도 창원시 의창구 북면 상천리 ,3690
원효농장,한우,경상남도 창원시 의창구 북면 신촌리 ,2190
재만농장,한우,경상남도 창원시 의창구 동읍 송정리 ,100
생용농장,한우,경상남도 창원시 의창구 동읍 봉강리,324
미옥농장,한우,경상남도 창원시 의창구 동읍 죽동리 ,293
대열농장,한우,경상남도 창원시 의창구 동읍 산남리 ,135
세국농장,한우,경상남도 창원시 의창구 동읍 용강리,50
한미축산,한우,경상남도 창원시 의창구 동읍 봉곡리,1467
은행나무농장,한우,경상남도 창원시 의창구 동읍 다호리,45
영기농장,한우,경상남도 창원시 의창구 동읍 산남리,81
창원단감사슴교육농장,사슴,경상남도 창원시 의창구 동읍 금산리,352
두레박 단감사슴 농장,사슴,경상남도 창원시 의창구 동읍 용강리,64
경태농장,한우,경상남도 창원시 의창구 북면 무곡리,50
경선농장,한우,경상남도 창원시 의창구 북면 대산리,68
경진농장,한우,경상남도 창원시 의창구 북면 대산리,99
봉기농장,한우,경상남도 창원시 의창구 북면 외산리,160
성진농장,한우,경상남도 창원시 의창구 북면 내곡리,90
옥선농장,한우,경상남도 창원시 의창구 북면 월계리 ,240
현자농장,한우,경상남도 창원시 의창구 북면 대산리,131
더큰농장,한우,경상남도 창원시 의창구 북면 마산리 ,177
무곡농장,한우,경상남도 창원시 의창구 북면 무곡리,106
근순농장,한우,경상남도 창원시 의창구 북면 신촌리 ,55
문호농장,한우,경상남도 창원시 의창구 북면 화천리,51
명촌농장,한우,경상남도 창원시 의창구 북면 외산리,34
말용농장,한우,경상남도 창원시 의창구 북면 신촌리,174
영희농장,한우,경상남도 창원시 의창구 북면 외감리 ,40
우야농장,한우,경상남도 창원시 의창구 북면 대산리,50
기식농장,한우,경상남도 창원시 의창구 북면 무곡리 ,25
민섭농장,한우,경상남도 창원시 의창구 북면 신촌리 ,140
상부농장,한우,경상남도 창원시 의창구 북면 무곡리 ,60
창수농장,한우,경상남도 창원시 의창구 북면 화천리,198
춘상농장,한우,경상남도 창원시 의창구 북면 하천리 ,90
필식농장,한우,경상남도 창원시 의창구 북면 신촌리,18
친구농장,한우,경상남도 창원시 의창구 북면 월계리,100
웅진농장,한우,경상남도 창원시 의창구 북면 대산리,194
일선농장,한우,경상남도 창원시 의창구 북면 외산리,90
정원농장,한우,경상남도 창원시 의창구 북면 신촌리,2348
홍립농장,한우,경상남도 창원시 의창구 북면 대산리,245
구창원농장,산양,경상남도 창원시 의창구 북면 지개리,440
초록원사슴농장,사슴,경상남도 창원시 의창구 북면 외산리,172
종태농장,사슴,경상남도 창원시 의창구 북면 동전리,198
백마농원,한우,경상남도 창원시 의창구 북면 마산리,52
대현농장,한우,경상남도 창원시 의창구 대산면 북부리,17
대방농장,한우,경상남도 창원시 의창구 대산면 대방리,483
정수농장,한우,경상남도 창원시 의창구 대산면 일동리,50
한식농장,한우,경상남도 창원시 의창구 대산면 유등리,147
판술농장,한우,경상남도 창원시 의창구 대산면 가술리,50
병찬농장,한우,경상남도 창원시 의창구 대산면 유등리,420
귀연농장,한우,경상남도 창원시 의창구 대산면 유등리,150
병문농장,한우,경상남도 창원시 의창구 대산면 모산리,569
순재농장,한우,경상남도 창원시 의창구 대산면 모산리,160
우석농장,한우,경상남도 창원시 의창구 대산면 모산리,300
횡택농장,한우,경상남도 창원시 의창구 대산면 가술리,50
쾌수농장,한우,경상남도 창원시 의창구 대산면 갈전리,615
정일농장,한우,경상남도 창원시 의창구 대산면 모산리,100
종열농장,한우,경상남도 창원시 의창구 대산면 유등리,264
회근농장,한우,경상남도 창원시 의창구 대산면 대방리,714
재연농장,한우,경상남도 창원시 의창구 대산면 대방리,330
현대농장,돼지,경상남도 창원시 마산합포구 진전면 금암리,300
봉만농장,한우,경상남도 창원시 의창구 대산면 모산리,106
선은목장,젖소,경상남도 창원시 의창구 북면 대산리 ,882
늘푸른목장,젖소,경상남도 창원시 의창구 북면 내곡리,1385
동학목장,젖소,경상남도 창원시 의창구 북면 외감리,200
규희사슴농장,사슴,경상남도 창원시 의창구 동읍 다호리,190
김용술,육계,경상남도 창원시 진해구 원포동,100
일원농장,돼지,경상남도 창원시 마산합포구 진북면 이목리,193
혜원2농장,한우,경상남도 창원시 의창구 동읍 월잠리,396
회진농장,한우,경상남도 창원시 의창구 북면 지개리,45
사랑의염소목장,산양,경상남도 창원시 의창구 동읍 신방리,858
안골농장,산양,경상남도 창원시 마산합포구 진북면 추곡리,100
안성농장,산양,경상남도 창원시 진해구 청안동,60
성내목장,한우,경상남도 창원시 진해구 성내동,380
부영농장,육계,경상남도 창원시 진해구 가주동,116
천하농장,산양,경상남도 창원시 마산회원구 내서읍 원계리,126
수반농장,한우,경상남도 창원시 마산합포구 진북면 인곡리,49
정훈농장,한우,경상남도 창원시 의창구 동읍 월잠리  ,1054
산산농장2,산양,경상남도 창원시 의창구 북면 지개리,105
명아농장,한우,경상남도 창원시 의창구 동읍 금산리,198
규석농장,육계,경상남도 창원시 성산구 남지동,200
아름목장,젖소,경상남도 창원시 마산합포구 구산면 옥계리,774
봉화농장,한우,경상남도 창원시 마산합포구 구산면 옥계리,805
승우농장,한우,경상남도 창원시 마산합포구 진북면 금산리,537
칠성농장,산양,경상남도 창원시 진해구 성내동 36번지  ,89
창원MAX농장,산양,경상남도 창원시 진해구 죽곡동 산 94번지  ,72
영남농장,돼지,경상남도 창원시 마산합포구 진전면 일암리,2210
만수농장,육계,경상남도 창원시 진해구 석동,32
대죽농장,산양,경상남도 창원시 진해구 안곡동,196
제덕농장,육계,경상남도 창원시 진해구 제덕동,15
풍호농장,염소,경상남도 창원시 진해구 풍호동,178
재동농장,한우,경상남도 창원시 의창구 동읍 산남리,1250
열정농원,종계/산란계,경상남도 창원시 마산회원구 내서읍 중리,117
두리농장,육계,경상남도 창원시 의창구 동읍 석산리,3274
가동농장,육계,경상남도 창원시 의창구 대산면 유등리 ,3510
금호농장,돼지,경상남도 창원시 의창구 동읍 석산리,1532
마루농장,돼지,경상남도 창원시 의창구 동읍 노연리,1385
종해농장,육계,경상남도 창원시 의창구 북면 지개리,35
옥출농장,육계,경상남도 창원시 의창구 북면 마산리,45
호범농장,육계,경상남도 창원시 의창구 북면 외산리,45
성빈농장,육계,경상남도 창원시 의창구 동읍 봉곡리,45
아리온축산,육계,경상남도 창원시 마산합포구 구산면 옥계리,580
삼계농장,육계,경상남도 창원시 마산회원구 내서읍 삼계리,48
전원주택,육계,경상남도 창원시 마산합포구 진전면 근암리,49
두척농장,육계,경상남도 창원시 마산회원구 두척동,45
몬유황오리,오리,경상남도 창원시 진해구 가주동 ,144
효산농장,오리,경상남도 창원시 진해구 가주동,498
일미축산,육계,경상남도 창원시 마산합포구 진북면 인곡리,48
부둔농장,한우,경상남도 창원시 마산합포구 진전면 봉암리,48
화초닭농장,육계,경상남도 창원시 마산합포구 진전면 근곡리,141
차생농장,한우,경상남도 창원시 마산합포구 구산면 난포리,50
성풍농장,염소,경상남도 창원시 마산합포구 진동면 고현리,36
경남농장,염소,경상남도 창원시 의창구 북면 대산리,198
태원2목장,젖소,경상남도 창원시 의창구 동읍 월잠리  ,400
대성꿩농장,꿩,경상남도 창원시 마산합포구 진북면 망곡리  ,17
무명농장2,한우,경상남도 창원시 마산합포구 진북면 예곡리,1108
지철농장,한우,경상남도 창원시 마산합포구 진전면 봉암리,64
도산농장,한우,경상남도 창원시 마산합포구 진전면 봉곡리   ,192
성진축산,한우,경상남도 창원시 마산합포구 진전면 봉곡리  ,47
도만농장,한우,경상남도 창원시 마산합포구 진동면 다구리,60
케이농장,한우,경상남도 창원시 의창구 대산면 가술리,46
이준농장,한우,경상남도 창원시 의창구 북면 외산리   ,567
양지농장,한우,경상남도 창원시 의창구 동읍 월잠리  ,968
영상목장,한우,경상남도 창원시 의창구 북면 하천리 ,35
이목농장,한우,경상남도 창원시 마산합포구 진북면 이목리,48
성일목장,한우,경상남도 창원시 마산합포구 진전면 금암리 ,74
