시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,미성농장,돼지,400,경기도 포천시 영북면 방골길 954-29,경기도 포천시 영북면 문암리 341번지  ,,,2025-01-13
포천시,대흥농장,돼지,200,경기도 포천시 창수면 방골길 283-19,경기도 포천시 창수면 운산리 50번지 1호  ,,,2025-01-13
포천시,농업회사법인 에이비씨축산(주),돼지,4121,경기도 포천시 관인면 창동로 1339-57,"경기도 포천시 관인면 삼율리 157번지 4호 -3,-5,-6,-7,-9,-10 ",,,2025-01-13
포천시,영송농장2,돼지,900,경기도 포천시 영중면 은잿말길 257-17 (외1필지(-3)),경기도 포천시 영중면 영송리 565번지 2호 외1필지(-3) ,,,2025-01-13
포천시,지앤알팜2,돼지,600,,"경기도 포천시 화현면 화현리 277번지 외2필지(279-1,280) ",,,2025-01-13
포천시,푸른농장,돼지,500,경기도 포천시 이동면 화동로1908번길 83,경기도 포천시 이동면 연곡리 263번지  ,,,2025-01-13
포천시,신기농장-1,돼지,280,경기도 포천시 일동면 수입로 181 (외1필지),경기도 포천시 일동면 수입리 400번지 7호 외1필지 ,,,2025-01-13
포천시,하나더농장,돼지,6256,"경기도 포천시 신북면 신평로72번길 38 (외4필지(-3,-5,-7,-10))","경기도 포천시 신북면 신평리 193번지 1호 외4필지(-3,-5,-7,-10) ",,,2025-01-13
포천시,목석산방,사슴,4,경기도 포천시 내촌면 금강로 2872-46,경기도 포천시 내촌면 소학리 69번지 1호  ,,,2025-01-13
포천시,포천농장,돼지,20,경기도 포천시 영북면 호국로3539번길 46-22,경기도 포천시 영북면 야미리 574번지  ,,,2025-01-13
포천시,진주농장,돼지,600,"경기도 포천시 이동면 새낭로420번길 14, (노곡리 747, 746-7)",경기도 포천시 이동면 노곡리 747번지 외 1번지(746-7) ,,,2025-01-13
포천시,-,돼지,200,경기도 포천시 일동면 무리울길 267-1,경기도 포천시 일동면 화대리 11번지 5호  ,,,2025-01-13
포천시,세한농장,돼지,2500,경기도 포천시 이동면 화동로1908번길 147,경기도 포천시 이동면 연곡리 73번지  ,,,2025-01-13
포천시,산마루농장,돼지,800,경기도 포천시 일동면 무리울길 213-37,경기도 포천시 일동면 화대리 37번지  ,,,2025-01-13
포천시,에스투제이팜,돼지,3559,경기도 포천시 창수면 옥수로298번길 8,경기도 포천시 창수면 주원리 418번지  ,,,2025-01-13
포천시,동암영농조합법인 산중마을,돼지,10064,경기도 포천시 영중면 가영로 436-31,경기도 포천시 영중면 영송리 642번지  ,,,2025-01-13
포천시,충현사슴농장,사슴,24,경기도 포천시 신북면 청신로2068번길 81-29,경기도 포천시 신북면 신평리 528번지  ,,,2025-01-13
포천시,협동농장,돼지,5500,"경기도 포천시 창수면 금화봉길 222-1, 등5필지(34,35,-1,37-1,90)","경기도 포천시 창수면 가양리 34번지 등5필지(35,-1,37-1,90) ",,,2025-01-13
포천시,산들농장,돼지,550,경기도 포천시 일동면 윗갈기길 17-55,경기도 포천시 일동면 수입리 150번지 2호  ,,,2025-01-13
포천시,돈세이프팜,돼지,450,,경기도 포천시 일동면 사직리 853번지 9호 등 2필지(-12) ,,,2025-01-13
포천시,영광이네 흑염소 농장,염소,25,경기도 포천시 소흘읍 거친봉이길 86-64,경기도 포천시 소흘읍 무봉리 산 146번지  ,,,2025-01-13
포천시,건섭농장2,돼지,330,경기도 포천시 일동면 정자골1길 93,경기도 포천시 일동면 길명리 180번지  ,,,2025-01-13
포천시,경성농원,사슴,0,경기도 포천시 관인면 창동로 1501-20,경기도 포천시 관인면 초과리 550번지  ,,,2025-01-13
포천시,한솔농장,산양,40,경기도 포천시 어룡3길 29-43 (어룡동),경기도 포천시 어룡동 227번지  ,,,2025-01-13
포천시,곰네미 팜,산양,7,경기도 포천시 일동면 수입로197번길 22-18,경기도 포천시 일동면 수입리 455번지 1호  ,,,2025-01-13
포천시,한비축산,돼지,2000,경기도 포천시 관인면 찬우물길 290,경기도 포천시 관인면 냉정리 660번지 2호  ,,,2025-01-13
포천시,포천염소농장,염소,93,경기도 포천시 영중면 전영로 1679-77,경기도 포천시 영중면 성동리 912번지 3호  ,,,2025-01-13
포천시,소리농장,돼지,1500,경기도 포천시 일동면 새낭로 263-108,경기도 포천시 일동면 사직리 1578번지  ,,,2025-01-13
포천시,정원축산,돼지,5000,경기도 포천시 관인면 창동로 1516-16,경기도 포천시 관인면 초과리 542번지  ,,,2025-01-13
포천시,정우사슴농장,사슴,10,경기도 포천시 신북면 청신로2068번길 81-27,경기도 포천시 신북면 신평리 529번지  ,,,2025-01-13
포천시,시골농장,염소,150,경기도 포천시 영중면 은잿말2길 62,경기도 포천시 영중면 거사리 978번지 6호  ,,,2025-01-13
