농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
도나도나,돼지,6300,경기도 안성시 죽산면 걸미로 145-56,경기도 안성시 죽산면 두교리 377번지  
동양축산,돼지,850,경기도 안성시 죽산면 한평길 57,경기도 안성시 죽산면 매산리 906번지  
구일농장,돼지,4378,"경기도 안성시 일죽면 화곡길 46, (외 4필지)",경기도 안성시 일죽면 화곡리 204번지 (외 4필지) 
형제농장,돼지,1600,경기도 안성시 일죽면 한다리길 15-23,경기도 안성시 일죽면 방초리 1124번지 5호  
고은농장,돼지,1800,경기도 안성시 일죽면 죽화로 178-18,경기도 안성시 일죽면 고은리 883번지 외4필지 
한수농장,돼지,1200,"경기도 안성시 죽산면 두평길 33-15 (,224-3번지)","경기도 안성시 죽산면 두현리 229번지 ,224-3번지 "
(주)농업회사법인 가율,돼지,4800,"경기도 안성시 보개면 보개원삼로 884-57 (외 7필지(846,846-1,847,847-2,848,848-1,849-1))","경기도 안성시 보개면 남풍리 845번지 외 7필지(846,846-1,847,847-2,848,848-1,849-1) "
맘마농장,돼지,1600,경기도 안성시 일죽면 한다리길 59-12,경기도 안성시 일죽면 방초리 1116번지 3호 외 1필지(1116-2) 
민들레 농장,돼지,1500,"경기도 안성시 죽산면 장계길 20-112 (외 3필지(375,378,380))","경기도 안성시 죽산면 장계리 374번지 외 3필지(375,378,380) "
이석농장,돼지,3000,경기도 안성시 일죽면 한다리길 35-11,경기도 안성시 일죽면 방초리 1120번지 3호  
고바우농장,돼지,9800,경기도 안성시 고삼면 쌍지길 11-125,경기도 안성시 고삼면 쌍지리 1035번지 2호 외 1필지(1035) 
신촌제1목장,돼지,1200,"경기도 안성시 일죽면 능국리 84번지 외 2필지(81-5, 81-6) ","경기도 안성시 일죽면 능국리 84번지 외 2필지(81-5, 81-6) "
만희농장,돼지,4113,경기도 안성시 죽산면 하구산길 196-36,"경기도 안성시 죽산면 매산리 945번지 외 2필지(946,947) "
승빈농장,돼지,7477,경기도 안성시 죽산면 장계길 20-64,"경기도 안성시 죽산면 장계리 442번지 1호 , 441-2, 441-3 "
시영농장,돼지,700,경기도 안성시 삼죽면 국사봉로 212-18,경기도 안성시 삼죽면 기솔리 440번지 2호  
범민농장,돼지,800,경기도 안성시 일죽면 장암초교길 102-22,"경기도 안성시 일죽면 장암리 514번지 , 513, 515 "
