농장명,농장주,축종명,사육두수(두),농장소재지
승률농장,농업회사법인승률주식회사,돼지,2500,전라남도 순천시 주암면 한곡리
봉덕농장,김*민,한우,80,전라남도 순천시 승주읍 유흥리
김*훈농장,김*훈,한우,14,전라남도 순천시 승주읍 유흥리
행운농장,조*용,돼지,10,전라남도 순천시 주암면 오산리
선목장,장*선,젖소,78,전라남도 순천시 서면 운평리
삼영축산,이*수,한우,100,전라남도 순천시 월등면 농선리
구강농장,이*임,한우,22,전라남도 순천시 승주읍 구강리
초곡축산,양*승,한우,60,전라남도 순천시 상사면 초곡리
선용목장,홍*석,젖소,75,전라남도 순천시 상사면 오곡리
태영목장,조*순,젖소,50,전라남도 순천시 상사면 쌍지리
초월농장,반*용,한우,35,전라남도 순천시 해룡면 남가리
대한축산,최*용,한우,40,전라남도 순천시 해룡면 중흥리
상내농장,손*모,젖소,65,전라남도 순천시 해룡면 상내리
둔대목장,김*종,젖소,59,전라남도 순천시 서면 구만리
김*래농장,김*래,젖소,50,전라남도 순천시 서면 구만리
정성목장,김*영,젖소,74,전라남도 순천시 서면 구만리
죽평농장,양*규,젖소,70,전라남도 순천시 서면 죽평리
강산목장,이*용,젖소,35,전라남도 순천시 서면 판교리
은진농장,박*모,젖소,57,전라남도 순천시 서면 판교리
석주축산,최*주,젖소,43,전라남도 순천시 서면 지본리
연세목장,강*원,젖소,45,전라남도 순천시 서면 지본리
향림축산,이*철,한우,18,전라남도 순천시 서면 압곡리
태영축산,이*옥,한우,30,전라남도 순천시 황전면 모전리
용신축산,이*귀,돼지,300,전라남도 순천시 황전면 비촌리
청송목장,심*봉,젖소,52,전라남도 순천시 월등면 월용리
복지농장,유*정,돼지,1100,전라남도 순천시 월등면 대평리
이레농장,김*경,육계,30000,전라남도 순천시 주암면 궁각리
율치목장,강*덕,한우,17,전라남도 순천시 승주읍 남강리
대형농장,김*옥,돼지,1800,전라남도 순천시 승주읍 신성리
봉덕농장,권*규,돼지,2000,전라남도 순천시 승주읍 두월리
상기목장,문*홍,젖소,50,전라남도 순천시 낙안면 목촌리
하송목장,김*일,젖소,52,전라남도 순천시 낙안면 하송리
한아름목장,이*하,젖소,130,전라남도 순천시 낙안면 신기리
수빈목장,안*호,젖소,70,전라남도 순천시 낙안면 이곡리
영동목장,이*희,젖소,70,전라남도 순천시 낙안면 창녕리
로뎀축산,양*정,돼지,1500,전라남도 순천시 상사면 비촌리
에덴축산,박*종,한우,30,전라남도 순천시 서면 판교리
대동목장,배*석,젖소,60,전라남도 순천시 서면 판교리
대방골목장,김*철,젖소,60,전라남도 순천시 서면 판교리
부흥농장,조*용,한우,100,전라남도 순천시 승주읍 유흥리
유흥농장,장*식,한우,63,전라남도 순천시 승주읍 유흥리
승훈농장,백*길,돼지,800,전라남도 순천시 해룡면 신대리
신촌한우농장,윤*열,한우,33,전라남도 순천시 서면 학구리
이강농장,이*석,한우,48,전라남도 순천시 서면 판교리
수영 농장,김*경,돼지,600,전라남도 순천시 서면 대구리
철우농장,서*수,한우,101,전라남도 순천시 황전면 평촌리
상검농장,장*주,한우,74,전라남도 순천시 황전면 죽청리
우성농장,윤*금,한우,30,전라남도 순천시 황전면 덕림리
추진목장,추*진,젖소,80,전라남도 순천시 낙안면 창녕리
송광목장,오*섭,젖소,120,전라남도 순천시 낙안면 옥산리
지본목장,황*하,젖소,53,전라남도 순천시 서면 지본리
유정목장,이*열,젖소,97,전라남도 순천시 낙안면 창녕리
강*자농장,장*고,젖소,50,전라남도 순천시 낙안면 창녕리
대명목장,신*운,젖소,61,전라남도 순천시 낙안면 창녕리
신*수농장,신*수,한우,18,전라남도 순천시 낙안면 창녕리
종우목장,신*우,젖소,70,전라남도 순천시 낙안면 창녕리
초우목장,신*우,한우,100,전라남도 순천시 낙안면 창녕리
안터목장,이*열,젖소,50,전라남도 순천시 낙안면 창녕리
소담축산,권*래,한우,60,전라남도 순천시 낙안면 창녕리
희망목장,이*열,젖소,85,전라남도 순천시 낙안면 창녕리
낙농목장,장*만,젖소,74,전라남도 순천시 월등면 월용리
창녕농장,박*국,한우,80,전라남도 순천시 낙안면 창녕리
조*훈농장,조*훈,한우,45,전라남도 순천시 황전면 내구리
오룡농장,이*석,한우,65,전라남도 순천시 낙안면 옥산리
다균농장,김*숙,한우,20,전라남도 순천시 외서면 신덕리
개미농장,김*철,돼지,158,전라남도 순천시 외서면 반용리
용진축산,윤*린,한우,16,전라남도 순천시 낙안면 창녕리
