순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
73,무,한우,한우,10,경상남도 함양군 함양읍 거면강변길 106,2025-09-08
74,한아름 농장,한우,한우,9,경상남도 함양군 수동면 수남로 213,2025-09-08
75,무,한우,한우,40,경상남도 함양군 지곡면 보산로 462,2025-09-08
76,무,한우,한우,25,경상남도 함양군 병곡면 옥계길 47-1,2025-09-08
77,무,한우,한우,70,경상남도 함양군 함양읍 중촌길 95,2025-09-08
78,무,한우,한우,40,경상남도 함양군 함양읍 대실길 121-152,2025-09-08
79,무,한우,한우,45,경상남도 함양군 함양읍 중촌길 55,2025-09-08
80,무,한우,한우,100,경상남도 함양군 수동면 효리길 78,2025-09-08
81,우명축산,한우,한우,100,경상남도 함양군 수동면 효리길 78,2025-09-08
82,무,육우,한우,150,경상남도 함양군 유림면 천왕봉로 3125-2,2025-09-08
83,무,한우,한우,45,경상남도 함양군 유림면 안평길 14-82,2025-09-08
84,무,한우,한우,6,경상남도 함양군 백전면 구산대안로 164-40,2025-09-08
85,무,한우,한우,15,경상남도 함양군 병곡면 덕평연서길 245,2025-09-08
86,우상목장,한우,육우,50,경상남도 함양군 지곡면 함양로 1558,2025-09-08
87,무,한우,한우,350,경상남도 함양군 함양읍 구만길 66,2025-09-08
88,무,한우,한우,76,경상남도 함양군 수동면 거함대로 1294,2025-09-08
89,무,한우,한우,25,경상남도 함양군 함양읍 곰실2길 32-3,2025-09-08
90,윤경석,한우,한우,20,경상남도 함양군 유림면 옥매리 1091번지 5호  ,2025-09-08
91,무,한우,한우,23,경상남도 함양군 휴천면 목현옥매로 47-60,2025-09-08
92,무,한우,한우,5,경상남도 함양군 휴천면 산두안길 17-1,2025-09-08
93,효산농장,한우,한우,40,경상남도 함양군 지곡면 보산로 372,2025-09-08
94,위니지 농장,돼지,돼지,2500,경상남도 함양군 휴천면 목현옥매로 101-143,2025-09-08
95,삼민목장,젖소,젖소,70,"경상남도 함양군 유림면 옥매리 830번지 , 831, 832, 833-1 ",2025-09-08
96,주식회사 중앙축산농업회사법인 나주지점,돼지,돼지,2500,경상남도 함양군 함양읍 거면들길 95,2025-09-08
97,무,한우,한우,25,경상남도 함양군 수동면 고실길 51-2,2025-09-08
98,무,한우,한우,16,경상남도 함양군 함양읍 함양관동길 26-23,2025-09-08
99,무,한우,한우,7,경상남도 함양군 수동면 거함대로 598-1,2025-09-08
100,무,한우,한우,30,경상남도 함양군 안의면 후암길 34-68,2025-09-08
101,무,한우,한우,25,경상남도 함양군 안의면 하원리 1049번지  ,2025-09-08
