순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
313,영각농원,육계,육계,71900,경상남도 함양군 서상면 육십령로 1175,2025-09-08
314,남덕유산가금류영농조합(사육자 : 홍덕용),육계,육계,28100,경상남도 함양군 서상면 육십령로 1175,2025-09-08
315,하늘농장,한우,한우,8,경상남도 함양군 병곡면 함양남서로 1671-1,2025-09-08
316,무,한우,한우,11,경상남도 함양군 지곡면 수여길 9-5,2025-09-08
317,미삼농장,한우,한우,17,경상남도 함양군 안의면 성동로 189,2025-09-08
318,무,한우,한우,89,경상남도 함양군 함양읍 함양로 85-23,2025-09-08
319,무,한우,한우,34,경상남도 함양군 병곡면 함양남서로 1568,2025-09-08
320,무,한우,한우,102,경상남도 함양군 함양읍 중촌길 86,2025-09-08
321,동영농장,한우,한우,59,경상남도 함양군 안의면 장자동길 40-157,2025-09-08
322,대가야농장,돼지,돼지,1596,경상남도 함양군 안의면 안의도장골길 301,2025-09-08
323,맥골농장,한우,한우,85,경상남도 함양군 지곡면 효산길 23-68,2025-09-08
324,무,한우,한우,8,경상남도 함양군 안의면 황곡리 1748번지 1호  ,2025-09-08
325,무,한우,한우,25,경상남도 함양군 휴천면 마상길 109,2025-09-08
326,무,한우,한우,3,경상남도 함양군 유림면 대치길 78,2025-09-08
327,무,육계,육계,46000,경상남도 함양군 서상면 육십령로 1173,2025-09-08
328,무,한우,한우,15,경상남도 함양군 함양읍 백천리 689번지 3호  ,2025-09-08
329,무,한우,한우,15,경상남도 함양군 안의면 독자길 20,2025-09-08
330,선흥농원,종계+산란계,종계+산란계,297360,경상남도 함양군 서상면 가르내길 199-1,2025-09-08
331,신기농장,산양,산양,700,경상남도 함양군 함양읍 대실길 121-150,2025-09-08
332,하버드농장2,한우,한우,4,경상남도 함양군 함양읍 뇌계길 46,2025-09-08
333,무,한우,한우,25,경상남도 함양군 함양읍 월명길 92-2,2025-09-08
334,억우농장,한우,한우,20,경상남도 함양군 함양읍 삼봉로 489,2025-09-08
335,무,한우,한우,18,경상남도 함양군 함양읍 대실길 29,2025-09-08
336,대왕농장,육계,육계,45000,경상남도 함양군 안의면 황곡리 1385번지 2호  ,2025-09-08
337,무,한우,한우,50,경상남도 함양군 안의면 안의도장골길 89,2025-09-08
338,산속애농장,돼지,돼지,3000,경상남도 함양군 안의면 신당길 232,2025-09-08
339,무,한우,한우,32,경상남도 함양군 휴천면 고태길 137,2025-09-08
340,무,한우,한우,19,경상남도 함양군 수동면 하교내백로 112,2025-09-08
341,다산농장,돼지,돼지,7500,경상남도 함양군 안의면 당산길 141-2,2025-09-08
342,황마농장,한우,한우,20,경상남도 함양군 안의면 안의관동길 10,2025-09-08
343,무,한우,한우,20,경상남도 함양군 함양읍 함양로 1442-67,2025-09-08
344,무,한우,한우,0,경상남도 함양군 함양읍 함양로 1442-58,2025-09-08
345,월천농장,한우,한우,8,경상남도 함양군 병곡면 토내길 20-48,2025-09-08
346,무,한우,한우,7,경상남도 함양군 병곡면 묘동길 43-46,2025-09-08
347,영각농원 2,육계,육계,53000,경상남도 함양군 서상면 육십령로 1175-1,2025-09-08
348,영농조합법인 코뚜레,한우,한우,29,경상남도 함양군 지곡면 함양로 2506-1,2025-09-08
349,드림농장,돼지,돼지,520,경상남도 함양군 휴천면 세동길 19-4,2025-09-08
350,무,한우,한우,0,경상남도 함양군 병곡면 연덕리 477번지 4호  ,2025-09-08
351,무,한우,한우,0,경상남도 함양군 안의면 황마로 527,2025-09-08
352,무,한우,한우,70,경상남도 함양군 서상면 덕유월성로 371-4,2025-09-08
353,무,오리,오리,17000,경상남도 함양군 서상면 상남리 1574번지 1호  ,2025-09-08
354,그린농장,오리,오리,22000,경상남도 함양군 서상면 상남리 1572번지 1호  ,2025-09-08
355,지리산흑염소,염소,염소,90,경상남도 함양군 안의면 독자길 28-91,2025-09-08
356,찬호농장,한우,한우,35,경상남도 함양군 병곡면 함양남서로 1649,2025-09-08
357,오도재산양목장,산양,산양,10,경상남도 함양군 휴천면 지리산가는길 903-1,2025-09-08
358,무,한우,한우,30,경상남도 함양군 함양읍 거면들길 135,2025-09-08
359,던디목장,젖소,젖소,15,"경상남도 함양군 유림면 유림북로 98, 98-4",2025-09-08
360,경성축산,돼지,돼지,700,경상남도 함양군 휴천면 목현옥매로 101-117,2025-09-08
361,무,한우,한우,19,경상남도 함양군 함양읍 쟁피길 175,2025-09-08
362,무,한우,한우,40,경상남도 함양군 백전면 구산대안로 164-12,2025-09-08
363,무,한우,한우,40,경상남도 함양군 병곡면 병곡지곡로 301,2025-09-08
364,한빛축산,한우,한우,13,경상남도 함양군 안의면 황마로 642,2025-09-08
365,무,한우,한우,14,경상남도 함양군 지곡면 함양로 1542,2025-09-08
366,무,종계+산란계,종계+산란계,1000,경상남도 함양군 백전면 양백길 38,2025-09-08
367,무,한우,한우,27,경상남도 함양군 유림면 천왕봉로 3125-2,2025-09-08
368,무,한우,한우,10,경상남도 함양군 유림면 대치길 70,2025-09-08
369,무,한우,한우,20,경상남도 함양군 함양읍 구만길 66,2025-09-08
370,무,한우,한우,6,경상남도 함양군 백전면 양백길 156,2025-09-08
371,무,한우,한우,10,경상남도 함양군 백전면 양백길 156,2025-09-08
372,무,한우,한우,30,경상남도 함양군 백전면 양백길 156,2025-09-08
373,효산농장 2,한우,한우,0,경상남도 함양군 백전면 양백길 156,2025-09-08
374,무,한우,한우,0,경상남도 함양군 백전면 양백길 156,2025-09-08
375,농촌진흥청/국립축산과학원/가축유전자원센터,한우,한우,498,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
376,농촌진흥청/국립축산과학원/가축유전자원센터,돼지,돼지,50,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
377,농촌진흥청/국립축산과학원/가축유전자원센터,종계+산란계,종계+산란계,9600,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
378,농촌진흥청/국립축산과학원/가축유전자원센터,오리,오리,1016,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
379,농촌진흥청/국립축산과학원/가축유전자원센터,사슴,사슴,170,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
380,농촌진흥청/국립축산과학원/가축유전자원센터,면양,면양,40,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
381,농촌진흥청/국립축산과학원/가축유전자원센터,염소,염소,380,"경상남도 함양군 서상면 덕유월성로 224, 가축유전자원센터",2025-09-08
382,무,한우,한우,22,경상남도 함양군 서하면 함양남서로 3383,2025-09-08
383,성경농장,한우,한우,50,경상남도 함양군 지곡면 신영길 57-2,2025-09-08
384,무,한우,한우,16,경상남도 함양군 수동면 하교내백로 474-16,2025-09-08
385,삼보농장,한우,한우,29,경상남도 함양군 안의면 안의관동길 136-1,2025-09-08
386,명일목장,한우,한우,5,경상남도 함양군 함양읍 거면들길 61-1,2025-09-08
387,무,한우,한우,10,경상남도 함양군 함양읍 뇌산길 176-83,2025-09-08
388,무,한우,한우,72,경상남도 함양군 함양읍 함양로 966,2025-09-08
389,무,한우,한우,9,경상남도 함양군 함양읍 함양관동길 46-20,2025-09-08
390,무,한우,한우,100,경상남도 함양군 병곡면 옥계길 37,2025-09-08
391,무,한우,한우,10,경상남도 함양군 백전면 양백길 156,2025-09-08
392,무,한우,한우,100,경상남도 함양군 지곡면 중촌길 131,2025-09-08
393,무,한우,한우,40,경상남도 함양군 안의면 안의도장골길 80-151,2025-09-08
394,무,한우,한우,17,경상남도 함양군 수동면 사근산성길 53,2025-09-08
395,무,한우,한우,85,경상남도 함양군 백전면 양백길 156,2025-09-08
396,무,한우,한우,85,경상남도 함양군 백전면 양백길 156,2025-09-08
397,무,한우,한우,65,경상남도 함양군 백전면 양백길 156,2025-09-08
398,무,한우,한우,50,경상남도 함양군 백전면 양백길 156,2025-09-08
399,무,한우,한우,68,경상남도 함양군 수동면 고실길 7-19,2025-09-08
400,무,한우,한우,112,경상남도 함양군 휴천면 휴천로 255,2025-09-08
401,무,한우,한우,20,경상남도 함양군 백전면 함양남서로 2418-1,2025-09-08
402,무,한우,한우,10,경상남도 함양군 안의면 중동길 35-1,2025-09-08
403,무,한우,한우,0,경상남도 함양군 안의면 석반길 71,2025-09-08
404,무,한우,한우,9,경상남도 함양군 수동면 원평리 340번지 23호  ,2025-09-08
405,무,한우,한우,30,경상남도 함양군 지곡면 함양로 2592,2025-09-08
406,무,오리,오리,7112,경상남도 함양군 서상면 육십령로 1119,2025-09-08
407,무,한우,한우,40,경상남도 함양군 수동면 내산길 28-19,2025-09-08
408,무,한우,한우,22,경상남도 함양군 함양읍 거면들길 66,2025-09-08
409,무,한우,한우,77,경상남도 함양군 백전면 양백길 156,2025-09-08
410,무,한우,한우,8,경상남도 함양군 함양읍 함양로 29,2025-09-08
411,무,육우,육우,12,경상남도 함양군 백전면 백운로 384,2025-09-08
412,무,한우,한우,98,경상남도 함양군 백전면 양백길 13,2025-09-08
413,무,한우,한우,38,경상남도 함양군 함양읍 거면들길 115,2025-09-08
414,무,한우,한우,165,경상남도 함양군 유림면 함양남서로 157,2025-09-08
415,무,한우,한우,10,경상남도 함양군 안의면 안의도장골길 141,2025-09-08
416,무,한우,한우,5,경상남도 함양군 함양읍 삼봉로 524,2025-09-08
417,무,한우,한우,35,경상남도 함양군 마천면 원정길 110,2025-09-08
418,무,한우,한우,15,경상남도 함양군 서상면 육십령로 1399,2025-09-08
419,무,한우,한우,50,경상남도 함양군 휴천면 목현옥매로 82-5,2025-09-08
420,무,한우,한우,104,경상남도 함양군 지곡면 보산로 107,2025-09-08
421,무,한우,한우,70,경상남도 함양군 백전면 함양남서로 2793,2025-09-08
422,무,한우,한우,20,경상남도 함양군 함양읍 함양로 1442-60,2025-09-08
423,무,한우,한우,50,경상남도 함양군 수동면 치라골길 84-1,2025-09-08
424,무,한우,한우,5,경상남도 함양군 지곡면 효산길 23-68,2025-09-08
425,무,한우,한우,16,경상남도 함양군 안의면 안의도장골길 252,2025-09-08
426,무,한우,한우,6,경상남도 함양군 지곡면 수여길 9-5,2025-09-08
427,무,한우,한우,0,경상남도 함양군 안의면 월림리 205번지 2호  ,2025-09-08
428,무,한우,한우,15,경상남도 함양군 안의면 당본마암길 136-144,2025-09-08
429,무,한우,한우,6,경상남도 함양군 휴천면 목현옥매로 82-3,2025-09-08
430,무,한우,한우,4,경상남도 함양군 유림면 대치길 21-15,2025-09-08
431,무,한우,한우,13,경상남도 함양군 수동면 수남로 144-3,2025-09-08
432,무,한우,한우,21,경상남도 함양군 함양읍 뇌계길 48,2025-09-08
433,무,한우,한우,5,경상남도 함양군 지곡면 신영길 57-1,2025-09-08
434,무,한우,한우,9,경상남도 함양군 안의면 이전리 570번지 1호  ,2025-09-08
435,무,한우,한우,91,경상남도 함양군 함양읍 중촌길 86,2025-09-08
436,무,한우,한우,5,경상남도 함양군 함양읍 함양새터길 49,2025-09-08
437,무,한우,한우,0,경상남도 함양군 지곡면 공배음촌길 23-202,2025-09-08
438,무,육우,육우,48,경상남도 함양군 휴천면 휴천로 255,2025-09-08
439,무,한우,한우,70,경상남도 함양군 병곡면 병곡지곡로 96-6,2025-09-08
440,무,한우,한우,2,경상남도 함양군 서상면 가르내길 199-2,2025-09-08
441,무,한우,한우,15,경상남도 함양군 유림면 안평길 14-91,2025-09-08
442,무,한우,한우,20,경상남도 함양군 병곡면 덕평길 4-1,2025-09-08
443,무,한우,한우,15,경상남도 함양군 휴천면 고태길 139,2025-09-08
444,성수농장,한우,한우,3,경상남도 함양군 안의면 황마로 511,2025-09-08
445,무,한우,한우,8,경상남도 함양군 안의면 황마로 27-36,2025-09-08
446,무,한우,한우,16,경상남도 함양군 지곡면 공배음촌길 23-159,2025-09-08
447,무,한우,한우,32,경상남도 함양군 서하면 호성안길 41,2025-09-08
448,무,한우,한우,75,경상남도 함양군 휴천면 마상길 109-1,2025-09-08
449,무,한우,한우,2,경상남도 함양군 지곡면 보산리 551번지 1호  ,2025-09-08
450,무,한우,한우,0,"경상남도 함양군 백전면 양백리 1047번지 , 1048 ",2025-09-08
451,무,한우,한우,0,경상남도 함양군 휴천면 산두안길 17,2025-09-08
452,무,한우,한우,0,경상남도 함양군 지곡면 보산로 215,2025-09-08
453,무,한우,한우,10,경상남도 함양군 수동면 도북길 137,2025-09-08
454,무,한우,한우,2,경상남도 함양군 휴천면 금반길 110-2,2025-09-08
455,미삼농장2,한우,한우,0,경상남도 함양군 안의면 신안리 150번지  ,2025-09-08
456,농업회사법인(유) 문영축산,돼지,돼지,0,경상남도 함양군 안의면 당산길 149-2,2025-09-08
457,무,한우,한우,0,경상남도 함양군 함양읍 중촌길 61-1,2025-09-08
458,선진농장,염소,염소,30,경상남도 함양군 병곡면 원산지소길 120,2025-09-08
459,무,한우,한우,0,경상남도 함양군 안의면 두평길 54-150,2025-09-08
460,무,한우,한우,0,경상남도 함양군 지곡면 개평리 247번지 4호  ,2025-09-08
461,꼬소하누,한우,한우,0,경상남도 함양군 유림면 대치길 70-2,2025-09-08
462,무,한우,한우,0,경상남도 함양군 함양읍 구룡리 1120-1 ,2025-09-08
463,무,한우,한우,0,경상남도 함양군 유림면 함양남서로 159-6,2025-09-08
464,무,염소,염소,0,경상남도 함양군 안의면 귀곡길 187-1,2025-09-08
465,무,한우,한우,0,경상남도 함양군 안의면 봉산리 527번지  ,2025-09-08
466,무,한우,한우,0,경상남도 함양군 수동면 우명하교로 283-3,2025-09-08
467,거북농장,염소,염소,0,경상남도 함양군 서상면 가르내1길 119,2025-09-08
468,무,한우,한우,0,경상남도 함양군 유림면 유림북로 144-3,2025-09-08
469,무,한우,한우,0,경상남도 함양군 함양읍 중촌길 91-1,2025-09-08
470,수마루 농장,염소,염소,300,경상남도 함양군 수동면 사근산성길 35-48,2025-09-08
471,무,한우,한우,45,경상남도 함양군 유림면 안평길 14-65,2025-09-08
472,무,한우,한우,0,경상남도 함양군 병곡면 옥계길 41,2025-09-08
473,중산농장,염소,염소,100,"경상남도 함양군 서하면 다곡리 912번지 1호 ,912-2 ",2025-09-08
474,무,염소,염소,4,경상남도 함양군 안의면 초동리 49번지  ,2025-09-08
475,무,염소,염소,150,경상남도 함양군 서상면 상남리 1572번지 5호  ,2025-09-08
476,무,한우,한우,12,경상남도 함양군 안의면 초동리 872번지 ,2025-09-08
477,무,염소,염소,4,경상남도 함양군 병곡면 광평리 379-7번지  ,2025-09-08
478,무,염소,염소,20,경상남도 함양군 안의면 귀곡길 187-1,2025-09-08
479,무,한우,한우,0,경상남도 함양군 안의면 거안로 247,2025-09-08
480,무,한우,한우,30,경상남도 함양군 유림면 동호화암로 230,2025-09-08
481,산삼 한우 농장,한우,한우,0,경상남도 함양군 안의면 성동로 160,2025-09-08
482,무,한우,한우,0,경상남도 함양군 수동면 하교내백로 556-1,2025-09-08
483,무,한우,한우,13,경상남도 함양군 휴천면 태관리 472번지 5호  ,2025-09-08
484,무,한우,한우,0,경상남도 함양군 안의면 월림리 205번지 2호  ,2025-09-08
485,무,한우,한우,0,경상남도 함양군 지곡면 효산길 23-70,2025-09-08
486,무,한우,한우,76,경상남도 함양군 수동면 하교내백로 398-7,2025-09-08
487,운산흑염소팜,염소,염소,60,경상남도 함양군 백전면 운산리 677번지 7호  ,2025-09-08
488,오매실염소농장,염소,염소,60,"경상남도 함양군 백전면 대안리 산 166번지 2호 ,260-1 ",2025-09-08
489,국계염소농장,염소,염소,227,경상남도 함양군 유림면 천왕봉로 3165,2025-09-08
490,무,한우,한우,24,경상남도 함양군 지곡면 거평웃골길 118-35 (330-14),2025-09-08
491,무,한우,한우,0,경상남도 함양군 휴천면 동강길 20,2025-09-08
492,팡팡염소농장,염소,염소,0,경상남도 함양군 안의면 귀곡길 187-1,2025-09-08
493,무,한우,한우,0,경상남도 함양군 병곡면 병곡지곡로 89-57,2025-09-08
494,다복축산,돼지,돼지,0,경상남도 함양군 함양읍 거면들길 45,2025-09-08
495,무,한우,한우,0,경상남도 함양군 유림면 대치길 70-1,2025-09-08
496,무,한우,한우,0,경상남도 함양군 서하면 황산리 874번지 1호  ,2025-09-08
497,무,염소,염소,0,"경상남도 함양군 휴천면 문정리 261번지 , 274, 275, 1434-1번지 ",2025-09-08
498,산풀숲농장,종계+산란계,종계+산란계,0,경상남도 함양군 유림면 함양남서로 159-7,2025-09-08
499,농업회사법인(주) 염소랑,염소,염소,50,"경상남도 함양군 함양읍 구룡리 1141번지 19호 , 1141-21 ",2025-09-08
500,무,한우,한우,0,경상남도 함양군 병곡면 옥계리 222번지 ,2025-09-08
501,무,염소,염소,5,경상남도 함양군 안의면 장자동길 40-240,2025-09-08
502,함양샘골농원,종계+산란계,종계+산란계,0,경상남도 함양군 수동면 수남로 535-1,2025-09-08
503,대산농원,염소,염소,0,경상남도 함양군 백전면 대안리 504번지 1호  ,2025-09-08
504,무,한우,한우,0,경상남도 함양군 병곡면 축동길 56-5,2025-09-08
505,무,염소,염소,282,경상남도 함양군 수동면 우명리 930번지 13호  ,2025-09-08
506,함양오디마루농원,종계+산란계,종계+산란계,300,경상남도 함양군 병곡면 병곡지곡로 89-69,2025-09-08
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
