순번,시군구명,업체명,소재지,신고일자,영업상태,주사육업종,등록허가여부,시설면적(제곱미터),데이터기준일자
487,진안군,제2 이화농장,전북특별자치도 진안군 백운면 남계리 396번지  ,2023-04-21,정상,육우,허가,331,2026-01-07
488,진안군,주용농장,전북특별자치도 진안군 안천면 신괴리 86번지 1호  ,2023-04-28,정상,한우,등록,45,2026-01-07
489,진안군,안방농장2,전북특별자치도 진안군 마령면 동촌리 334번지  ,2023-08-21,정상,한우,허가,352,2026-01-07
490,진안군,상영농장,전북특별자치도 진안군 진안읍 물곡리 675번지 1호  ,2023-11-02,정상,한우,허가,352,2026-01-07
491,진안군,현정이네 흑염소 농장,전북특별자치도 진안군 진안읍 반월리 628번지  ,2023-12-22,정상,염소,등록,686,2026-01-07
492,진안군,준순농장,전북특별자치도 진안군 부귀면 세동리 224번지  ,2024-01-23,정상,한우,등록,30,2026-01-07
493,진안군,조은농장,전북특별자치도 진안군 진안읍 오천리 산 58번지 1호  ,2024-02-28,정상,염소,등록,60,2026-01-07
494,진안군,마이산 한우 농장,전북특별자치도 진안군 성수면 좌포리 123번지 1호 외 1필지(123-2) ,2024-03-04,정상,한우,허가,262.7,2026-01-07
495,진안군,금마3농장,전북특별자치도 진안군 진안읍 반월리 486번지  ,2024-03-21,정상,한우,허가,448,2026-01-07
496,진안군,훈이한우농장,전북특별자치도 진안군 진안읍 가림리 1997번지  ,2024-03-28,정상,한우,허가,384,2026-01-07
497,진안군,경랑농장,전북특별자치도 진안군 마령면 덕천리 375번지 2호  ,2024-04-01,정상,한우,등록,99,2026-01-07
498,진안군,지인농장,전북특별자치도 진안군 진안읍 오천리 1236번지 8호 외 1필지(1236-14) ,2024-04-05,정상,한우,허가,1915.83,2026-01-07
499,진안군,데미샘꿈그린,전북특별자치도 진안군 백운면 신암리 128번지 외 1필지(128-4) ,2024-04-09,정상,염소,등록,166,2026-01-07
500,진안군,도깨비농장,전북특별자치도 진안군 진안읍 물곡리 757-2번지  ,2024-06-05,정상,한우,허가,320,2026-01-07
501,진안군,진안보어농장,전북특별자치도 진안군 성수면 중길리 517번지 1호  ,2024-07-23,정상,산양,등록,784,2026-01-07
502,진안군,두섭농장,전북특별자치도 진안군 부귀면 세동리 90번지 2호  ,2024-08-05,정상,한우,등록,50,2026-01-07
503,진안군,희종축사,전북특별자치도 진안군 진안읍 가림리 1895번지 3호  ,2024-08-07,정상,한우,허가,343.98,2026-01-07
504,진안군,초원농장2,전북특별자치도 진안군 진안읍 가막리 산 73번지 외 1필지(842) ,2024-08-28,정상,한우,허가,350,2026-01-07
505,진안군,영군농장,전북특별자치도 진안군 안천면 백화리 201번지 1호  ,2024-09-12,정상,한우,허가,280,2026-01-07
506,진안군,이레축산2,전북특별자치도 진안군 부귀면 봉암리 708번지 ,2024-10-02,정상,한우,허가,336,2026-01-07
