순번,시군구명,업체명,소재지,신고일자,영업상태,주사육업종,등록허가여부,시설면적(제곱미터),데이터기준일자
129,진안군,초원농장,전북특별자치도 진안군 진안읍 정곡리 365번지 8호  ,2008-04-04,정상,돼지,허가,1261.41,2026-01-07
130,진안군,호준농장,전북특별자치도 진안군 부귀면 오룡리 416번지 2호  ,2008-04-04,정상,한우,허가,1221,2026-01-07
131,진안군,두남목장,전북특별자치도 진안군 부귀면 두남리 561번지 1호  ,2008-04-04,정상,한우,허가,1072.28,2026-01-07
132,진안군,효빈농장,전북특별자치도 진안군 부귀면 오룡리 554번지 1호  ,2008-04-04,정상,한우,등록,200,2026-01-07
133,진안군,상우농장,전북특별자치도 진안군 부귀면 오룡리 296번지  ,2008-04-04,정상,한우,등록,165,2026-01-07
134,진안군,오산농장,전북특별자치도 진안군 부귀면 오룡리 312번지  ,2008-04-04,정상,한우,등록,215,2026-01-07
135,진안군,삼봉농장,전북특별자치도 진안군 부귀면 두남리 229번지  ,2008-04-11,정상,한우,허가,192,2026-01-07
136,진안군,상기한우농장,전북특별자치도 진안군 성수면 좌산리 233번지 12호  ,2008-04-11,정상,한우,등록,269.28,2026-01-07
137,진안군,슬기목장,전북특별자치도 진안군 용담면 송풍리 1574번지 1호  ,2008-04-11,정상,한우,등록,100,2026-01-07
138,진안군,내오천농장,전북특별자치도 진안군 진안읍 죽산리 104번지  ,2008-04-11,정상,한우,등록,100,2026-01-07
139,진안군,물곡농장,전북특별자치도 진안군 진안읍 물곡리 975번지  ,2008-04-15,정상,한우,등록,165,2026-01-07
140,진안군,지사농장,전북특별자치도 진안군 상전면 주평리 777번지  ,2008-04-16,정상,한우,허가,204,2026-01-07
141,진안군,세동목장,전북특별자치도 진안군 부귀면 세동리 126번지 4호  ,2008-04-25,정상,한우,등록,516,2026-01-07
142,진안군,대전목장,전북특별자치도 진안군 백운면 신암리 714번지 1호  ,2008-04-30,정상,한우,등록,429,2026-01-07
143,진안군,햇님농장,전북특별자치도 진안군 성수면 외궁리 461번지  ,2008-05-09,정상,한우,등록,396.9,2026-01-07
144,진안군,궁동목장,전북특별자치도 진안군 진안읍 물곡리 1318번지 1호  ,2008-05-09,정상,한우,허가,147,2026-01-07
145,진안군,다올농장,전북특별자치도 진안군 백운면 운교리 143번지 1호  ,2008-06-03,정상,한우,등록,320,2026-01-07
146,진안군,강정한우마을,전북특별자치도 진안군 마령면 평지리 1421번지  ,2008-06-13,정상,한우,등록,704,2026-01-07
147,진안군,대곡농장,전북특별자치도 진안군 부귀면 세동리 1068번지 1호  ,2008-06-13,정상,한우,등록,200,2026-01-07
148,진안군,세동농장,전북특별자치도 진안군 부귀면 세동리 78번지 1호  ,2008-06-13,정상,한우,허가,396.1,2026-01-07
149,진안군,춘하농장,전북특별자치도 진안군 동향면 학선리 662번지 1호  ,2008-06-13,정상,한우,허가,342.94,2026-01-07
150,진안군,가래골농장,전북특별자치도 진안군 동향면 능금리 1374번지 1호  ,2008-06-13,정상,한우,허가,615.46,2026-01-07
151,진안군,백운농장,"전북특별자치도 진안군 백운면 운교리 415번지 ,415-2 ",2008-06-14,정상,한우,허가,350,2026-01-07
152,진안군,기영농장,전북특별자치도 진안군 동향면 대량리 4번지 2호  ,2008-06-20,정상,한우,등록,726.45,2026-01-07
153,진안군,데미샘목장,전북특별자치도 진안군 백운면 신암리 산 3번지 2호  ,2008-06-20,정상,한우,등록,214.5,2026-01-07
154,진안군,운장산멧돼지농원,전북특별자치도 진안군 주천면 주양리 580번지  ,2008-06-20,정상,돼지,등록,384.84,2026-01-07
155,진안군,염복한우,전북특별자치도 진안군 성수면 구신리 754번지 1호  ,2008-06-24,정상,한우,등록,253,2026-01-07
156,진안군,안방농장,전북특별자치도 진안군 마령면 덕천리 1847번지  ,2008-06-25,정상,한우,허가,824,2026-01-07
157,진안군,은안농장,전북특별자치도 진안군 백운면 동창리 88번지 2호  ,2008-06-30,정상,한우,등록,280,2026-01-07
158,진안군,남계리축산,전북특별자치도 진안군 백운면 남계리 738번지  ,2008-06-30,정상,한우,등록,168,2026-01-07
159,진안군,우석농장,전북특별자치도 진안군 백운면 남계리 711번지  ,2008-06-30,정상,한우,허가,384,2026-01-07
160,진안군,하염농장,전북특별자치도 진안군 성수면 구신리 662번지 5호  ,2008-06-30,정상,한우,등록,348,2026-01-07
161,진안군,희수농장,전북특별자치도 진안군 성수면 구신리 1323번지 7호  ,2008-06-30,정상,한우,허가,919.35,2026-01-07
162,진안군,신기리농장,전북특별자치도 진안군 성수면 신기리 227번지  ,2008-07-03,정상,한우,등록,200,2026-01-07
163,진안군,창권농장,전북특별자치도 진안군 진안읍 오천리 1020번지 1호  ,2008-07-04,정상,한우,허가,178,2026-01-07
164,진안군,형우목장,전북특별자치도 진안군 진안읍 군하리 9번지  ,2008-07-04,정상,한우,허가,346,2026-01-07
165,진안군,사기점농장,전북특별자치도 진안군 성수면 중길리 389번지 3호  ,2008-07-04,정상,한우,허가,496.72,2026-01-07
166,진안군,복실농장,전북특별자치도 진안군 성수면 신기리 576번지  ,2008-07-04,정상,한우,허가,791.41,2026-01-07
167,진안군,해찬농장,전북특별자치도 진안군 성수면 외궁리 676번지  ,2008-07-04,정상,한우,등록,150,2026-01-07
168,진안군,원외궁농장,전북특별자치도 진안군 성수면 외궁리 376번지  ,2008-07-04,정상,한우,등록,50,2026-01-07
169,진안군,외궁농장,전북특별자치도 진안군 성수면 외궁리 382번지  ,2008-07-04,정상,한우,등록,40,2026-01-07
170,진안군,소인상농장,전북특별자치도 진안군 부귀면 오룡리 33번지 1호  ,2008-07-04,정상,한우,허가,471.13,2026-01-07
171,진안군,정화농장,전북특별자치도 진안군 마령면 덕천리 1265번지 1호  ,2008-07-07,정상,육계,허가,8960,2026-01-07
172,진안군,희망농장,전북특별자치도 진안군 정천면 월평리 220번지 2호  ,2008-07-08,정상,한우,등록,336.2,2026-01-07
173,진안군,화전농장,전북특별자치도 진안군 마령면 동촌리 87번지 2호  ,2008-07-08,정상,한우,허가,428,2026-01-07
174,진안군,구룡리농장,전북특별자치도 진안군 진안읍 구룡리 950번지 4호  ,2008-07-08,정상,한우,허가,374.77,2026-01-07
175,진안군,외궁농장,전북특별자치도 진안군 성수면 외궁리 365번지  ,2008-07-09,정상,한우,등록,30,2026-01-07
176,진안군,이대용축사,전북특별자치도 진안군 마령면 강정리 1661번지 3호  ,2008-07-18,정상,한우,허가,2187,2026-01-07
177,진안군,거상농장,전북특별자치도 진안군 백운면 노촌리 130번지 4호  ,2008-09-26,정상,한우,등록,200,2026-01-07
178,진안군,원신기농장,전북특별자치도 진안군 성수면 신기리 409번지  ,2008-10-20,정상,한우,등록,150,2026-01-07
179,진안군,씨알농장,"전북특별자치도 진안군 마령면 덕천리 445번지 12호 ,445-16 ",2008-11-19,정상,돼지,허가,3355.4,2026-01-07
180,진안군,오천축사,전북특별자치도 진안군 진안읍 오천리 1089번지 1호  ,2008-11-25,정상,한우,허가,620,2026-01-07
181,진안군,희망농장,전북특별자치도 진안군 동향면 신송리 503번지  ,2009-01-05,정상,한우,허가,128,2026-01-07
182,진안군,희망농장,"전북특별자치도 진안군 동향면 신송리 586, 573, 571-1 ",2009-01-05,정상,한우,허가,350.37,2026-01-07
183,진안군,학선농장,"전북특별자치도 진안군 동향면 학선리 88번지 2호 ,271-1 ",2009-01-09,정상,한우,허가,596.8,2026-01-07
184,진안군,외기농장,전북특별자치도 진안군 진안읍 반월리 1681번지  ,2009-01-13,정상,돼지,허가,4986.66,2026-01-07
185,진안군,덕태산장농장,전북특별자치도 진안군 백운면 백암리 109번지  ,2009-01-13,정상,육계,등록,100,2026-01-07
186,진안군,장성농장,전북특별자치도 진안군 성수면 구신리 1329번지 3호  ,2009-01-13,정상,한우,허가,554.27,2026-01-07
187,진안군,장성마을농장,전북특별자치도 진안군 성수면 구신리 372번지 1호  ,2009-01-13,정상,한우,등록,180,2026-01-07
188,진안군,일남농장,전북특별자치도 진안군 성수면 구신리 326번지 1호  ,2009-01-13,정상,한우,등록,100,2026-01-07
189,진안군,백운농장,전북특별자치도 진안군 백운면 신암리 496번지 1호  ,2009-01-15,정상,한우,등록,74.92,2026-01-07
190,진안군,하노농장,전북특별자치도 진안군 동향면 자산리 311번지  ,2009-01-19,정상,한우,등록,336,2026-01-07
191,진안군,명우농장,전북특별자치도 진안군 백운면 남계리 694번지  ,2009-01-22,정상,한우,허가,600,2026-01-07
192,진안군,가림리농장,전북특별자치도 진안군 진안읍 가림리 605번지  ,2009-01-22,정상,한우,허가,383.9,2026-01-07
193,진안군,성환농장,전북특별자치도 진안군 진안읍 물곡리 901번지  ,2009-02-02,정상,한우,등록,50,2026-01-07
194,진안군,푸른농장,전북특별자치도 진안군 정천면 월평리 96번지 2호  ,2009-02-02,정상,한우,등록,90,2026-01-07
195,진안군,대곡농장,전북특별자치도 진안군 부귀면 수항리 산 120번지 3호 외 3필지 ,2009-02-16,정상,한우,허가,372,2026-01-07
196,진안군,종원농장,전북특별자치도 진안군 마령면 계서리 446번지 2호  ,2009-02-16,정상,한우,등록,234,2026-01-07
197,진안군,준서농장,전북특별자치도 진안군 성수면 좌포리 746번지 3호  ,2009-02-16,정상,한우,등록,255.2,2026-01-07
198,진안군,대영농장,전북특별자치도 진안군 백운면 백암리 724번지 1호  ,2009-03-01,정상,한우,등록,60.81,2026-01-07
199,진안군,금마농장,전북특별자치도 진안군 진안읍 반월리 410번지 9호  ,2009-03-09,정상,한우,허가,132.24,2026-01-07
200,진안군,양지농장,"전북특별자치도 진안군 성수면 외궁리 174번지 1호 외 7필지(174-8,175-2,176,177,179-1,180,180-1) ",2009-03-09,정상,육계,허가,3372.36,2026-01-07
201,진안군,장성농장,전북특별자치도 진안군 부귀면 수항리 430번지  ,2009-03-09,정상,한우,허가,223,2026-01-07
202,진안군,나연농장,전북특별자치도 진안군 부귀면 수항리 1479번지  ,2009-03-13,정상,한우,허가,400,2026-01-07
203,진안군,원연장축사,전북특별자치도 진안군 진안읍 연장리 298번지  ,2009-03-25,정상,한우,등록,30,2026-01-07
204,진안군,초원농장,전북특별자치도 진안군 진안읍 가막리 765번지  ,2009-03-25,정상,한우,허가,709.5,2026-01-07
205,진안군,춘옥농장,전북특별자치도 진안군 진안읍 연장리 185번지 5호  ,2009-03-31,정상,한우,등록,80,2026-01-07
206,진안군,원연장축사,전북특별자치도 진안군 진안읍 연장리 366번지  ,2009-03-31,정상,한우,등록,30,2026-01-07
207,진안군,영환농장,전북특별자치도 진안군 진안읍 연장리 360번지  ,2009-03-31,정상,한우,등록,30,2026-01-07
208,진안군,판석농장,전북특별자치도 진안군 진안읍 물곡리 1272번지  ,2009-03-31,정상,한우,등록,454.82,2026-01-07
209,진안군,마이산고을 농장,전북특별자치도 진안군 진안읍 단양리 245번지  ,2009-04-02,정상,한우,허가,168,2026-01-07
210,진안군,차랑농장,전북특별자치도 진안군 진안읍 가막리 677번지 14호  ,2009-04-02,정상,한우,허가,120,2026-01-07
211,진안군,한성양계장,전북특별자치도 진안군 안천면 노성리 272번지  ,2009-04-02,정상,육계,허가,2993.69,2026-01-07
212,진안군,물곡농장,전북특별자치도 진안군 진안읍 물곡리 909번지 2호  ,2009-04-06,정상,한우,등록,80,2026-01-07
213,진안군,승봉농장,전북특별자치도 진안군 진안읍 연장리 287번지 1호  ,2009-04-06,정상,한우,등록,341.12,2026-01-07
214,진안군,마이산농장,"전북특별자치도 진안군 마령면 동촌리 303번지 외 2필지(302,302-1) ",2009-04-22,정상,육계,허가,3863.76,2026-01-07
215,진안군,중수항축사,전북특별자치도 진안군 부귀면 황금리 452번지  ,2009-04-22,정상,한우,허가,192,2026-01-07
216,진안군,돌다리 우수한우농장,전북특별자치도 진안군 마령면 계서리 1363번지  ,2009-04-27,정상,한우,등록,100,2026-01-07
217,진안군,행복농장,전북특별자치도 진안군 용담면 송풍리 1509번지 4호  ,2009-05-12,정상,한우,등록,90,2026-01-07
218,진안군,정식축사,전북특별자치도 진안군 진안읍 물곡리 1073번지 3호  ,2009-05-15,정상,한우,허가,230,2026-01-07
219,진안군,기현농장,전북특별자치도 진안군 진안읍 단양리 916번지  ,2009-05-25,정상,한우,허가,704,2026-01-07
220,진안군,외기농장,전북특별자치도 진안군 진안읍 반월리 산 112번지  ,2009-05-26,정상,한우,등록,10,2026-01-07
221,진안군,친절축산농장,전북특별자치도 진안군 마령면 평지리 378번지  ,2009-05-26,정상,한우,등록,251,2026-01-07
222,진안군,유성농장,전북특별자치도 진안군 부귀면 두남리 408번지 1호  ,2009-07-28,정상,육계,허가,4691,2026-01-07
223,진안군,가정농장,전북특별자치도 진안군 부귀면 신정리 528번지 3호  ,2009-08-11,정상,한우,등록,351.28,2026-01-07
224,진안군,현대축산,전북특별자치도 진안군 진안읍 물곡리 1241번지 13호  ,2009-09-15,정상,한우,허가,642.46,2026-01-07
225,진안군,석전농장,전북특별자치도 진안군 백운면 동창리 328번지 1호  ,2009-09-25,정상,한우,등록,280,2026-01-07
226,진안군,산암농장,전북특별자치도 진안군 진안읍 반월리 151번지 4호  ,2009-10-27,정상,한우,등록,100,2026-01-07
227,진안군,평강목장,전북특별자치도 진안군 진안읍 오천리 1215번지  ,2009-10-27,정상,염소,등록,198,2026-01-07
228,진안군,봉곤농장,전북특별자치도 진안군 진안읍 오천리 793번지  ,2009-10-27,정상,한우,등록,30,2026-01-07
229,진안군,하나농장,전북특별자치도 진안군 정천면 월평리 1164번지  ,2009-11-09,정상,한우,허가,441,2026-01-07
230,진안군,황금농장(2),전북특별자치도 진안군 부귀면 황금리 681번지 2호  ,2009-11-12,정상,한우,허가,340,2026-01-07
231,진안군,금마농장,전북특별자치도 진안군 부귀면 거석리 1113번지 11호  ,2009-11-12,정상,한우,허가,1245,2026-01-07
232,진안군,구룡농장,전북특별자치도 진안군 진안읍 구룡리 1074번지  ,2009-12-02,정상,한우,허가,812,2026-01-07
233,진안군,일송농장,전북특별자치도 진안군 진안읍 군상리 95번지 28호  ,2010-01-11,정상,한우,등록,30,2026-01-07
234,진안군,은천농장,"전북특별자치도 진안군 진안읍 가림리 1146-2,1146-6 ",2010-01-15,정상,한우,허가,1342.11,2026-01-07
235,진안군,장제동농장,전북특별자치도 진안군 마령면 덕천리 1356번지  ,2010-01-20,정상,한우,등록,140,2026-01-07
236,진안군,성희농장,전북특별자치도 진안군 부귀면 황금리 355번지 1호  ,2010-01-20,정상,한우,등록,160,2026-01-07
237,진안군,성수축사,전북특별자치도 진안군 성수면 도통리 915번지 6호  ,2010-01-26,정상,한우,허가,337.08,2026-01-07
238,진안군,송악농장,전북특별자치도 진안군 진안읍 운산리 502번지 5호  ,2010-01-28,정상,한우,등록,336,2026-01-07
239,진안군,운산리축사,전북특별자치도 진안군 진안읍 운산리 1662번지 3호  ,2010-02-09,정상,한우,등록,96,2026-01-07
240,진안군,뿌리동물농장,전북특별자치도 진안군 마령면 덕천리 322번지  ,2010-03-08,정상,돼지,허가,455.34,2026-01-07
241,진안군,백암농장,전북특별자치도 진안군 백운면 백암리 515번지  ,2010-03-19,정상,한우,등록,200.48,2026-01-07
242,진안군,시동농장,전북특별자치도 진안군 성수면 구신리 1076번지  ,2010-03-19,정상,한우,등록,180,2026-01-07
243,진안군,시완농장,전북특별자치도 진안군 진안읍 물곡리 1363번지 2호  ,2010-04-13,정상,한우,등록,168,2026-01-07
244,진안군,희인농장,전북특별자치도 진안군 부귀면 황금리 537번지 1호  ,2010-04-20,정상,한우,허가,789.6,2026-01-07
245,진안군,솔안농장,전북특별자치도 진안군 마령면 평지리 574번지 1호  ,2010-04-26,정상,한우,등록,60,2026-01-07
246,진안군,산암농장,전북특별자치도 진안군 진안읍 반월리 151번지  ,2010-05-10,정상,한우,등록,100,2026-01-07
247,진안군,봉암농장,전북특별자치도 진안군 부귀면 봉암리 189번지 1호  ,2010-08-03,정상,육계,허가,1895.4,2026-01-07
248,진안군,희망농장,전북특별자치도 진안군 성수면 용포리 124번지  ,2010-09-10,정상,한우,등록,100,2026-01-07
249,진안군,반용농장,전북특별자치도 진안군 성수면 용포리 10번지 4호  ,2010-09-10,정상,한우,등록,200,2026-01-07
250,진안군,우리농장,전북특별자치도 진안군 진안읍 연장리 2000번지  ,2010-09-16,정상,한우,허가,700,2026-01-07
251,진안군,금포농장,전북특별자치도 진안군 부귀면 거석리 29번지  ,2010-09-27,정상,한우,등록,571.96,2026-01-07
252,진안군,광채농장,전북특별자치도 진안군 부귀면 세동리 761번지 3호  ,2010-10-08,정상,육계,등록,490,2026-01-07
253,진안군,원구신농장,전북특별자치도 진안군 성수면 구신리 21번지  ,2010-10-21,정상,한우,등록,65,2026-01-07
254,진안군,키움농장,"전북특별자치도 진안군 성수면 용포리 504번지 , 517 ",2010-10-21,정상,한우,허가,3500,2026-01-07
255,진안군,유곡농장,전북특별자치도 진안군 동향면 신송리 1327번지 1호  ,2010-10-28,정상,한우,등록,60,2026-01-07
256,진안군,번암농장,전북특별자치도 진안군 백운면 백암리 746번지  ,2010-10-28,정상,한우,등록,453.74,2026-01-07
257,진안군,자연농장,전북특별자치도 진안군 진안읍 가림리 580번지 3호  ,2010-11-29,정상,한우,허가,693,2026-01-07
258,진안군,운마농장,전북특별자치도 진안군 부귀면 수항리 699번지 6호  ,2010-12-17,정상,한우,허가,4926.56,2026-01-07
259,진안군,경환농장2,전북특별자치도 진안군 마령면 평지리 1199번지 1호  ,2011-01-13,정상,한우,허가,497.9,2026-01-07
260,진안군,가온농장,전북특별자치도 진안군 마령면 덕천리 445번지 10호  ,2011-01-28,정상,돼지,허가,3355.9,2026-01-07
261,진안군,장농장,전북특별자치도 진안군 부귀면 거석리 1302번지  ,2011-02-10,정상,한우,허가,747.5,2026-01-07
262,진안군,상염북농장,전북특별자치도 진안군 성수면 구신리 714번지 1호  ,2011-02-18,정상,한우,등록,192,2026-01-07
263,진안군,황금농장,전북특별자치도 진안군 부귀면 황금리 363번지 4호  ,2011-02-18,정상,한우,허가,528,2026-01-07
264,진안군,상길농장,전북특별자치도 진안군 동향면 학선리 30번지 1호  ,2011-02-21,정상,한우,등록,277,2026-01-07
265,진안군,우리농장,전북특별자치도 진안군 부귀면 두남리 825번지  ,2011-02-21,정상,한우,등록,1172,2026-01-07
266,진안군,상가막농장,전북특별자치도 진안군 진안읍 가막리 845번지  ,2011-03-14,정상,한우,허가,891.92,2026-01-07
267,진안군,늘푸른농장,전북특별자치도 진안군 성수면 중길리 822번지 1호  ,2011-03-21,정상,한우,허가,2112,2026-01-07
268,진안군,진영농장,전북특별자치도 진안군 부귀면 수항리 542번지 1호  ,2011-04-18,정상,한우,등록,218,2026-01-07
269,진안군,태기농장,전북특별자치도 진안군 부귀면 오룡리 60번지 14호  ,2011-04-27,정상,한우,허가,282.63,2026-01-07
270,진안군,재명농장,전북특별자치도 진안군 성수면 도통리 824번지 3호  ,2011-05-06,정상,한우,허가,733,2026-01-07
271,진안군,새터농장,전북특별자치도 진안군 주천면 대불리 1332번지 1호  ,2011-05-06,정상,한우,허가,170.04,2026-01-07
272,진안군,운장,"전북특별자치도 진안군 주천면 대불리 1914, 1915 ",2011-06-02,정상,한우,허가,1072,2026-01-07
273,진안군,현진농장,전북특별자치도 진안군 동향면 신송리 941번지  ,2011-06-08,정상,육계,허가,3699.5,2026-01-07
274,진안군,용농장,전북특별자치도 진안군 진안읍 물곡리 336번지  ,2011-06-13,정상,한우,등록,85,2026-01-07
275,진안군,무진장축협(유전자센터),전북특별자치도 진안군 진안읍 가림리 1386번지 1호 2077번지 ,2011-06-15,정상,돼지,허가,1026.77,2026-01-07
276,진안군,번덕농장,전북특별자치도 진안군 백운면 동창리 132번지 1호  ,2011-07-08,정상,한우,등록,224,2026-01-07
277,진안군,예덴농장,"전북특별자치도 진안군 동향면 학선리 1095번지 외 4필지(41-1,41-4,40-3,1041-20) ",2011-07-27,정상,오리,허가,5508.72,2026-01-07
278,진안군,월평농장,전북특별자치도 진안군 정천면 갈용리 1256번지 1호  ,2011-08-23,정상,한우,허가,440,2026-01-07
279,진안군,산내들농장,전북특별자치도 진안군 마령면 계서리 1464번지  ,2011-08-26,정상,육계,허가,5652,2026-01-07
280,진안군,온수골농장,전북특별자치도 진안군 동향면 학선리 218번지  ,2011-09-28,정상,한우,허가,750,2026-01-07
281,진안군,오암농장,전북특별자치도 진안군 성수면 중길리 82번지  ,2011-10-06,정상,돼지,허가,1602.8,2026-01-07
282,진안군,성은농장,"전북특별자치도 진안군 진안읍 연장리 853번지 8필지(844-1,845,852,853-1,853-5,853-6,853-11,853-12) ",2011-10-18,정상,돼지,허가,3133.17,2026-01-07
283,진안군,진안농장,전북특별자치도 진안군 진안읍 정곡리 365번지 18호  ,2011-10-18,정상,한우,등록,364.5,2026-01-07
284,진안군,백우농장,전북특별자치도 진안군 진안읍 물곡리 895번지  ,2011-11-17,정상,한우,허가,500,2026-01-07
285,진안군,영일농장,전북특별자치도 진안군 진안읍 군하리 104번지 7호  ,2011-11-18,정상,한우,등록,350,2026-01-07
286,진안군,시리농장,전북특별자치도 진안군 진안읍 오천리 1396번지 5호 외 10 ,2011-11-21,정상,돼지,허가,13071.89,2026-01-07
287,진안군,형제목장,전북특별자치도 진안군 부귀면 두남리 560번지  ,2011-11-29,정상,한우,허가,567,2026-01-07
288,진안군,한울농장,전북특별자치도 진안군 성수면 좌포리 870번지 1호  ,2011-12-02,정상,육계,허가,3696,2026-01-07
289,진안군,명진농장,전북특별자치도 진안군 마령면 오동2길 35-31,2012-01-10,정상,한우,등록,90,2026-01-07
290,진안군,대연농장,전북특별자치도 진안군 진안읍 연장리 686번지  ,2012-01-10,정상,한우,등록,90,2026-01-07
291,진안군,영중농장,전북특별자치도 진안군 진안읍 물곡리 762번지 4호  ,2012-04-26,정상,한우,허가,500,2026-01-07
292,진안군,제일농장,전북특별자치도 진안군 동향면 대량리 962번지  ,2012-05-25,정상,한우,등록,280,2026-01-07
293,진안군,둥지농장,전북특별자치도 진안군 부귀면 수항리 1158번지 1호  ,2012-06-25,정상,육계,허가,5995.08,2026-01-07
294,진안군,아침 이레 농장,전북특별자치도 진안군 성수면 가외반로 374-65,2012-07-02,정상,육계,허가,3675.5,2026-01-07
295,진안군,교동농장,전북특별자치도 진안군 안천면 교동길 15,2012-07-30,정상,한우,등록,99,2026-01-07
296,진안군,동물농장,전북특별자치도 진안군 백운면 운교리 30번지  ,2012-08-23,정상,한우,등록,192,2026-01-07
297,진안군,마이한우,전북특별자치도 진안군 상전면 주평리 875번지 1호  ,2012-09-06,정상,한우,허가,448,2026-01-07
298,진안군,김정길양계농장,"전북특별자치도 진안군 진안읍 단양리 928, 930 ",2012-10-10,정상,육계,허가,3990.86,2026-01-07
299,진안군,일오일삼농장,전북특별자치도 진안군 진안읍 오천리 1513번지  ,2012-10-30,정상,한우,허가,598,2026-01-07
300,진안군,에덴목장,전북특별자치도 진안군 진안읍 가림리 1875번지 4호  ,2012-11-12,정상,젖소,허가,1500,2026-01-07
301,진안군,류담목장,전북특별자치도 진안군 진안읍 물곡리 851번지  ,2012-11-28,정상,젖소,허가,590,2026-01-07
302,진안군,창성농장,전북특별자치도 진안군 백운면 운교리 1311번지  ,2012-11-28,정상,한우,등록,240,2026-01-07
303,진안군,마이산농장,전북특별자치도 진안군 백운면 남계리 882번지  ,2012-11-28,정상,육계,허가,4529.34,2026-01-07
304,진안군,고맙소농원,전북특별자치도 진안군 진안읍 반월리 73번지 2호  ,2012-12-12,정상,한우,허가,336,2026-01-07
305,진안군,부귀면 금평농장,전북특별자치도 진안군 부귀면 거석리 1004번지  ,2013-03-19,정상,한우,등록,350,2026-01-07
306,진안군,불무농장,전북특별자치도 진안군 부귀면 수항리 804번지  ,2013-04-17,정상,한우,허가,700,2026-01-07
307,진안군,상기농장,전북특별자치도 진안군 성수면 좌산리 157번지  ,2013-04-23,정상,한우,허가,1002.18,2026-01-07
308,진안군,성원농장,전북특별자치도 진안군 진안읍 물곡리 781번지 10호  ,2013-05-29,정상,한우,허가,1159.2,2026-01-07
309,진안군,주완농장,전북특별자치도 진안군 진안읍 군상리 144번지 1호  ,2013-05-31,정상,염소,등록,154,2026-01-07
310,진안군,번영제2목장,전북특별자치도 진안군 마령면 덕천리 1280번지 6호  ,2013-05-31,정상,육우,허가,1719,2026-01-07
311,진안군,곰티흑염소농장,"전북특별자치도 진안군 부귀면 세동리 562-4,5 ",2013-06-04,정상,산양,등록,698,2026-01-07
312,진안군,학춘농장,"전북특별자치도 진안군 성수면 외궁리 459번지 1호 외 9필지(459,459-1,460,461,463,531,531-1,531-2,531-3) ",2013-07-04,정상,육계,허가,5931,2026-01-07
313,진안군,부귀다산양계,전북특별자치도 진안군 부귀면 거석리 26번지  ,2013-07-16,정상,메추리,등록,887.29,2026-01-07
314,진안군,나래목장,전북특별자치도 진안군 진안읍 물곡리 761번지  ,2013-07-16,정상,젖소,허가,922,2026-01-07
315,진안군,도원축산,전북특별자치도 진안군 안천면 백화리 1129번지 1호  ,2013-07-25,정상,육계,허가,3013,2026-01-07
316,진안군,정준농장,전북특별자치도 진안군 진안읍 가림리 1993번지  ,2013-07-25,정상,육계,허가,5275.43,2026-01-07
317,진안군,데미샘목장(주),"전북특별자치도 진안군 백운면 신암리 산 3번지 , 외 5필지(산3-5,130,131,132,194) ",2013-07-25,정상,젖소,허가,2422.19,2026-01-07
318,진안군,우식농장,전북특별자치도 진안군 동향면 능금리 1159번지 외 1필지 ,2013-08-18,정상,한우,허가,187.5,2026-01-07
319,진안군,민석농장,전북특별자치도 진안군 동향면 능금리 703번지  ,2013-08-18,정상,한우,허가,634,2026-01-07
320,진안군,대덕농장,전북특별자치도 진안군 동향면 자산리 997번지 10호  ,2013-08-18,정상,한우,허가,2259.52,2026-01-07
321,진안군,계림농장,전북특별자치도 진안군 진안읍 물곡로 146,2013-08-18,정상,육계,허가,5702.4,2026-01-07
322,진안군,수덕농장,전북특별자치도 진안군 동향면 능금리 765번지  ,2013-08-18,정상,한우,허가,2929.35,2026-01-07
323,진안군,태주농장,전북특별자치도 진안군 마령면 강정리 1665번지 1호  ,2013-08-18,정상,육계,허가,2732.2,2026-01-07
324,진안군,농군농장,전북특별자치도 진안군 백운면 동창리 734번지 2호  ,2013-08-24,정상,한우,등록,240,2026-01-07
325,진안군,한종옥농장,전북특별자치도 진안군 안천면 백화리 90번지  ,2013-09-05,정상,한우,등록,60,2026-01-07
326,진안군,대명농장,전북특별자치도 진안군 백운면 동창리 163번지 7호  ,2013-09-05,정상,한우,등록,230,2026-01-07
327,진안군,수림농장,전북특별자치도 진안군 진안읍 정곡리 732번지 6호  ,2013-09-13,정상,한우,허가,399,2026-01-07
328,진안군,한우리농장,"전북특별자치도 진안군 부귀면 봉암리 29번지 , 봉암리 30 ",2013-09-24,정상,한우,허가,2224.59,2026-01-07
329,진안군,서원농장,전북특별자치도 진안군 성수면 외궁리 99번지 2호  ,2013-12-27,정상,한우,허가,1260,2026-01-07
330,진안군,인준농장,전북특별자치도 진안군 마령면 운계로 295-4,2014-01-07,정상,한우,등록,100,2026-01-07
331,진안군,데미샘친환경농장,전북특별자치도 진안군 백운면 평장리 977번지 13호  ,2014-03-04,정상,기타,등록,165,2026-01-07
332,진안군,대한메추리,전북특별자치도 진안군 부귀면 수항리 497번지 5호  ,2014-05-08,정상,메추리,등록,2251.12,2026-01-07
333,진안군,산주농장,전북특별자치도 진안군 성수면 도통리 205번지  ,2014-05-09,정상,한우,등록,390,2026-01-07
334,진안군,황소마제농장,전북특별자치도 진안군 성수면 좌포리 440번지 1호  ,2014-07-02,정상,육계,허가,3151,2026-01-07
335,진안군,미래농장,전북특별자치도 진안군 진안읍 군상리 1077번지  ,2014-09-03,정상,육계,허가,2347,2026-01-07
