사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 탄천면 남산리 ,소,0,1410,2026-06-08
충청남도 공주시 신풍면 입동리 ,소,66,1803.5,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,64,1020,2026-06-08
충청남도 공주시 의당면 오인리 ,소,32,1350,2026-06-08
충청남도 공주시 신풍면 입동리 ,소,50,1400,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,21,187,2026-06-08
충청남도 공주시 정안면 화봉리 ,소,26,332,2026-06-08
충청남도 공주시 의당면 덕학리 ,소,62,673,2026-06-08
충청남도 공주시 의당면 덕학리 ,소,13,420,2026-06-08
충청남도 공주시 반포면 마암리 ,소,26,530,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,10,560,2026-06-08
충청남도 공주시 이인면 발양리 ,소,5,193.5,2026-06-08
충청남도 공주시 계룡면 상성리 ,소,37,378,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,13,70,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,11,576,2026-06-08
충청남도 공주시 정안면 대산리 ,소,3,195,2026-06-08
충청남도 공주시 정안면 보물리 ,소,2,648,2026-06-08
충청남도 공주시 탄천면 성리 ,소,6,252,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,0,18.5,2026-06-08
충청남도 공주시 유구읍 세동리 ,소,16,399,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,58,917,2026-06-08
충청남도 공주시 의당면 도신리 ,소,8,493.5,2026-06-08
충청남도 공주시 사곡면 고당리 ,소,5,161,2026-06-08
충청남도 공주시 이인면 반송리 ,소,36,413.3,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,13,432,2026-06-08
충청남도 공주시 이인면 목동리 ,소,12,468,2026-06-08
충청남도 공주시 정안면 북계리 ,소,0,449,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,13,708,2026-06-08
충청남도 공주시 정안면 평정리 ,소,41,883,2026-06-08
충청남도 공주시 우성면 내산리 ,소,0,672,2026-06-08
충청남도 공주시 우성면 반촌리 ,소,75,810,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,9,215,2026-06-08
충청남도 공주시 신풍면 대룡리 ,소,0,577,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,66,593,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,10,248.7,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,14,720,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,0,240,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,21,220,2026-06-08
충청남도 공주시 이인면 오룡리 ,소,10,400,2026-06-08
충청남도 공주시 우성면 봉현리 ,소,0,136,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,63,1274.4,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,0,209,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,150,1652.9,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,13,192,2026-06-08
충청남도 공주시 계룡면 구왕리 ,소,59,548,2026-06-08
충청남도 공주시 우성면 도천리 ,소,31,521,2026-06-08
충청남도 공주시 소학동 소학동 ,소,4,820,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,5,349,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,12,317,2026-06-08
충청남도 공주시 우성면 방문리 ,소,17,460,2026-06-08
충청남도 공주시 탄천면 덕지리 ,소,0,885,2026-06-08
충청남도 공주시 계룡면 향지리 ,소,2,648,2026-06-08
충청남도 공주시 탄천면 견동리 ,소,10,173.6,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,2,1383,2026-06-08
충청남도 공주시 이인면 발양리 ,소,8,193.3,2026-06-08
충청남도 공주시 우성면 방문리 ,소,54,800,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,2,704,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,71,1352.5,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,74,1284,2026-06-08
충청남도 공주시 우성면 목천리 ,소,47,600,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,47,650,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,4,954,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,22,1141.8,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,21,360,2026-06-08
충청남도 공주시 주미동 주미동 ,소,0,21,2026-06-08
충청남도 공주시 사곡면 사곡면 ,소,1,17.2,2026-06-08
충청남도 공주시 이인면 목동리 ,소,12,58.1,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,8,208,2026-06-08
충청남도 공주시 우성면 도천리 ,소,15,1105.5,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,0,224,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,21,276.8,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,45,450,2026-06-08
충청남도 공주시 계룡면 계룡면 ,소,0,216,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,16,200,2026-06-08
충청남도 공주시 우성면 방문리 ,소,45,1344,2026-06-08
충청남도 공주시 정안면 전평리 ,소,17,253,2026-06-08
충청남도 공주시 우성면 상서리 ,소,97,679,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,112,1196,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,4,40,2026-06-08
충청남도 공주시 이인면 구암리 ,소,5,100,2026-06-08
충청남도 공주시 신풍면 백룡리 ,소,330,2457,2026-06-08
충청남도 공주시 우성면 동곡리 ,소,65,972,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,4,50,2026-06-08
충청남도 공주시 이인면 목동리 ,소,4,60,2026-06-08
충청남도 공주시 탄천면 성리 ,소,3,580,2026-06-08
충청남도 공주시 신풍면 조평리 ,소,2,60.3,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,0,32,2026-06-08
충청남도 공주시 계룡면 죽곡리 ,소,65,792,2026-06-08
충청남도 공주시 탄천면 견동리 ,소,3,450,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,3,254.4,2026-06-08
충청남도 공주시 탄천면 운곡리 ,소,12,600,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,12,1043.2,2026-06-08
충청남도 공주시 동현동 동현동 ,소,4,216,2026-06-08
충청남도 공주시 사곡면 부곡리 ,소,18,566,2026-06-08
충청남도 공주시 유구읍 명곡리 ,소,0,628.8,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,46,708.8,2026-06-08
충청남도 공주시 동현동 동현동 ,소,0,189,2026-06-08
