사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 이인면 목동리 ,소,12,1608.8,2026-06-08
충청남도 공주시 우성면 내산리 ,소,98,1915.2,2026-06-08
충청남도 공주시 사곡면 운암리 ,소,1,2102.6,2026-06-08
충청남도 공주시 의당면 의당면 ,소,0,2377.7,2026-06-08
충청남도 공주시 의당면 의당면 ,소,11,197,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,0,172.5,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,12,1281.6,2026-06-08
충청남도 공주시 우성면 방문리 ,소,109,2958.2,2026-06-08
충청남도 공주시 정안면 북계리 ,소,89,1296,2026-06-08
충청남도 공주시 우성면 어천리 ,소,28,588.8,2026-06-08
충청남도 공주시 쌍신동 쌍신동 ,소,113,2100,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,3,175.9,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,11,296.1,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,21,765.4,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,4,310,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,33,271,2026-06-08
충청남도 공주시 우성면 우성면 ,소,5,96,2026-06-08
충청남도 공주시 유구읍 노동리 ,소,6,300,2026-06-08
충청남도 공주시 우성면 목천리 ,소,19,464,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,0,288,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,8,585,2026-06-08
충청남도 공주시 우성면 상서리 ,소,6,218,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,37,607.5,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,38,1004,2026-06-08
충청남도 공주시 유구읍 석남리 ,소,5,228,2026-06-08
충청남도 공주시 이인면 이인면 ,소,16,599,2026-06-08
충청남도 공주시 정안면 북계리 ,소,98,1380,2026-06-08
충청남도 공주시 검상동 검상동 ,소,52,720,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,0,100.1,2026-06-08
충청남도 공주시 정안면 사현리 ,소,0,861,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,15,891.6,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,10,262,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,27,328,2026-06-08
충청남도 공주시 계룡면 중장리 ,소,23,264,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,24,196.7,2026-06-08
충청남도 공주시 유구읍 녹천리 ,소,40,1948,2026-06-08
충청남도 공주시 우성면 상서리 ,소,29,594,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,23,355,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,96,1690,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,0,375,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,0,45,2026-06-08
충청남도 공주시 주미동 주미동 ,소,9,320,2026-06-08
충청남도 공주시 신풍면 산정리 ,소,0,377.5,2026-06-08
충청남도 공주시 소학동 소학동 ,소,7,340,2026-06-08
충청남도 공주시 우성면 목천리 ,소,12,199,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,35,326,2026-06-08
충청남도 공주시 월미동 월미동 ,소,80,1175,2026-06-08
충청남도 공주시 계룡면 죽곡리 ,소,5,941,2026-06-08
충청남도 공주시 계룡면 월곡리 ,소,69,475,2026-06-08
충청남도 공주시 이인면 오룡리 ,소,0,108,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,51,1500,2026-06-08
충청남도 공주시 우성면 내산리 ,소,0,1384.6,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,0,2220,2026-06-08
충청남도 공주시 우성면 방문리 ,소,47,1210,2026-06-08
충청남도 공주시 의당면 의당면 ,소,7,3870,2026-06-08
충청남도 공주시 우성면 상서리 ,소,0,1445,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,9,498,2026-06-08
충청남도 공주시 의당면 의당면 ,소,3,119,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,0,262.9,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,0,49,2026-06-08
충청남도 공주시 이인면 구암리 ,소,12,320,2026-06-08
충청남도 공주시 탄천면 정치리 ,소,0,39,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,4,72,2026-06-08
충청남도 공주시 이인면 신영리 ,소,6,351.5,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,0,108,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,140,2972,2026-06-08
충청남도 공주시 우성면 방문리 ,소,151,1046,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,0,182,2026-06-08
충청남도 공주시 이인면 이곡리 ,소,20,619.4,2026-06-08
충청남도 공주시 정안면 고성리 ,소,9,401,2026-06-08
충청남도 공주시 송선동 송선동 ,소,60,714.8,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,14,238,2026-06-08
충청남도 공주시 유구읍 입석리 ,소,0,379,2026-06-08
충청남도 공주시 이인면 이곡리 ,소,9,233,2026-06-08
충청남도 공주시 이인면 이인리 ,소,30,600,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,9,99,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,7,410,2026-06-08
충청남도 공주시 이인면 만수리 ,소,265,4250,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,62,1500,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,32,380,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,48,510,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,98,1044.7,2026-06-08
충청남도 공주시 우성면 상서리 ,소,22,412,2026-06-08
충청남도 공주시 신풍면 화흥리 ,소,2,398,2026-06-08
충청남도 공주시 우성면 방문리 ,소,38,713.1,2026-06-08
충청남도 공주시 정안면 전평리 ,소,0,350,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,20,485,2026-06-08
충청남도 공주시 탄천면 장선리 ,소,69,1835.9,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,22,829,2026-06-08
충청남도 공주시 우성면 내산리 ,소,44,1071.4,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,2,328.3,2026-06-08
충청남도 공주시 정안면 화봉리 ,소,0,350,2026-06-08
충청남도 공주시 계룡면 화헌리 ,소,158,1728,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,9,1060,2026-06-08
충청남도 공주시 의당면 중흥리 ,소,142,1614.4,2026-06-08
충청남도 공주시 신풍면 입동리 ,소,0,0,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,94,1694,2026-06-08
충청남도 공주시 계룡면 구왕리 ,소,0,446.8,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,0,160,2026-06-08
충청남도 공주시 유구읍 추계리 ,소,1,141,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,103,996,2026-06-08
충청남도 공주시 동현동 동현동 ,소,0,278.6,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,15,525,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,42,440.7,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,31,750,2026-06-08
충청남도 공주시 이인면 반송리 ,소,4,154,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,29,773.6,2026-06-08
충청남도 공주시 정안면 북계리 ,소,29,600,2026-06-08
충청남도 공주시 계룡면 화헌리 ,소,98,1466,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,26,729,2026-06-08
충청남도 공주시 우성면 방문리 ,소,223,2756,2026-06-08
충청남도 공주시 탄천면 분강리 ,소,43,550,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,11,122.8,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,0,1344,2026-06-08
충청남도 공주시 신풍면 동원리 ,소,5,50,2026-06-08
충청남도 공주시 우성면 상서리 ,소,12,341,2026-06-08
충청남도 공주시 우성면 동곡리 ,소,1,542,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,20,283.5,2026-06-08
충청남도 공주시 이인면 목동리 ,소,29,260.3,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,127,2016,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,3,50,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,0,309,2026-06-08
충청남도 공주시 탄천면 안영리 ,소,4,252.4,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,36,728,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,104,1599,2026-06-08
충청남도 공주시 정안면 전평리 ,소,77,725,2026-06-08
충청남도 공주시 우성면 상서리 ,소,65,1182,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,2,800,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,1,676.5,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,15,450.7,2026-06-08
충청남도 공주시 계룡면 화헌리 ,소,2,400,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,8,288,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,121,1366.3,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,13,642,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,1,456.7,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,162,2250,2026-06-08
충청남도 공주시 의당면 의당면 ,소,1,1260,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,57,1473.3,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,57,660,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,26,512,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,0,872,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,10,136,2026-06-08
충청남도 공주시 정안면 보물리 ,소,190,3091,2026-06-08
충청남도 공주시 이인면 이인면 ,소,20,1033,2026-06-08
충청남도 공주시 탄천면 분강리 ,소,130,1368,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,16,332.1,2026-06-08
충청남도 공주시 계룡면 계룡면 ,소,36,765.7,2026-06-08
충청남도 공주시 사곡면 대중리 ,소,35,484,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,3,66,2026-06-08
충청남도 공주시 신풍면 입동리 ,소,51,891,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,100,1600,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,0,130,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,55,1625,2026-06-08
충청남도 공주시 우성면 내산리 ,소,0,60,2026-06-08
충청남도 공주시 우성면 한천리 산,소,40,680.8,2026-06-08
충청남도 공주시 유구읍 입석리 ,소,19,250,2026-06-08
충청남도 공주시 이인면 달산리 ,소,0,366.8,2026-06-08
충청남도 공주시 우성면 내산리 ,소,0,450,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,48,1634.5,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,0,500,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,6,370,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,29,434,2026-06-08
충청남도 공주시 우성면 상서리 ,소,16,423.8,2026-06-08
충청남도 공주시 탄천면 운곡리 ,소,25,510.8,2026-06-08
충청남도 공주시 이인면 오룡리 ,소,10,135,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,2,20,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,8,150,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,0,140,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,11,144,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,0,444,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,0,12,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,5,36.3,2026-06-08
충청남도 공주시 우성면 방문리 ,소,1,68.4,2026-06-08
충청남도 공주시 신풍면 영정리 ,소,9,231,2026-06-08
충청남도 공주시 우성면 대성리 ,소,17,195,2026-06-08
충청남도 공주시 우성면 내산리 ,소,12,600,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,22,809,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,11,900,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,0,114,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,5,636,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,6,800,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,31,610,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,18,553.8,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,9,141.3,2026-06-08
충청남도 공주시 이인면 신영리 ,소,24,445.5,2026-06-08
충청남도 공주시 정안면 보물리 ,소,24,500,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,3,220,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,3,140,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,22,409.9,2026-06-08
충청남도 공주시 유구읍 유구리 ,소,27,677.5,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,32,988.4,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,30,692,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,12,1166.6,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,78,997,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,67,852,2026-06-08
충청남도 공주시 쌍신동 쌍신동 ,소,28,1120,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,19,660,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,37,387.2,2026-06-08
충청남도 공주시 정안면 정안면 ,소,10,179,2026-06-08
충청남도 공주시 우성면 방문리 ,소,14,554.5,2026-06-08
충청남도 공주시 신관동 신관동 ,소,2,330,2026-06-08
충청남도 공주시 사곡면 회학리 ,소,0,119,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,6,150,2026-06-08
충청남도 공주시 우성면 상서리 ,소,29,2240,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,19,423.3,2026-06-08
충청남도 공주시 정안면 북계리 ,소,93,934.3,2026-06-08
충청남도 공주시 정안면 북계리 ,소,29,500,2026-06-08
충청남도 공주시 유구읍 동해리 ,소,1,198,2026-06-08
충청남도 공주시 정안면 전평리 ,소,0,126.6,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,50,715,2026-06-08
충청남도 공주시 정안면 전평리 ,소,39,1386,2026-06-08
충청남도 공주시 이인면 구암리 ,소,56,307.5,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,9,47.3,2026-06-08
충청남도 공주시 우성면 대성리 ,소,0,700,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,29,387.2,2026-06-08
충청남도 공주시 정안면 상룡리 ,소,17,130,2026-06-08
충청남도 공주시 신풍면 선학리 ,소,0,115,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,49,684.5,2026-06-08
충청남도 공주시 정안면 장원리 ,소,29,914,2026-06-08
충청남도 공주시 정안면 북계리 ,소,70,876,2026-06-08
충청남도 공주시 계룡면 계룡면 ,소,45,767,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,18,496,2026-06-08
충청남도 공주시 계룡면 죽곡리 ,소,49,500,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,12,292.5,2026-06-08
충청남도 공주시 계룡면 향지리 ,소,14,105,2026-06-08
충청남도 공주시 유구읍 석남리 ,소,0,980,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,10,310.5,2026-06-08
충청남도 공주시 유구읍 세동리 ,소,7,200,2026-06-08
충청남도 공주시 이인면 이인리 ,소,13,162.5,2026-06-08
충청남도 공주시 정안면 문천리 ,소,102,1095.4,2026-06-08
충청남도 공주시 신기동 신기동 ,소,19,486,2026-06-08
충청남도 공주시 의당면 도신리 ,소,4,197.5,2026-06-08
충청남도 공주시 반포면 송곡리 ,소,26,382,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,14,198,2026-06-08
충청남도 공주시 이인면 오룡리 ,소,8,390,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,2,250,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,42,250,2026-06-08
충청남도 공주시 정안면 고성리 ,소,20,320,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,0,122.5,2026-06-08
충청남도 공주시 검상동 검상동 ,소,47,372,2026-06-08
충청남도 공주시 이인면 만수리 ,소,18,352,2026-06-08
충청남도 공주시 우성면 우성면 ,소,0,33,2026-06-08
충청남도 공주시 우성면 도천리 ,소,0,66,2026-06-08
충청남도 공주시 탄천면 덕지리 ,소,16,348.5,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,29,2982,2026-06-08
충청남도 공주시 탄천면 국동리 ,소,121,1502,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,46,1400,2026-06-08
충청남도 공주시 이인면 신영리 ,소,34,990,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,4,169,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,13,1759,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,21,417,2026-06-08
충청남도 공주시 주미동 주미동 ,소,9,300,2026-06-08
충청남도 공주시 이인면 이인리 ,소,30,530,2026-06-08
충청남도 공주시 이인면 반송리 ,소,68,1860,2026-06-08
충청남도 공주시 우성면 어천리 ,소,0,420,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,0,210,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,15,144,2026-06-08
충청남도 공주시 탄천면 정치리 ,소,2,334.8,2026-06-08
충청남도 공주시 이인면 목동리 ,소,0,525,2026-06-08
충청남도 공주시 탄천면 성리 ,소,16,389,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,9,567,2026-06-08
충청남도 공주시 우성면 상서리 ,소,11,387,2026-06-08
충청남도 공주시 이인면 목동리 ,소,30,525,2026-06-08
충청남도 공주시 탄천면 운곡리 ,소,30,660,2026-06-08
충청남도 공주시 유구읍 신달리 ,소,19,1200,2026-06-08
충청남도 공주시 우성면 상서리 ,소,0,410,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,115,581,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,20,300,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,49,996,2026-06-08
충청남도 공주시 의당면 가산리 ,소,126,768,2026-06-08
충청남도 공주시 계룡면 죽곡리 ,소,76,597,2026-06-08
충청남도 공주시 이인면 구암리 ,소,29,300,2026-06-08
충청남도 공주시 우성면 대성리 ,소,154,2140,2026-06-08
충청남도 공주시 정안면 보물리 ,소,0,780,2026-06-08
충청남도 공주시 우성면 내산리 ,소,21,740,2026-06-08
충청남도 공주시 이인면 만수리 ,소,145,1800.8,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,0,90,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,290,3516,2026-06-08
충청남도 공주시 계룡면 유평리 ,소,14,700,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,42,348.8,2026-06-08
충청남도 공주시 우성면 대성리 ,소,26,433.2,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,6,379,2026-06-08
충청남도 공주시 우성면 상서리 ,소,3,160,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,3,317,2026-06-08
충청남도 공주시 이인면 만수리 ,소,15,153,2026-06-08
충청남도 공주시 우성면 방문리 ,소,75,774,2026-06-08
충청남도 공주시 정안면 전평리 ,소,50,374.3,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,23,400.8,2026-06-08
충청남도 공주시 태봉동 태봉동 ,소,0,200,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,0,300,2026-06-08
충청남도 공주시 이인면 구암리 ,소,7,50,2026-06-08
충청남도 공주시 우성면 내산리 ,소,4,272.7,2026-06-08
충청남도 공주시 의당면 오인리 ,소,31,1504,2026-06-08
충청남도 공주시 우성면 내산리 ,소,7,45,2026-06-08
충청남도 공주시 우성면 평목리 ,소,0,0,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,14,550,2026-06-08
충청남도 공주시 신풍면 쌍대리 ,소,0,997.1,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,45,352.5,2026-06-08
충청남도 공주시 신풍면 화흥리 ,소,14,394,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,70,1600,2026-06-08
충청남도 공주시 의당면 의당면 ,소,177,2466.6,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,5,130,2026-06-08
충청남도 공주시 우성면 방문리 ,소,49,792,2026-06-08
충청남도 공주시 사곡면 운암리 ,소,9,292,2026-06-08
충청남도 공주시 우성면 우성면 ,소,188,2394.4,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,10,300,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,0,120,2026-06-08
충청남도 공주시 우성면 대성리 ,소,22,400,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,24,1023,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,7,160,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,15,160,2026-06-08
충청남도 공주시 정안면 북계리 ,소,0,2245,2026-06-08
충청남도 공주시 유구읍 노동리 ,소,0,150,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,14,865,2026-06-08
충청남도 공주시 우성면 목천리 ,소,11,138,2026-06-08
충청남도 공주시 정안면 북계리 ,소,22,486,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,14,318.8,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,17,450,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,18,600,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,14,1339,2026-06-08
충청남도 공주시 사곡면 월가리 ,소,13,163.8,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,126,1743,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,2,197,2026-06-08
충청남도 공주시 우성면 방문리 ,소,38,387,2026-06-08
충청남도 공주시 신기동 신기동 ,소,85,552,2026-06-08
충청남도 공주시 계룡면 향지리 ,소,18,200,2026-06-08
충청남도 공주시 신풍면 백룡리 ,소,21,600,2026-06-08
충청남도 공주시 탄천면 정치리 ,소,12,640,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,108,1400,2026-06-08
충청남도 공주시 신풍면 신풍면 ,소,0,856.6,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,22,1294,2026-06-08
충청남도 공주시 우성면 우성면 ,소,66,1580,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,5,220,2026-06-08
충청남도 공주시 우성면 동대리 ,소,213,4000,2026-06-08
충청남도 공주시 우성면 방문리 ,소,24,420,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,144,1500,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,89,1600,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,144,1854,2026-06-08
충청남도 공주시 신풍면 화흥리 ,소,0,104,2026-06-08
충청남도 공주시 탄천면 성리 ,소,35,381,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,5,350,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,0,285.1,2026-06-08
충청남도 공주시 우성면 방문리 ,소,377,2610,2026-06-08
충청남도 공주시 이인면 구암리 ,소,28,904,2026-06-08
충청남도 공주시 우성면 상서리 ,소,0,174,2026-06-08
충청남도 공주시 탄천면 화정리 ,소,5,338.4,2026-06-08
충청남도 공주시 우성면 방문리 ,소,48,448,2026-06-08
충청남도 공주시 정안면 북계리 ,소,49,467.7,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,0,250,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,0,1483.2,2026-06-08
충청남도 공주시 의당면 유계리 ,소,0,229.4,2026-06-08
충청남도 공주시 이인면 산의리 ,소,1,640,2026-06-08
충청남도 공주시 계룡면 화은리 ,소,36,406.1,2026-06-08
충청남도 공주시 우성면 목천리 ,소,3,260,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,38,400,2026-06-08
충청남도 공주시 이인면 반송리 ,소,0,389,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,9,396,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,5,525.6,2026-06-08
충청남도 공주시 탄천면 국동리 ,소,11,368,2026-06-08
충청남도 공주시 신풍면 영정리 ,소,19,200,2026-06-08
충청남도 공주시 계룡면 구왕리 ,소,6,97,2026-06-08
충청남도 공주시 이인면 오룡리 ,소,34,400,2026-06-08
충청남도 공주시 사곡면 고당리 ,소,3,270,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,0,300,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,0,124.6,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,43,447,2026-06-08
충청남도 공주시 계룡면 중장리 ,소,13,160,2026-06-08
충청남도 공주시 유구읍 백교리 ,소,8,300,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,9,243,2026-06-08
충청남도 공주시 탄천면 분강리 산,소,0,270,2026-06-08
충청남도 공주시 우성면 방문리 ,소,4,160,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,28,360,2026-06-08
충청남도 공주시 우성면 안양리 ,소,34,533,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,21,350,2026-06-08
충청남도 공주시 이인면 이인면 ,소,46,895,2026-06-08
충청남도 공주시 정안면 전평리 ,소,0,1102,2026-06-08
충청남도 공주시 주미동 주미동 ,소,14,468.6,2026-06-08
충청남도 공주시 의당면 요룡리 ,소,86,2467,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,9,165.5,2026-06-08
충청남도 공주시 동현동 동현동 ,소,0,792,2026-06-08
충청남도 공주시 유구읍 구계리 ,소,42,1300.3,2026-06-08
충청남도 공주시 의당면 도신리 ,소,10,104,2026-06-08
충청남도 공주시 이인면 반송리 ,소,125,2257,2026-06-08
충청남도 공주시 우성면 우성면 ,소,87,1641,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,72,1430.7,2026-06-08
충청남도 공주시 탄천면 화정리 ,소,74,2227.8,2026-06-08
충청남도 공주시 탄천면 분강리 ,소,0,128,2026-06-08
충청남도 공주시 신기동 신기동 ,소,0,240,2026-06-08
충청남도 공주시 우성면 동대리 ,소,199,1987,2026-06-08
충청남도 공주시 유구읍 덕곡리 ,소,0,1552.3,2026-06-08
충청남도 공주시 우성면 상서리 ,소,17,745.2,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,0,309,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,63,1075,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,3,864,2026-06-08
충청남도 공주시 우성면 동대리 ,소,0,336,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,7,352,2026-06-08
충청남도 공주시 정안면 정안면 ,소,1,500,2026-06-08
충청남도 공주시 우성면 방문리 ,소,0,307,2026-06-08
충청남도 공주시 계룡면 월곡리 ,소,4,66,2026-06-08
충청남도 공주시 우성면 대성리 ,소,31,300,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,0,267,2026-06-08
충청남도 공주시 이인면 용성리 ,소,32,299,2026-06-08
충청남도 공주시 이인면 만수리 ,소,170,1500,2026-06-08
충청남도 공주시 우성면 우성면 ,소,1,21.6,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,20,810,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,38,1192.6,2026-06-08
충청남도 공주시 사곡면 월가리 ,소,0,1316,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,2,592,2026-06-08
충청남도 공주시 유구읍 신달리 ,소,0,384,2026-06-08
충청남도 공주시 탄천면 장선리 ,소,11,992,2026-06-08
충청남도 공주시 의당면 덕학리 ,소,31,951.8,2026-06-08
충청남도 공주시 신풍면 화흥리 ,소,7,900,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,22,730,2026-06-08
충청남도 공주시 이인면 용성리 ,소,67,756,2026-06-08
충청남도 공주시 탄천면 견동리 ,소,0,715,2026-06-08
충청남도 공주시 사곡면 월가리 ,소,75,1350.4,2026-06-08
