시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,데이터기준일자
여주시,김**목장,한우,40,경기도 여주시 가남읍 설가로 710,경기도 여주시 가남읍 대신리 417번지 외2필지 ,2026-06-18
여주시,이**목장,한우,30,경기도 여주시 가남읍 가남로 433,"경기도 여주시 가남읍 양귀리 521번지 3호 외 3필지(521-1, -5, -8) ",2026-06-18
여주시,승훈목장,한우,38,경기도 여주시 가남읍 금당4길 27,경기도 여주시 가남읍 금당리 145번지 2호  ,2026-06-18
여주시,선한우농장,한우,103,경기도 여주시 가남읍 가여로 142,경기도 여주시 가남읍 안금리 597번지 4호 외1필지 ,2026-06-18
여주시,광안목장,한우,120,경기도 여주시 가남읍 가남로 112,경기도 여주시 가남읍 삼군리 427번지 7호  ,2026-06-18
여주시,창도농장,한우,70,,경기도 여주시 북내면 석우리 480번지 2호  ,2026-06-18
여주시,화평농장,한우,100,경기도 여주시 가남읍 화평길 69-10 (외2필지),경기도 여주시 가남읍 화평리 131번지 외2필지 ,2026-06-18
여주시,동네농장,한우,13,경기도 여주시 가남읍 화련2길 39,"경기도 여주시 가남읍 화평리 318번지 2호 외 2필지(318-5, 320) ",2026-06-18
여주시,주광농장,한우,66,경기도 여주시 흥천면 아래청당길 18-43,경기도 여주시 흥천면 대당리 99번지 1호 외1필지(91-2) ,2026-06-18
여주시,선영농장,한우,20,경기도 여주시 흥천면 아래청당길 18-11,경기도 여주시 흥천면 대당리 140번지 2호  ,2026-06-18
여주시,오근농장,한우,45,경기도 여주시 흥천면 방죽안길 81 (외1필지),경기도 여주시 흥천면 신근리 295번지 1호 외1필지 ,2026-06-18
여주시,성일축산,한우,20,경기도 여주시 흥천면 흥천로 683-20,경기도 여주시 흥천면 다대리 69번지  ,2026-06-18
여주시,옥토농장,한우,140,경기도 여주시 흥천면 부흥로 511,경기도 여주시 흥천면 효지리 325번지 1호  ,2026-06-18
여주시,창혁목장,한우,57,경기도 여주시 북내면 선돌로 190-19,경기도 여주시 북내면 덕산리 90번지 외 1필지(89) ,2026-06-18
여주시,농업회사법인 훼미리파머스(주),한우,120,경기도 여주시 가남읍 삼평길 62-25,경기도 여주시 가남읍 삼승리 16번지 2호  ,2026-06-18
여주시,용만농장,한우,26,경기도 여주시 북내면 지내길 35,경기도 여주시 북내면 지내리 440번지  ,2026-06-18
여주시,재명농장,한우,23,경기도 여주시 명품로 280 (상거동),경기도 여주시 상거동 350번지 4호  ,2026-06-18
여주시,창안농장,한우,50,경기도 여주시 세종대왕면 중부대로2234번길 25-7,경기도 여주시 세종대왕면 용은리 15번지 5호 외 1필지 ,2026-06-18
여주시,성원농장,한우,51,경기도 여주시 대신면 후포1길 42-49,경기도 여주시 대신면 후포리 416번지 1호  ,2026-06-18
여주시,지우목장,한우,21,경기도 여주시 흥천면 능북로 163-23,경기도 여주시 흥천면 율극리 226번지 2호  ,2026-06-18
여주시,새상주목장,한우,63,경기도 여주시 북내면 선돌로 184,경기도 여주시 북내면 덕산리 61번지 1호  ,2026-06-18
여주시,매류목장,한우,15,경기도 여주시 세종대왕면 여술길 158,경기도 여주시 세종대왕면 매류리 334번지 2호  ,2026-06-18
여주시,규림목장,한우,2,,경기도 여주시 점동면 처리 산 53번지  ,2026-06-18
여주시,태동농장,한우,50,경기도 여주시 가남읍 건은로 82-11,"경기도 여주시 가남읍 건장리 207번지 3호 외 6필지(-5, 205-2, 206-2, -5, 213, 240-4) ",2026-06-18
여주시,율극목장,한우,59,경기도 여주시 흥천면 부흥로 557-39,경기도 여주시 흥천면 효지리 257번지 1호 외 1필지(257-2) ,2026-06-18
여주시,억교목장,한우,20,경기도 여주시 흥천면 효지2길 21,경기도 여주시 흥천면 효지리 384번지  ,2026-06-18
여주시,토성목장,한우,31,경기도 여주시 흥천면 남산로 313-19 (외1필지),경기도 여주시 흥천면 다대리 467번지 외1필지 ,2026-06-18
여주시,준희목장,한우,125,경기도 여주시 가남읍 안금2길 41-51,경기도 여주시 가남읍 안금리 416번지  ,2026-06-18
여주시,무궁목장,한우,40,경기도 여주시 금사면 금품1로 802,경기도 여주시 금사면 금사리 543번지  ,2026-06-18
여주시,창근목장,한우,11,경기도 여주시 대신면 현남길 290-21,경기도 여주시 대신면 천남리 374번지  ,2026-06-18
여주시,대흥진목장,한우,138,경기도 여주시 대신면 후포1길 148-33,경기도 여주시 대신면 후포리 210번지 2호  ,2026-06-18
여주시,서울목장,한우,4,경기도 여주시 대신면 상구2길 55-21,경기도 여주시 대신면 상구리 산 11번지 23호  ,2026-06-18
여주시,녹색목장,한우,80,경기도 여주시 대신면 후포1길 104-25,경기도 여주시 대신면 후포리 364번지 외 1필지( 365 ) ,2026-06-18
여주시,남**목장,한우,162,경기도 여주시 점동면 청안로 243-23,경기도 여주시 점동면 처리 607번지 11호 외4필지 ,2026-06-18
여주시,짱구목장,한우,20,경기도 여주시 가남읍 가남로 847,경기도 여주시 가남읍 금당리 127번지 2호  ,2026-06-18
여주시,기도목장,한우,75,경기도 여주시 가남읍 양화로 83-1 (외 3필지),경기도 여주시 가남읍 삼군리 90번지 1호 외 3필지 ,2026-06-18
여주시,순미제일목장2,한우,14,경기도 여주시 북내면 여양2로 727-72,경기도 여주시 북내면 외룡리 138번지  ,2026-06-18
여주시,덕암농장,한우,28,,경기도 여주시 북내면 덕산리 303번지 6호  ,2026-06-18
여주시,신재목장,한우,35,경기도 여주시 흥천면 신근안터길 24-2 (외1필지),경기도 여주시 흥천면 신근리 727번지 외1필지 ,2026-06-18
여주시,여주자영농업고등학교,한우,64,경기도 여주시 세종대왕면 농도원1길 76,경기도 여주시 세종대왕면 왕대리 산 136번지 66호  ,2026-06-18
여주시,금당목장,한우,90,,경기도 여주시 가남읍 금당리 112번지 5호 외3필지 ,2026-06-18
여주시,금곡목장,한우,65,경기도 여주시 가남읍 가남로 866-43,경기도 여주시 가남읍 금곡리 210번지 6호  ,2026-06-18
여주시,우람목장,한우,22,경기도 여주시 가남읍 오산2길 55 (외2필지),경기도 여주시 가남읍 오산리 197번지 외2필지 ,2026-06-18
여주시,대명동농장,한우,20,경기도 여주시 대신면 외재로 64-59,경기도 여주시 대신면 하림리 22번지 1호  ,2026-06-18
여주시,대성농장,한우,16,경기도 여주시 점동면 가남로 988-29,경기도 여주시 점동면 청안리 592번지 외 1필지(593) ,2026-06-18
