사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수(계),면적(계),위도,경도,데이터기준일자
문화농장2,돼지,"경기도 평택시 청북읍 고잔리 1460번지 외 3필지(1460-1, -2, -3) ",경기도 평택시 청북읍 고잔5길 1-194 (1-196),6198,5,5578.23,37.03435506,126.8725053,2024-06-30
용일농장,돼지,경기도 평택시 청북읍 고잔리 3번지 1호  ,"경기도 평택시 청북읍 고잔길 173-25, (고잔리 3-1, 2, 10-4,-5,산 5-79)",1700,8,2298.4,37.0658404,126.9062912,2024-06-30
민성농장,돼지,경기도 평택시 칠원동 169번지 1호  ,경기도 평택시 새말로27번길 123-8 (칠원동),1881,2,1486.52,37.0284151,127.1125055,2024-06-30
경북농장,돼지,"경기도 평택시 팽성읍 남산리 204번지 1호 외 6필지(-3,-7,-9,-14,-15,-16) ",경기도 평택시 팽성읍 대사로 211-36,9171,5,12843.15,36.94947439,127.06531,2024-06-30
제일농장,돼지,"경기도 평택시 팽성읍 노와리 187번지 3호 외1필지,186-1번지 ",경기도 평택시 팽성읍 노와길 260,1800,5,2694,36.95252582,127.0951621,2024-06-30
그린농장,돼지,경기도 평택시 팽성읍 노와리 248번지 1호  ,경기도 평택시 팽성읍 노와2길 48-13,615,4,1232,36.94822117,127.0967174,2024-06-30
새천연농장,돼지,"경기도 평택시 팽성읍 대사리 111번지 ,109-4,110,110-29,281-2,281-10,281-11 ",경기도 평택시 팽성읍 대사로 197-7,5557,13,7780.78,36.94678932,127.0664992,2024-06-30
잘커농장,돼지,경기도 평택시 팽성읍 송화리 696번지  ,경기도 평택시 팽성읍 송화1길 131,710,4,994.17,36.94547543,127.0395589,2024-06-30
로즈팜,돼지,"경기도 평택시 팽성읍 신호리 172번지 1호 ,-2 ",경기도 평택시 팽성읍 신호2길 58-105,10848,4,6881.68,36.99069866,127.0581112,2024-06-30
영광농장,돼지,경기도 평택시 포승읍 방림리 182번지 1호 외 1필지(182-2) ,경기도 평택시 포승읍 운정길 160-27,1162,3,1627.45,36.97315455,126.8891311,2024-06-30
길농장,돼지,경기도 평택시 포승읍 방림리 628번지 2호  ,경기도 평택시 포승읍 원방림길 48,739,5,1035.1,36.96418328,126.8934162,2024-06-30
강원축산,돼지,경기도 평택시 포승읍 석정리 751번지 2호  ,경기도 평택시 포승읍 석정로 153-17,3100,7,3467.38,36.99461276,126.8788435,2024-06-30
광일농장,돼지,경기도 평택시 포승읍 원정리 1037번지 3호  ,경기도 평택시 포승읍 포승향남로 572-43,2300,4,2355.3,37.00978756,126.8247539,2024-06-30
문성농장,돼지,"경기도 평택시 현덕면 황산리 194번지 15호 (황산리 산1-4, 대안리 520-8) ",경기도 평택시 현덕면 황산3길 53,2800,8,2863.3,36.95071984,126.9337836,2024-06-30
