순번,사업장명,축종,주소,사육두수,오폐수 처리방법,데이터 제공기준일
58,골드피그,돼지,합천군 율곡면 임북리,423,"퇴비화, 액비화, 위탁처리",2025-11-10
59,정○○,돼지,합천군 율곡면 제내리,524,"퇴비화, 액비화, 위탁처리)",2025-11-10
60,킴스클럽,돼지,합천군 야로면 구정리,1145,"퇴비화, 액비화, 위탁처리",2025-11-10
61,안○○,돼지,합천군 초계면 택리,727,전량 위탁처리,2025-11-10
62,박○○,돼지,합천군 초계면 원당리,1321,"퇴비화, 액비화, 위탁처리",2025-11-10
63,영성농장,돼지,합천군 용주면 황계리,3320,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
64,이○○,돼지,합천군 가야면 청현리,561,"퇴비화, 액비화, 위탁처리",2025-11-10
65,박○○,돼지,합천군 묘산면 화양리,959,"퇴비화, 액비화, 위탁처리",2025-11-10
66,민○○,돼지,합천군 묘산면 화양리,2286,"퇴비화, 액비화, 정화처리, 위탁처리",2025-11-10
67,신가야,돼지,합천군 가야면 성기리,640,"퇴비화, 액비화",2025-11-10
68,이레축산,돼지,합천군 청덕면 초곡리,2074,"퇴비화, 액비화, 위탁처리",2025-11-10
69,박○○,돼지,합천군 야로면 정대리,830,"퇴비화, 액비화, 위탁처리",2025-11-10
70,원정농장,돼지,합천군 야로면 나대리,1509,전량 위탁처리,2025-11-10
71,송○○,돼지,합천군 야로면 나대리,1302,전량 위탁처리,2025-11-10
72,조○○,돼지,합천군 야로면 나대리,1595,전량 위탁처리,2025-11-10
73,백○○,돼지,합천군 야로면 나대리,1000,전량 위탁처리,2025-11-10
74,옥돌2농장,돼지,합천군 야로면 나대리,1051,전량 위탁처리,2025-11-10
75,옥돌1농장,돼지,합천군 야로면 나대리,1147,전량 위탁처리,2025-11-10
76,금아농장,돼지,합천군 야로면 나대리,1123,전량 위탁처리,2025-11-10
77,박○○,돼지,합천군 야로면 나대리,1175,전량 위탁처리,2025-11-10
78,진주농장1,돼지,합천군 야로면 나대리,1938,전량 위탁처리,2025-11-10
79,김○○,돼지,합천군 야로면 나대리,990,전량 위탁처리,2025-11-10
80,문○○,돼지,합천군 야로면 나대리,2000,전량 위탁처리,2025-11-10
81,문○○,돼지,합천군 야로면 나대리,1227,전량 위탁처리,2025-11-10
82,장○○,돼지,합천군 야로면 나대리,1198,전량 위탁처리,2025-11-10
83,최○○,돼지,합천군 야로면 나대리,2262,전량 위탁처리,2025-11-10
84,고원축산,돼지,합천군 야로면 나대리,1694,전량 위탁처리,2025-11-10
85,윤○○,돼지,합천군 야로면 나대리,1638,전량 위탁처리,2025-11-10
86,장○○(임차인 황○○),돼지,합천군 야로면 나대리,1377,전량 위탁처리,2025-11-10
87,김○○,돼지,합천군 야로면 나대리,1000,전량 위탁처리,2025-11-10
88,행복팜,돼지,합천군 야로면 나대리,1595,전량 위탁처리,2025-11-10
89,덕암농장,돼지,합천군 야로면 덕암리,558,"퇴비화, 액비화, 위탁처리",2025-11-10
90,정○○,돼지,합천군 야로면 하빈리,350,"퇴비화, 액비화",2025-11-10
91,영성축산,돼지,합천군 묘산면 반포리,499,"퇴비화, 액비화, 위탁처리",2025-11-10
92,합천유전자연구소,돼지,합천군 합천읍 서산리,44,"퇴비화, 액비화",2025-11-10
93,정대농장,돼지,합천군 야로면 정대리,377,"퇴비화, 액비화, 위탁처리",2025-11-10
94,유○○,돼지,합천군 묘산면 관기리,338,"퇴비화, 액비화, 위탁처리",2025-11-10
