사업장명칭,주사육업종,사업장소재지(지번),면적
원덕목장,한우,전라남도 장성군 북이면 원덕리 299번지 1호  ,612 
용두농장,한우,전라남도 장성군 북하면 용두리 197번지 1호  ,372 
성우축산,한우,전라남도 장성군 북하면 중평리 558번지 1호  ,330 
조양리농장,한우,전라남도 장성군 북이면 조양리 752번지 2호  ,2358 
홍정축산,한우,전라남도 장성군 삼서면 홍정리 170번지  ,366 
지은농장,한우,전라남도 장성군 북이면 죽청리 101번지 1호  ,798 
중근목장,한우,전라남도 장성군 서삼면 모암리 479번지  ,1170 
풍원농장,한우,전라남도 장성군 삼서면 금산리 303번지 16호  ,2604 
초원농장,젖소,전라남도 장성군 진원면 용산리 665번지 29호  ,785 
신촌축산,한우,전라남도 장성군 장성읍 유탕리 1205번지 19호  ,144 
유탕축산,한우,전라남도 장성군 장성읍 유탕리 369번지  ,213 
임재준농장,육계,전라남도 장성군 삼계면 신기리 132번지 132 ,3326 
대광농장,육계,전라남도 장성군 삼서면 보생리 710번지 4호  ,10671 
월곡축산,한우,전라남도 장성군 삼서면 수해리 692번지 1호  ,764 
월곡농장,한우,전라남도 장성군 삼서면 수해리 542번지 7호  ,390 
홍정농장,한우,전라남도 장성군 삼서면 홍정리 55번지 2호  ,360 
한초농장,한우,전라남도 장성군 장성읍 성산리 54번지 1호  ,2008 
서원농장,육계,전라남도 장성군 동화면 동호리 177번지  ,4340 
진하농장,한우,전라남도 장성군 서삼면 대덕리 153번지 1호  ,495 
진성농장,한우,전라남도 장성군 북일면 성덕리 74번지 19호  ,2129 
성산한우농장,한우,전라남도 장성군 북일면 성산리 265번지  ,720 
목란농장,젖소,전라남도 장성군 북이면 원덕리 853번지 외 3필지 ,3558 
현만축산,한우,전라남도 장성군 장성읍 수산리 309번지  ,357 
송현농장,한우,전라남도 장성군 서삼면 송현리 450번지 1호  ,288 
궁동목장,젖소,"전라남도 장성군 북이면 달성리 18번지 62호 외 6필지(18-67,18-65,18-66,18-68,18-121,18-48) ",1781 
성의농장,한우,전라남도 장성군 북이면 백암리 2번지 1호  ,1123 
용진농장,한우,전라남도 장성군 북이면 백암리 658번지 1호  ,1226 
부동농장,한우,전라남도 장성군 북이면 만무리 282번지 1호  ,375 
호산농장,한우,전라남도 장성군 북이면 만무리 105번지 1호 외 2필지 ,524 
성산농장,한우,전라남도 장성군 장성읍 유탕리 1766번지 1호  ,587 
덕실농장,한우,전라남도 장성군 북이면 조양리 358번지 3호  ,581 
상림농장,한우,전라남도 장성군 진원면 상림리 514번지 10호  ,1145 
상하연주목장,젖소,전라남도 장성군 북이면 죽청리 115번지 2호 외 3필지 ,1452 
원영농장,한우,전라남도 장성군 북일면 오산리 7번지 3호 외 3필지 ,1128 
학동농장,한우,전라남도 장성군 진원면 상림리 401번지 10호 외 2 ,906 
해돋이농장,한우,전라남도 장성군 진원면 율곡리 120번지 2호  ,774 
덕진농장,한우,전라남도 장성군 장성읍 덕진리 350번지 1호  ,660 
스타농장,한우,전라남도 장성군 장성읍 성산리 345번지  ,320 
수림농장,한우,전라남도 장성군 장성읍 성산리 437번지 23호  ,384 
보람농장,한우,전라남도 장성군 북이면 죽청리 206번지  ,561 
장성제일축산,종계/산란계,전라남도 장성군 삼서면 금산리 359번지 외 4 ,9993 
숙이농장,한우,전라남도 장성군 동화면 구룡리 557번지 2호  ,371 
준호농장,돼지,전라남도 장성군 북일면 성산리 261번지 11호  ,1548 
우리축산,한우,전라남도 장성군 진원면 용산리 798번지  ,999 
한우마을,한우,전라남도 장성군 삼서면 금산리 271번지 22호  ,624 
성광농장,한우,전라남도 장성군 황룡면 옥정리 651번지 2호  ,768 
대창농원,한우,전라남도 장성군 장성읍 안평리 60번지  ,837 
다인농장,한우,전라남도 장성군 북하면 대악리 336번지 8호  ,502 
우일농장,한우,전라남도 장성군 진원면 학림리 340번지 외 1필지 ,325 
종춘농장,한우,전라남도 장성군 북이면 오월리 657번지 1호  ,650 
한샘농장,한우,전라남도 장성군 진원면 학전리 1111번지  ,643 
무인농장,한우,전라남도 장성군 삼서면 소룡리 429번지 4호  ,1599 
율리농장,한우,전라남도 장성군 북일면 월계리 631번지  ,160 
남수농장,한우,전라남도 장성군 장성읍 상오리 399번지 2호 외 1필지 ,1313 
정희농장,한우,전라남도 장성군 황룡면 황룡리 10번지 98호  ,220 
주암농장,한우,전라남도 장성군 서삼면 모암리 99번지 3호  ,365 
태영농장,한우,전라남도 장성군 북일면 오산리 142번지 2호  ,137 
그린농장,한우,전라남도 장성군 장성읍 상오리 429번지 1호 외1필지 ,1092 
월산농장,한우,전라남도 장성군 장성읍 영천리 1477번지 2호  ,222 
삼삼농장,한우,전라남도 장성군 삼서면 소룡리 94번지 7호 외1필지 ,252 
동희농원,한우,전라남도 장성군 북하면 단전리 34번지 1호  ,605 
부자농장,한우,전라남도 장성군 북하면 대악리 329번지 6호 외2 ,640 
세원농장,한우,전라남도 장성군 북하면 월성리 173번지  ,370 
보성축사,한우,전라남도 장성군 장성읍 상오리 432번지 1호  ,1620 
한라농장,한우,전라남도 장성군 동화면 동호리 520번지 9호  ,704 
해동목장,한우,전라남도 장성군 진원면 선적리 586번지 4호  ,429 
선혁농장,한우,전라남도 장성군 장성읍 유탕리 356번지  ,80 
광원축산,한우,전라남도 장성군 진원면 학림리 139번지 15호  ,218 
새순농장,한우,전라남도 장성군 남면 월곡리 858번지 1호 외1 ,85 
대덕농장,한우,전라남도 장성군 서삼면 대덕리 315번지  ,494 
청호농장,한우,전라남도 장성군 북이면 오월리 777번지 6호  ,254 
오성농장,한우,전라남도 장성군 장성읍 덕진리 535번지 외1 ,1440 
평화농축산,한우,전라남도 장성군 동화면 구림리 산 59번지 5호 외1필지 ,246 
성산농축산,한우,전라남도 장성군 동화면 구림리 산 59번지 5호 외1 ,354 
중원농장,한우,전라남도 장성군 서삼면 금계리 280번지 5호  ,121 
강선농장,한우,전라남도 장성군 북하면 중평리 125번지  ,271 
태광농장,한우,전라남도 장성군 장성읍 상오리 108번지 1호  ,138 
삼성농장,한우,전라남도 장성군 서삼면 용흥리 281번지 1호  ,1104 
승화농장,한우,전라남도 장성군 황룡면 맥호리 365번지  ,84 
유성농장,한우,전라남도 장성군 장성읍 야은리 145번지  ,418 
탐진농원,한우,전라남도 장성군 동화면 용정리 123번지 2호  ,366 
청룡농장,한우,전라남도 장성군 장성읍 성산리 156번지  ,168 
한맥농장,한우,전라남도 장성군 장성읍 성산리 178번지 1호  ,352 
서촌농장,한우,전라남도 장성군 남면 마령리 414번지  ,27 
성은농장,한우,전라남도 장성군 삼서면 소룡리 656번지 1호  ,97 
모현농장,한우,전라남도 장성군 북이면 모현리 409번지 1호 외1필지 ,218 
영진농장,한우,전라남도 장성군 북이면 만무리 213번지 1호  ,532 
수촌농장,한우,전라남도 장성군 진원면 산정리 228번지 4호 외1 ,301 
수산한우농장,한우,전라남도 장성군 장성읍 수산리 310번지  ,321 
여근농장,한우,전라남도 장성군 북일면 오산리 107번지 3호 외1 ,416 
여울농장,한우,전라남도 장성군 삼계면 상도리 272번지  ,210 
서삼농장,한우,전라남도 장성군 서삼면 장산리 214번지 7호  ,160 
티나농장,육계,전라남도 장성군 삼계면 화산리 151번지 22호 외1 ,584 
경호농장,한우,전라남도 장성군 장성읍 유탕리 1748번지 외 3필지 ,420 
초입농장,한우,전라남도 장성군 장성읍 성산리 343번지 9호 외4 ,560 
상현농장,한우,전라남도 장성군 북일면 문암리 75번지  ,330 
에바다농장,오리,전라남도 장성군 북일면 오산리 629번지  ,2334 
고산농장,한우,전라남도 장성군 진원면 진원리 439번지 외2 ,584 
두레농장,한우,전라남도 장성군 장성읍 상오리 431번지 6호 외1 ,1260 
고산농장,한우,전라남도 장성군 진원면 진원리 129번지 3호  ,924 
혁주농장,한우,전라남도 장성군 진원면 용산리 108번지  ,360 
은숙농장,한우,전라남도 장성군 북하면 성암리 618번지  ,330 
종섭농장,한우,전라남도 장성군 장성읍 상오리 829번지 1호  ,84 
공서농장,한우,전라남도 장성군 북이면 신월리 357번지 1호  ,157 
선동목장,한우,전라남도 장성군 진원면 선적리 216번지 1호  ,89 
재운농장,한우,전라남도 장성군 북이면 오월리 579번지  ,672 
희옥농장,한우,전라남도 장성군 북이면 사거리 421번지 2호  ,60 
원일농장,한우,전라남도 장성군 북이면 죽청리 348번지  ,69 
철기농장,한우,전라남도 장성군 북이면 사거리 328번지 25호 외1 ,147 
흥부농장,한우,전라남도 장성군 황룡면 금호리 405번지 1호 외1 ,868 
광원농장,한우,전라남도 장성군 삼서면 소룡리 83번지  ,210 
방수농장,한우,전라남도 장성군 북이면 모현리 252번지 3호  ,73 
월곡농장,한우,전라남도 장성군 남면 월곡리 830번지  ,998 
기호농장,한우,전라남도 장성군 북이면 만무리 639번지  ,96 
규정농장,한우,전라남도 장성군 북이면 모현리 246번지 1호  ,60 
인기농장,한우,전라남도 장성군 삼서면 보생리 108번지  ,133 
창주네농장,종계/산란계,"전라남도 장성군 북이면 수성리 829번지 외2(산208,산209) ",750 
