사업장명칭,주사육업종,사업장소재지(지번),면적
포우농장,한우,전라남도 장성군 진원면 진원리 129번지 1호  ,732 
최석일농장,한우,    ,528 
김쌍쇠농장,한우,전라남도 장성군 북하면 월성리 413번지  ,82 
다송축산농장,한우,전라남도 장성군 삼계면 상도리 657번지 9호  ,2311 
백행식,한우,전라남도 장성군 동화면 송계리 165번지 6호  ,1785 
DJ축산,한우,전라남도 장성군 황룡면 와룡리 36번지 5호  ,998 
이복철,한우,전라남도 장성군 북이면 사거리 407번지  ,68 
은희농장,한우,전라남도 장성군 장성읍 유탕리 1440번지  ,333 
주은농장,돼지,전라남도 장성군 북일면 성산리 218번지 2호  ,946 
종환농장,한우,전라남도 장성군 서삼면 용흥리 296번지 1호  ,927 
무현농장,한우,전라남도 장성군 장성읍 안평리 721번지 3호  ,1692 
형연농장,한우,전라남도 장성군 진원면 산동리 364번지 3호  ,36 
가가한우목장,한우,전라남도 장성군 진원면 학림리 320번지 6호  ,628 
도담농장,돼지,전라남도 장성군 장성읍 유탕리 1307번지  ,977 
월계농장,한우,전라남도 장성군 북일면 월계리 102번지 17호  ,841 
문주영,한우,전라남도 장성군 북일면 월계리 102번지 32호  ,1008 
유용준,한우,전라남도 장성군 북하면 용두리 446번지 1호  ,315 
영일한우농장,한우,전라남도 장성군 북일면 월계리 14번지 26호  ,1709 
동서농장우사,한우,전라남도 장성군 진원면 산동리 594번지 3호  ,840 
백우농장,한우,전라남도 장성군 남면 덕성리 75번지 52호  ,423 
라온농장,한우,전라남도 장성군 북일면 신흥리 694번지 2호  ,840 
성산축산,한우,전라남도 장성군 북일면 성산리 253번지 3호  ,1204 
숙이네농장,한우,전라남도 장성군 북하면 단전리 34번지 6호  ,388 
송학농원,한우,전라남도 장성군 서삼면 금계리 9번지  ,1428 
임성농장,한우,전라남도 장성군 북하면 대악리 834번지  ,103 
남수,한우,전라남도 장성군 북이면 달성리 407번지 121호  ,349 
불태산진원성,한우,전라남도 장성군 진원면 산정리 325번지 3호  ,990 
푸른농장,한우,전라남도 장성군 북이면 죽청리 35번지 1호  ,88 
되살림 생태체험농장,종계/산란계,전라남도 장성군 북이면 만무리 398번지  ,193 
삼형제농장,한우,전라남도 장성군 황룡면 금호리 30번지 6호  ,288 
해오름농장,한우,전라남도 장성군 황룡면 맥호리 333번지 4호  ,2025 
와우농장,한우,전라남도 장성군 북일면 성산리 113번지 3호 외 1번지 ,1172 
벧엘농장,돼지,전라남도 장성군 서삼면 송현리 80번지 5호  ,8303 
선녜농장,한우,전라남도 장성군 북일면 성덕리 73번지 35호  ,387 
강변농장,한우,전라남도 장성군 장성읍 안평리 732번지 17호  ,1692 
초지농장,한우,전라남도 장성군 황룡면 금호리 151번지 6호 외 2필지 ,98 
세련2농장,한우,전라남도 장성군 삼서면 삼계리 1050번지 8호  ,1968 
예림농장,한우,전라남도 장성군 장성읍 유탕리 1546번지 2호  ,595 
흥룡한우농장,한우,전라남도 장성군 북일면 신흥리 693번지 7호  ,1092 
이숙한우농장,한우,전라남도 장성군 북일면 신흥리 886번지 6호  ,330 
해성농장,한우,전라남도 장성군 북일면 성산리 463번지 10호  ,1163 
대풀농장,한우,전라남도 장성군 동화면 구림리 343번지 1호 외 1필지 ,524 
또순이축산,한우,전라남도 장성군 북하면 대악리 523번지 1호  ,699 
이림목장,한우,전라남도 장성군 북일면 신흥리 687번지 1호 외 1필지 ,1815 
화신농장,한우,전라남도 장성군 북이면 신월리 657번지 30호  ,658 
미연농장,한우,전라남도 장성군 황룡면 필암리 225번지 8호  ,304 
민축산,한우,전라남도 장성군 장성읍 상오리 435번지 1호  ,700 
농업회사법인 주식회사 현진청정한우,한우,전라남도 장성군 서삼면 용흥리 546번지  ,1978 
하율농장,한우,전라남도 장성군 장성읍 상오리 396번지 2호  ,672 
율곡농장,한우,전라남도 장성군 진원면 율곡리 6번지 2호  ,960 
용암축산,돼지,전라남도 장성군 장성읍 안평리 317번지  ,2357 
녹진하나농장,육계,전라남도 장성군 남면 녹진리 742번지  ,1464 
동호리농장,한우,전라남도 장성군 동화면 동호리 30번지 7호  ,1932 
1546,한우,전라남도 장성군 장성읍 상오리 32번지 1호  ,396 
명정농장,한우,전라남도 장성군 북이면 달성리 584번지 8호  ,720 
명당농장,한우,전라남도 장성군 장성읍 상오리 439번지  ,303 
세강(대원)축산,한우,전라남도 장성군 장성읍 덕진리 892번지  ,1432 
성의농장 2,한우,전라남도 장성군 진원면 학림리 695번지  ,398 
평수농장,한우,전라남도 장성군 삼계면 화산리 103번지 5호  ,824 
영금농장,한우,전라남도 장성군 삼서면 우치리 278번지 외 2필지 ,410 
초원축산,한우,전라남도 장성군 동화면 남평리 466번지  ,1978 
영농조합법인 디원,돼지,전라남도 장성군 삼서면 금산리 324번지 11호  ,2640 
상남농장,한우,전라남도 장성군 북이면 사거리 424번지 3호  ,81 
계광농장,한우,전라남도 장성군 북일면 성덕리 74번지 6호  ,288 
성산농장,한우,전라남도 장성군 장성읍 유탕리 1358번지 9호  ,162 
송호농장,한우,전라남도 장성군 북일면 성산리 111번지 1호  ,1000 
영걸농장,한우,전라남도 장성군 남면 마령리 1081번지 1호 외 2필지 ,821 
고센성일농장,한우,전라남도 장성군 북일면 신흥리 679번지 1호  ,2184 
육사농장,한우,전라남도 장성군 서삼면 용흥리 604번지  ,888 
대성농장,한우,전라남도 장성군 동화면 구림리 499번지 3호  ,96 
추암농장,한우,전라남도 장성군 황룡면 아곡리 151번지 1호  ,256 
대동농장,한우,전라남도 장성군 남면 삼태리 785번지 3호  ,1000 
형제농장1호,한우,전라남도 장성군 북일면 성산리 253번지 1호  ,1376 
정구농장,한우,전라남도 장성군 서삼면 대덕리 288번지  ,336 
우가농장,한우,전라남도 장성군 삼계면 내계리 3번지  ,396 
대원농장,한우,전라남도 장성군 북이면 원덕리 310번지 3호  ,920 
우경농장,한우,전라남도 장성군 삼계면 내계리 576번지 5호  ,913 
모현농장,한우,전라남도 장성군 북이면 모현리 147번지 5호  ,1665 
녹색농장,한우,전라남도 장성군 북일면 성산리 464번지 6호  ,581 
월산농장,한우,전라남도 장성군 장성읍 야은리 406번지 3호 외 3필지 ,797 
성수농장,한우,전라남도 장성군 삼서면 보생리 209번지 1호 외 2필지 ,2460 
영난농장,한우,전라남도 장성군 삼서면 소룡리 437번지 7호  ,1150 
진길운 축사,한우,전라남도 장성군 서삼면 송현리 689번지  ,1502 
오남매농장,한우,전라남도 장성군 북일면 성산리 113번지 5호  ,948 
둥이농장,염소,전라남도 장성군 장성읍 유탕리 1554번지 5호  ,398 
보라농장,한우,"전라남도 장성군 북일면 성산리 567번지 1호 외 2필지(567-2, 567-20) ",2748 
우성한우농장,한우,전라남도 장성군 북이면 신월리 483번지 1호 외 2필지 ,1501 
금빛농장,한우,전라남도 장성군 북일면 신흥리 690번지 3호  ,1994 
누림축산,한우,전라남도 장성군 삼계면 수옥리 702번지 3호  ,982 
형규농장,한우,전라남도 장성군 동화면 구림리 325번지 2호  ,450 
인한농장,젖소,전라남도 장성군 북이면 죽청리 43번지 외 3필지 ,2075 
자유공간 사슴목장,사슴,전라남도 장성군 북일면 성산리 77번지 15호  ,1290 
진월농장,한우,전라남도 장성군 진원면 학림리 38번지 1호  ,536 
김춘식농장,한우,전라남도 장성군 남면 행정리 134번지 외1필지 ,390 
배치농장,한우,전라남도 장성군 서삼면 추암리 28번지  ,226 
화산목장,한우,전라남도 장성군 북이면 수성리 739번지  ,360 
달빛농장,한우,전라남도 장성군 삼서면 수해리 147번지 2호  ,399 
한재농장,한우,전라남도 장성군 장성읍 안평리 992번지  ,771 
시정농장,한우,전라남도 장성군 남면 마령리 143번지  ,375 
우림축산,한우,전라남도 장성군 황룡면 와룡리 36번지 2호  ,872 
진영축산,한우,전라남도 장성군 장성읍 성산리 55번지 2호  ,232 
석준농장,한우,전라남도 장성군 장성읍 상오리 435번지 2호 435-7 ,534 
대한농장,한우,전라남도 장성군 동화면 구림리 701번지 9호  ,920 
미미팜,돼지,전라남도 장성군 황룡면 아곡리 210번지 외 2필지 ,1442 
대경농장,한우,전라남도 장성군 삼서면 수양리 657번지  ,366 
풍성축산,한우,전라남도 장성군 장성읍 상오리 435번지 3호  ,1215 
모닝축산,한우,전라남도 장성군 장성읍 상오리 399번지 9호  ,907 
명화농장,염소,전라남도 장성군 동화면 송계리 486번지  ,252 
관동축산,한우,전라남도 장성군 황룡면 장산리 245번지 75호 외 1필지 ,191 
윤재농장,한우,전라남도 장성군 북이면 원덕리 416번지 1호  ,240 
형제농장,한우,전라남도 장성군 북일면 성산리 113번지 21호  ,1720 
청산축사,한우,전라남도 장성군 장성읍 상오리 49번지  ,493 
절암축산,한우,전라남도 장성군 삼계면 부성리 496번지 1호  ,56 
사나물농장,한우,전라남도 장성군 북일면 성산리 564번지 1호  ,952 
해신축산2,한우,전라남도 장성군 남면 덕성리 67번지 13호 외 6필지 ,989 
운성농장,한우,전라남도 장성군 북일면 성산리 38번지 1호  ,338 
영진농장,한우,전라남도 장성군 장성읍 유탕리 1551번지 1호  ,512 
수호농장,한우,전라남도 장성군 북일면 성덕리 21번지 1호  ,180 
장원농장,한우,전라남도 장성군 삼서면 수해리 114번지 외 1필지 ,139 
섭이농장,한우,전라남도 장성군 삼서면 소룡리 437번지 10호  ,1665 
농업회사법인 장성제일축산(주),종계/산란계,전라남도 장성군 삼서면 금산리 359번지 82호 외 3 ,9771 
소담농장,한우,전라남도 장성군 장성읍 부흥리 128번지 4호  ,1680 
내계농장,한우,전라남도 장성군 삼계면 내계리 925번지 1호  ,93 
미진농장,한우,전라남도 장성군 장성읍 수산리 343번지 외 2필지 ,325 
임마누엘농장,한우,전라남도 장성군 북일면 월계리 764번지 18호  ,300 
오성농장,한우,전라남도 장성군 장성읍 덕진리 588번지 1호 외1필지 ,1176 
숙희농장,한우,전라남도 장성군 북하면 대악리 840번지  ,51 
주경선농장,한우,전라남도 장성군 남면 마령리 431번지 8호 외 1필지 ,248 
우일농장,한우,전라남도 장성군 남면 녹진리 484번지 (485-1) ,891 
하원농장,한우,전라남도 장성군 북이면 죽청리 669번지  ,288 
재오농장,한우,전라남도 장성군 북이면 만무리 487번지 1호  ,90 
인한농장,젖소,"전라남도 장성군 북이면 죽청리 115번지 2호 외 3필지(115-1, 115-7, 115-8) ",525 
능성농장,육계,전라남도 장성군 삼계면 능성리 5번지 1호  ,2985 
정원축산,한우,전라남도 장성군 북일면 신흥리 706번지 4호  ,1674 
다올농장,한우,전라남도 장성군 진원면 용산리 798번지  ,840 
삼우농장,한우,전라남도 장성군 동화면 남평리 444번지 4호  ,1376 
형제농장,한우,전라남도 장성군 삼서면 대도리 135번지 16호 외1필지(135-17) ,1600 
에코농원,한우,전라남도 장성군 삼서면 대도리 687번지 6호  ,2715 
동물농장,한우,전라남도 장성군 북일면 신흥리 832번지  ,930 
연호농장,한우,전라남도 장성군 북일면 신흥리 701번지 5호  ,1967 
우 상인 농장,한우,전라남도 장성군 북일면 신흥리 707번지 1호 외 1필지 ,2027 
장안축산,한우,전라남도 장성군 장성읍 안평리 737번지 2호  ,711 
연자봉 한우농장(제2농장),한우,전라남도 장성군 북일면 신흥리 691번지 11호  ,1472 
새신흥농장(제2농장),한우,전라남도 장성군 북일면 신흥리 702번지 2호  ,1728 
으뜸축산,한우,전라남도 장성군 북일면 성산리 323번지 11호  ,1092 
하남농장,한우,전라남도 장성군 동화면 남산리 733번지 4호  ,240 
황룡축산,한우,전라남도 장성군 황룡면 월평리 200번지 77호  ,56 
연준농장,한우,전라남도 장성군 북이면 신월리 203번지  ,275 
월평농장,한우,전라남도 장성군 황룡면 월평리 346번지 1호  ,99 
금계농장,한우,전라남도 장성군 서삼면 금계리 504번지 1호  ,80 
달성농장,한우,전라남도 장성군 북이면 달성리 26번지 5호  ,99 
강선농장,한우,전라남도 장성군 북하면 중평리 184번지 7호  ,99 
장산농장,한우,전라남도 장성군 서삼면 장산리 204번지 2호  ,30 
팔구농장,한우,전라남도 장성군 북일면 신흥리 648번지  ,50 
영성한우농장,한우,전라남도 장성군 삼서면 금산리 16번지 2호  ,192 
영진농장,한우,전라남도 장성군 삼계면 수산리 578번지 1호  ,184 
영수농장,한우,전라남도 장성군 북일면 신흥리 677번지 3호  ,37 
국일농장,한우,전라남도 장성군 삼서면 금산리 300-4번지  ,1008 
홍장군 흑염소농장,산양,전라남도 장성군 동화면 송계리 55번지 외 1필지(55-2) ,280 
민이맘농장,한우,전라남도 장성군 북일면 신흥리 692번지 3호  ,1382 
브니엘2농장,돼지,"전라남도 장성군 황룡면 아곡리 252번지 2호 외 2필지(252-11, 252-12) ",1480 
신씨내마을,한우,전라남도 장성군 북일면 성산리 521번지  ,567 
정용조농장,육우,전라남도 장성군 진원면 상림리 398번지  ,75 
소나무 농장,한우,전라남도 장성군 북일면 월계리 251번지 1호 외 1필지(250) ,174 
한우농장,한우,전라남도 장성군 삼서면 소룡리 437번지 12호  ,3999 
푸른목장,육우,전라남도 장성군 삼서면 우치리 58번지 8호  ,1153 
영국농장,한우,전라남도 장성군 진원면 산동리 197번지  ,49 
정효축산,한우,전라남도 장성군 장성읍 안평리 321번지 외 1필지(321-3) ,1369 
제이축산,한우,전라남도 장성군 북일면 오산리 677번지 3호  ,930 
영웅농장,한우,전라남도 장성군 서삼면 대덕리 231번지 외 1필지(231-2) ,475 
성진농장,한우,전라남도 장성군 북이면 수성리 833번지 3호  ,311 
우리축산,한우,전라남도 장성군 북일면 오산리 677번지 1호  ,946 
성부농장,한우,전라남도 장성군 북이면 백암리 707번지  ,99 
산들농장,한우,"전라남도 장성군 진원면 학림리 173번지 12호 외 3필지(173-10, 173-11, 173-13) ",698 
예찬축사3,한우,전라남도 장성군 삼서면 수해리 535번지 7호  ,1050 
고씨사랑목장,한우,전라남도 장성군 북하면 성암리 764번지 7호  ,256 
미소농장,한우,전라남도 장성군 북일면 신흥리 693번지 6호  ,1620 
도남농장,한우,전라남도 장성군 북일면 성산리 323번지 4호  ,1204 
왕성축산,한우,전라남도 장성군 장성읍 상오리 435번지 1호  ,700 
훈이목장,한우,전라남도 장성군 진원면 진원리 129번지 17호  ,575 
준이네,한우,전라남도 장성군 삼서면 우치리 536번지 2호 외 1필지(539-3) ,860 
성의농장,한우,전라남도 장성군 서삼면 대덕리 287번지 1호  ,360 
