사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
녹전농장,한우,"경상북도 안동시 녹전면 녹래리 181번지 3호 , 181-2 ",경상북도 안동시 녹전면 일출길 15-14,2025-11-25
그린축산,한우,경상북도 안동시 녹전면 서삼리 598번지  ,경상북도 안동시 녹전면 서삼길 132-17,2025-11-25
이한교농장,한우,경상북도 안동시 녹전면 매정리 587번지 2호  ,"경상북도 안동시 녹전면 신정길 27-8, (매정리 591-4)",2025-11-25
김원길농장,한우,경상북도 안동시 일직면 귀미리 124번지  ,경상북도 안동시 일직면 일직점곡로 377,2025-11-25
김진성농장,한우,경상북도 안동시 일직면 원호리 701번지 6호  ,,2025-11-25
한고을 농장,한우,경상북도 안동시 서후면 태장리 953번지  ,경상북도 안동시 서후면 태장죽헌길 13,2025-11-25
청산농장2,육계,경상북도 안동시 일직면 망호리 287번지  ,경상북도 안동시 일직면 지실들길 38,2025-11-25
권오덕 농장,한우,경상북도 안동시 녹전면 원천리 65번지  ,경상북도 안동시 녹전면 원천어란길 87,2025-11-25
김정하 농장,한우,경상북도 안동시 남선면 이천리 449번지  ,,2025-11-25
보현농장,한우,경상북도 안동시 서후면 이개리 205번지 1호  ,"경상북도 안동시 서후면 이개2길 9-10, (이개리 206번지)",2025-11-25
권영수 농장,한우,경상북도 안동시 풍산읍 괴정리 51번지  ,,2025-11-25
우렁골 한우,한우,경상북도 안동시 풍산읍 수리 1101번지  ,경상북도 안동시 풍산읍 풍산태사로 1291,2025-11-25
풍산농장,한우,경상북도 안동시 풍산읍 매곡리 336번지  ,경상북도 안동시 풍산읍 신양로 260,2025-11-25
지훈농장,한우,경상북도 안동시 풍산읍 오미리 510번지  ,경상북도 안동시 풍산읍 방가미길 25,2025-11-25
금호농장,한우,경상북도 안동시 와룡면 태리 631번지  ,,2025-11-25
원천농장,한우,"경상북도 안동시 녹전면 원천리 667번지 , 668, 693 ","경상북도 안동시 녹전면 예봉로 846-76, ,846-40",2025-11-25
권영록 농장,한우,"경상북도 안동시 녹전면 원천리 130번지 6호 , 130-8 ","경상북도 안동시 녹전면 구억마을길 28, 원매길 252",2025-11-25
양생농장2,한우,경상북도 안동시 녹전면 신평리 255번지  ,"경상북도 안동시 녹전면 신매로 101, (신평리 259-3)",2025-11-25
전통안동한우,한우,경상북도 안동시 임하면 임하리 311번지 1호 외 3필 ,경상북도 안동시 임하면 푸레실길 23 (외 3필),2025-11-25
관곡농장,육계,"경상북도 안동시 와룡면 가구리 산 97번지 ,와룡면 가구리 328,329,330,331,332 ",경상북도 안동시 와룡면 가메기길 122-29,2025-11-25
우리농장,육계,경상북도 안동시 와룡면 라소리 907번지  ,경상북도 안동시 와룡면 토치골길 217,2025-11-25
홍성준 농장,한우,경상북도 안동시 일직면 원리 78번지 1호  ,"경상북도 안동시 일직면 안평일직길 1192, (원리 78-3)",2025-11-25
강칠봉 농장,한우,경상북도 안동시 북후면 물한리 583번지  ,경상북도 안동시 북후면 물한길 49,2025-11-25
조금숙 농장,한우,경상북도 안동시 일직면 국곡리 448번지  ,경상북도 안동시 일직면 남일로 150,2025-11-25
이승옥 농장,한우,경상북도 안동시 일직면 운산리 542번지 19호  ,,2025-11-25
김병규 농장,한우,"경상북도 안동시 일직면 명진리 125번지 ,124-4,124-5 ",경상북도 안동시 일직면 평팔명진길 302,2025-11-25
손명호 농장,육계,경상북도 안동시 와룡면 지내리 892번지  ,경상북도 안동시 와룡면 장수골길 75,2025-11-25
청산농장,한우,경상북도 안동시 일직면 귀미리 830번지  ,"경상북도 안동시 일직면 구천길 352-38, (귀미리 827)",2025-11-25
권문중 농장,한우,경상북도 안동시 일직면 광연리 201번지  ,경상북도 안동시 일직면 중반들길 109-2,2025-11-25
권기동 농장,한우,"경상북도 안동시 일직면 명진리 134번지 1호 , 131 ",경상북도 안동시 일직면 평팔명진길 281,2025-11-25
김경일 농장,한우,경상북도 안동시 일직면 송리리 349번지  ,경상북도 안동시 일직면 까박골길 31,2025-11-25
망호농장,한우,"경상북도 안동시 일직면 망호리 883,882-1,1003-2 ",,2025-11-25
망호농장,한우,경상북도 안동시 일직면 망호리 986번지 1호  ,경상북도 안동시 일직면 경북대로 7085-42,2025-11-25
원호농장,한우,경상북도 안동시 일직면 구천리 423번지 6호  ,"경상북도 안동시 일직면 구천길 42-17, (구천리 423-15)",2025-11-25
계육농장,육계,경상북도 안동시 와룡면 감애리 479번지  ,경상북도 안동시 와룡면 웃골1길 86,2025-11-25
권오석 농장,한우,"경상북도 안동시 풍산읍 괴정리 156번지 ,178-2번지 ","경상북도 안동시 풍산읍 절뒤안길 25 (,178-2번지)",2025-11-25
소산농장,한우,경상북도 안동시 풍산읍 소산리 657번지  ,,2025-11-25
학대농장,한우,경상북도 안동시 풍산읍 죽전리 794번지 1호  ,경상북도 안동시 풍산읍 관음절길 2,2025-11-25
윤남농장,한우,경상북도 안동시 풍산읍 죽전리 844번지  ,,2025-11-25
이경호농장,한우,경상북도 안동시 풍산읍 노리 47번지 1호  ,"경상북도 안동시 풍산읍 석교길 40, (노리 47-1)",2025-11-25
한우축사,한우,경상북도 안동시 임동면 고천리 378번지  ,,2025-11-25
대경축산,돼지,경상북도 안동시 풍천면 광덕리 1391번지 52호  ,경상북도 안동시 풍천면 광덕섬길 253-3,2025-11-25
최순화 농장,한우,"경상북도 안동시 녹전면 매정리 894번지 ,896-1 ","경상북도 안동시 녹전면 고정길 15 (,896-1)",2025-11-25
유영희 농장,한우,경상북도 안동시 임동면 고천리 289번지  ,,2025-11-25
김영습농장,돼지,경상북도 안동시 풍산읍 회곡리 213번지 2호  ,경상북도 안동시 풍산읍 청회길 302-7,2025-11-25
강해원 농장,한우,경상북도 안동시 녹전면 원천리 804번지  ,,2025-11-25
서유환 농장,한우,경상북도 안동시 녹전면 원천리 807번지 5   호  ,,2025-11-25
신상식 농장,한우,경상북도 안동시 녹전면 신평리 59번지  ,,2025-11-25
호암농장,한우,"경상북도 안동시 풍산읍 수곡리 44번지 외, 1필지 ","경상북도 안동시 풍산읍 다담길 15 (외, 1필지)",2025-11-25
청솔농장,한우,경상북도 안동시 풍산읍 막곡리 622번지  ,경상북도 안동시 풍산읍 청회길 396-7,2025-11-25
녹우촌 농장,한우,경상북도 안동시 녹전면 원천리 140번지 1호  ,경상북도 안동시 녹전면 원매길 272,2025-11-25
김대현 농장,한우,경상북도 안동시 이천동 610번지  ,,2025-11-25
남시윤 농장,한우,"경상북도 안동시 일직면 망호리 140번지 ,140-1 ","경상북도 안동시 일직면 안망실길 35-6, ,45",2025-11-25
남시경 농장,한우,"경상북도 안동시 일직면 귀미리 690번지 2호 , 690-1 ",경상북도 안동시 일직면 하나들길 162,2025-11-25
