사업장명칭,주사육업종,사업장소재지(지번),사육두수
전정남농장,한우,전남광주통합특별시 해남군 문내면 충평리 107번지 5호 외 1필지 ,17
박종기농장,한우,전남광주통합특별시 해남군 문내면 충평리 598번지 1호 외 1필지 ,45
지우축산,돼지,전남광주통합특별시 해남군 북평면 오산리 231번지 외 4필지 ,700
오산축산,돼지,전남광주통합특별시 해남군 북평면 오산리 404번지  ,1100
조대웅농장,한우,전남광주통합특별시 해남군 북일면 운전리 191번지  ,21
박화식농장,한우,전남광주통합특별시 해남군 북일면 흥촌리 722번지 외 4필지 ,27
이금연농장,한우,전남광주통합특별시 해남군 북일면 용일리 955번지  ,15
최선호농장,한우,전남광주통합특별시 해남군 북일면 방산리 32번지  ,16
실로암목장,젖소,전남광주통합특별시 해남군 북일면 운전리 177번지  ,124
이화봉농장,한우,전남광주통합특별시 해남군 마산면 상등리 979번지  ,40
강경진농장,한우,전남광주통합특별시 해남군 황산면 일신리 23번지 18호  ,52
유일한농장,한우,전남광주통합특별시 해남군 황산면 연호리 694번지 34호  ,30
천일축산,한우,전남광주통합특별시 해남군 화산면 석호리 952번지 2호 외4필지 ,61
화신축산,한우,전남광주통합특별시 해남군 화산면 평호리 128번지 55호  ,85
강남농장,한우,전남광주통합특별시 해남군 송지면 미야리 1008번지 외3필지 ,47
천지농장,한우,전남광주통합특별시 해남군 북평면 평암리 630번지 외 9필지 ,45
환원농장,한우,전남광주통합특별시 해남군 북일면 운전리 275번지 외 3필지 ,50
대현농장,한우,전남광주통합특별시 해남군 마산면 연구리 634번지  ,18
평화목장,육우,전남광주통합특별시 해남군 마산면 상등리 산 2번지 36호  ,40
종종축산,한우,전남광주통합특별시 해남군 마산면 연구리 636번지 1호  ,20
이광채농장,한우,전남광주통합특별시 해남군 마산면 산막리 158번지 1호  ,60
김광진농장,한우,전남광주통합특별시 해남군 산이면 금호리 9번지 2호  ,30
이금수농장,한우,전남광주통합특별시 해남군 화원면 신덕리 949번지 1호  ,23
홍순학농장,한우,전남광주통합특별시 해남군 화원면 마산리 195번지 4호  ,51
신행석농장,한우,전남광주통합특별시 해남군 화원면 마산리 244번지 3호  ,18
강병태농장,한우,전남광주통합특별시 해남군 화원면 마산리 245번지  ,59
김성열농장,한우,전남광주통합특별시 해남군 화원면 구림리 338번지 1호  ,19
주용상농장,한우,"전남광주통합특별시 해남군 화원면 후산리 129번지 1호 외 2필지(129-2, 129-3) ",51
박철진농장,한우,전남광주통합특별시 해남군 화원면 후산리 116번지 1호  ,36
김성호농장,한우,전남광주통합특별시 해남군 화원면 후산리 99번지 1호  ,37
