시군명,농장명,축종,사육두수,소재지지번주소,위도,경도,데이터기준일
광주시,헌희목장,소,57,경기도 광주시 곤지암읍 만선리 313-3,37.36176617,127.4185963,2026-03-11
광주시,신오향농장,소,131,경기도 광주시 곤지암읍 오향리 232,37.36477039,127.4285983,2026-03-11
광주시,고맙소,소,45,경기도 광주시 곤지암읍 이선리 395-1,37.33749001,127.3297185,2026-03-11
광주시,중앙축산,소,37,경기도 광주시 곤지암읍 오향리 323-5,37.34153927,127.3351112,2026-03-11
광주시,구본능농장,소,21,경기도 광주시 도척면 궁평리 257,37.33755452,127.3236238,2026-03-11
광주시,경수농장,소,141,경기도 광주시 곤지암읍 이선리 118-1,37.33755748,127.3241429,2026-03-11
광주시,수민농장,소,119,경기도 광주시 곤지암읍 이선리 407-1,37.33297482,127.3154044,2026-03-11
광주시,우리목장,소,9,경기도 광주시 도척면 상림리 36-8,37.33346299,127.318808,2026-03-11
광주시,상림목장,소,5,경기도 광주시 도척면 상림리 51-61,37.33175748,127.3183833,2026-03-11
광주시,창주목장,소,39,경기도 광주시 도척면 상림리 48-2,37.33895911,127.3281819,2026-03-11
광주시,바요목장,소,93,경기도 광주시 곤지암읍 연곡리 288,37.30384011,127.3388492,2026-03-11
광주시,부영목장,소,6,경기도 광주시 곤지암읍 연곡리 131-1,37.30044608,127.3442819,2026-03-11
광주시,가나안농장3,소,6,경기도 광주시 도척면 노곡리 186-1,37.28063509,127.3163176,2026-03-11
광주시,도전목장,소,34,경기도 광주시 곤지암읍 연곡리 430-2,37.28199687,127.3180758,2026-03-11
광주시,보훈목장,소,28,경기도 광주시 도척면 유정리 40-2,37.27876948,127.3131431,2026-03-11
광주시,궁중목장,소,61,경기도 광주시 도척면 궁평리 665,37.27964031,127.3141389,2026-03-11
광주시,고경목장,소,84,경기도 광주시 초월읍 용수리 471,37.30929759,127.3191723,2026-03-11
광주시,영진목장,소,30,경기도 광주시 초월읍 용수리 33-1,37.31027112,127.3176631,2026-03-11
광주시,향기목장,소,59,경기도 광주시 곤지암읍 오향리 442-4,37.31055608,127.3202101,2026-03-11
광주시,신용남목장,소,88,경기도 광주시 도척면 궁평리 97-6,37.31843985,127.3045242,2026-03-11
광주시,수아목장,소,48,경기도 광주시 도척면 궁평리 603,37.29115747,127.3284935,2026-03-11
광주시,이원선농장,소,47,경기도 광주시 도척면 유정리 463-1,37.29198733,127.3270538,2026-03-11
광주시,주인호목장,소,8,경기도 광주시 도척면 진우리 343,37.29516827,127.3334433,2026-03-11
광주시,보유목장,소,5,경기도 광주시 곤지암읍 오향리 278-1,37.29998672,127.3330061,2026-03-11
광주시,상원농장,소,23,경기도 광주시 곤지암읍 삼합리 84,37.29225449,127.3217505,2026-03-11
광주시,은용축산,소,27,경기도 광주시 초월읍 용수리 479-3,37.29106477,127.3217047,2026-03-11
광주시,정수농장,소,3,경기도 광주시 도척면 추곡리 68,37.28877113,127.3224358,2026-03-11
광주시,은옥목장,소,88,경기도 광주시 곤지암읍 수양리 58,37.28944178,127.3231065,2026-03-11
광주시,중앙농장,소,24,경기도 광주시 초월읍 용수리 261,37.28749794,127.3235524,2026-03-11
광주시,전영애목장,소,15,경기도 광주시 곤지암읍 만선리 137-6,37.2868652,127.3232085,2026-03-11
광주시,고개마루,소,9,경기도 광주시 도척면 방도리 566-1,37.2866676,127.3217441,2026-03-11
광주시,야발농장,소,68,경기도 광주시 곤지암읍 연곡리 239,37.2851752,127.3239228,2026-03-11
광주시,선골농장,소,78,경기도 광주시 곤지암읍 이선리 433-2,37.32037351,127.332093,2026-03-11
광주시,목리목장,소,5,경기도 광주시 목동 목동 302-1,37.32247501,127.3324355,2026-03-11
광주시,선화목장,소,20,경기도 광주시 곤지암읍 연곡리 181,37.27595699,127.2945404,2026-03-11
광주시,금수목장,소,104,경기도 광주시 곤지암읍 연곡리 179-1,37.27725672,127.2949004,2026-03-11
광주시,용만목장,소,16,경기도 광주시 도척면 추곡리 156-1,37.27918061,127.2881165,2026-03-11
광주시,수암목장,소,28,경기도 광주시 곤지암읍 수양리 65-1,37.28002062,127.2869471,2026-03-11
광주시,서명원목장,소,104,경기도 광주시 퇴촌면 영동리 502-6,37.47209223,127.3771689,2026-03-11
광주시,앵자산농장,소,93,경기도 광주시 곤지암읍 이선리 400,37.48372787,127.3708648,2026-03-11
광주시,건일농장,소,11,경기도 광주시 초월읍 쌍동리 290-1,37.37775977,127.2909816,2026-03-11
광주시,원당목장,소,1,경기도 광주시 퇴촌면 원당리 117,37.45370287,127.3092328,2026-03-11
광주시,김성훈목장,소,0,경기도 광주시 곤지암읍 연곡리 63-1,37.37690701,127.2022179,2026-03-11
광주시,영근2목장,소,69,경기도 광주시 곤지암읍 연곡리 188,37.3032049,127.334838,2026-03-11
광주시,독박골농장,소,73,경기도 광주시 곤지암읍 삼합리 364,37.361113,127.417709,2026-03-11
광주시,장철목장,소,53,경기도 광주시 초월읍 무갑리 308-308,37.2845064,127.325157,2026-03-11
광주시,초우목장,소,10,경기도 광주시 곤지암읍 오향리 30,37.35554788,127.3793502,2026-03-11
광주시,우수농장,소,26,경기도 광주시 도척면 추곡리 225,37.27917159,127.2881166,2026-03-11
광주시,학원목장,소,28,경기도 광주시 곤지암읍 연곡리 62,37.3578704,127.4179941,2026-03-11
광주시,중동목장,소,6,경기도 광주시 초월읍 쌍동리 98-1,37.269467,127.300452,2026-03-11
광주시,천현농장,소,20,경기도 광주시 초월읍 무갑리 450,37.367373,127.38858,2026-03-11
광주시,정환목장,소,46,경기도 광주시 도척면 유정리 2-5,37.45127133,127.2881647,2026-03-11
광주시,원적산목장,소,36,경기도 광주시 곤지암읍 삼합리 302-7,37.3640082,127.375747,2026-03-11
광주시,평일목장,소,20,경기도 광주시 도척면 궁평리 20-1,37.27906644,127.3130727,2026-03-11
광주시,강석관농장,소,18,경기도 광주시 도척면 유정리 390-1,37.377351,127.3011701,2026-03-11
광주시,계회농장,소,10,경기도 광주시 곤지암읍 오향리 42-11,37.3560837,127.3818743,2026-03-11
광주시,신인철농장,소,15,경기도 광주시 도척면 유정리 472,37.37666251,127.3019557,2026-03-11
광주시,윤상기목장,소,24,경기도 광주시 초월읍 용수리 257-2,37.3786749,127.4400669,2026-03-11
광주시,초월농장,소,43,경기도 광주시 초월읍 용수리 261-1,37.3655731,127.3872608,2026-03-11
광주시,e선한농장,소,0,경기도 광주시 곤지암읍 이선리 362,37.2796699,127.3192807,2026-03-11
광주시,법화축산2,소,88,경기도 광주시 곤지암읍 연곡리 187-2,37.3623189,127.387005,2026-03-11
광주시,강민규농장,소,14,경기도 광주시 도척면 유정리 384,37.28877113,127.3224358,2026-03-11
광주시,까치목장,소,10,경기도 광주시 도척면 방도리 339-5,37.28435482,127.3254413,2026-03-11
광주시,강산목장,소,47,경기도 광주시 곤지암읍 광여로 476-11737.367557,37.364152,127.387671,2026-03-11
광주시,KH투뿔농장,소,35,경기도 광주시 곤지암읍 광여로 502-52,37.365866,127.389268,2026-03-11
