작업장명(업체명),대표자,공장소재지,허가일자(YYMMDD),부지면적(미터제곱),건물면적(미터제곱),1일소처리능력(두),1일돼지처리능력(두),전화번호,비고
삼와산업(울산도축장),박근식외 2명,남구 상개로 202-23,1974-08-02,20000,2803,200,1000,052-268-6198,
(주)한축산업(언양도축장),김진욱,울주군 언양읍 반구대로1204-15,1994-04-25,5279,2418,100,600,052-254-5491,
