연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
66,전라남도,화순군,젖소,전라남도 화순군 도곡면 원화리 450번지  ,2026-01-22
67,전라남도,화순군,젖소,전라남도 화순군 능주면 천덕리 86번지  ,2026-01-22
68,전라남도,화순군,젖소,"전라남도 화순군 도곡면 대곡리 411번지 1호 외 2필지(411-2, 417) ",2026-01-22
69,전라남도,화순군,젖소,전라남도 화순군 동면 운농리 285번지  ,2026-01-22
70,전라남도,화순군,종계/산란계,전라남도 화순군 화순읍 삼천리 142번지 외 5필지 ,2026-01-22
71,전라남도,화순군,한우,"전라남도 화순군 동면 운농리 313번지 1호 , 300-2, 300-3, 313-5, 313-6 ",2026-01-22
72,전라남도,화순군,한우,전라남도 화순군 화순읍 앵남리 682번지  ,2026-01-22
73,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1067번지 12호  ,2026-01-22
74,전라남도,화순군,한우,전라남도 화순군 화순읍 연양리 431번지  ,2026-01-22
75,전라남도,화순군,한우,"전라남도 화순군 춘양면 가봉리 1046번지 5호 외 3필지(1046-4, 1046-6, 166) ",2026-01-22
76,전라남도,화순군,한우,전라남도 화순군 백아면 노치리 270번지  ,2026-01-22
77,전라남도,화순군,젖소,전라남도 화순군 도곡면 원화리 360번지  ,2026-01-22
78,전라남도,화순군,한우,전라남도 화순군 동면 무포리 439번지  ,2026-01-22
79,전라남도,화순군,육계,전라남도 화순군 춘양면 대신리 산 51번지  ,2026-01-22
80,전라남도,화순군,육우,전라남도 화순군 도곡면 미곡리 156번지  ,2026-01-22
81,전라남도,화순군,한우,전라남도 화순군 동면 옥호리 287번지 1호  ,2026-01-22
82,전라남도,화순군,한우,"전라남도 화순군 사평면 내리 659번지 660, 661 ",2026-01-22
83,전라남도,화순군,한우,전라남도 화순군 한천면 정우리 348번지  ,2026-01-22
84,전라남도,화순군,한우,전라남도 화순군 화순읍 주도리 263번지 1호  ,2026-01-22
85,전라남도,화순군,육계,"전라남도 화순군 도암면 용강리 783번지 1호 외 2필지(783-2,783-4) ",2026-01-22
86,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 818번지  ,2026-01-22
87,전라남도,화순군,한우,전라남도 화순군 춘양면 용곡리 462번지  ,2026-01-22
88,전라남도,화순군,한우,전라남도 화순군 백아면 남치리 275번지  ,2026-01-22
89,전라남도,화순군,한우,전라남도 화순군 백아면 원리 546번지 7호  ,2026-01-22
90,전라남도,화순군,한우,전라남도 화순군 동면 청궁리 387번지 외 388번지 ,2026-01-22
91,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 658번지  ,2026-01-22
92,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 885번지 10호  ,2026-01-22
93,전라남도,화순군,사슴,전라남도 화순군 청풍면 풍암리 36번지 7호  ,2026-01-22
94,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 산 49번지 1호  ,2026-01-22
95,전라남도,화순군,돼지,전라남도 화순군 한천면 오음리 55번지  ,2026-01-22
96,전라남도,화순군,한우,"전라남도 화순군 춘양면 가봉리 889번지 ,888 ",2026-01-22
97,전라남도,화순군,한우,전라남도 화순군 이양면 장치리 94번지  ,2026-01-22
98,전라남도,화순군,한우,전라남도 화순군 이서면 안심리 429번지  ,2026-01-22
99,전라남도,화순군,한우,전라남도 화순군 능주면 광사리 75번지 2호  ,2026-01-22
100,전라남도,화순군,돼지,전라남도 화순군 백아면 송단리 143번지 1호  ,2026-01-22
101,전라남도,화순군,한우,전라남도 화순군 춘양면 석정리 457번지  ,2026-01-22
102,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 629번지  ,2026-01-22
103,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 362번지  ,2026-01-22
104,전라남도,화순군,육계,전라남도 화순군 도곡면 월곡리 86번지  ,2026-01-22
105,전라남도,화순군,한우,전라남도 화순군 이서면 인계리 285번지  ,2026-01-22
106,전라남도,화순군,한우,"전라남도 화순군 동면 오동리 804번지 , 794, 794-1, 804-1, 805 ",2026-01-22
107,전라남도,화순군,한우,전라남도 화순군 사평면 남계리 509번지  ,2026-01-22
108,전라남도,화순군,한우,전라남도 화순군 이양면 옥리 234번지 1호  ,2026-01-22
109,전라남도,화순군,한우,"전라남도 화순군 백아면 맹리 323번지 1호 , 산41-7 ",2026-01-22
110,전라남도,화순군,한우,전라남도 화순군 이서면 보월리 233번지  ,2026-01-22
111,전라남도,화순군,한우,전라남도 화순군 춘양면 산간리 140번지  ,2026-01-22
112,전라남도,화순군,한우,전라남도 화순군 춘양면 우봉리 211번지 10호  ,2026-01-22
113,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 406번지  ,2026-01-22
114,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 36번지  ,2026-01-22
115,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 13호  ,2026-01-22
116,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 764번지 3호  ,2026-01-22
117,전라남도,화순군,한우,전라남도 화순군 화순읍 주도리 502번지  ,2026-01-22
118,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 1031번지 11호  ,2026-01-22
119,전라남도,화순군,한우,전라남도 화순군 백아면 맹리 498번지 외 500번지 ,2026-01-22
120,전라남도,화순군,종계/산란계,전라남도 화순군 이양면 초방리 496번지  ,2026-01-22
121,전라남도,화순군,한우,전라남도 화순군 사평면 검산리 488번지  ,2026-01-22
122,전라남도,화순군,돼지,"전라남도 화순군 동복면 독상리 48번지 6호 , 49-6, 48-4, 49, 49-2, 44, 45, 652-4, 50, 50-4 ",2026-01-22
123,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 84번지  ,2026-01-22
124,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 652번지 2호  ,2026-01-22
125,전라남도,화순군,돼지,전라남도 화순군 동면 복암리 846번지 외 18필지 ,2026-01-22
126,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 916번지  ,2026-01-22
127,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 139번지  ,2026-01-22
128,전라남도,화순군,종계/산란계,전라남도 화순군 춘양면 용곡리 592번지  ,2026-01-22
129,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 731번지 외 1필지 ,2026-01-22
130,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 705번지  ,2026-01-22
131,전라남도,화순군,한우,"전라남도 화순군 도암면 지월리 1번지 ,1-1 ,214 ",2026-01-22
132,전라남도,화순군,한우,전라남도 화순군 춘양면 산간리 99번지  ,2026-01-22
133,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 697번지 1호  ,2026-01-22
134,전라남도,화순군,한우,전라남도 화순군 능주면 남정리 538번지 5호  ,2026-01-22
135,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 650번지 7호  ,2026-01-22
136,전라남도,화순군,한우,전라남도 화순군 동면 오동리 809번지  ,2026-01-22
137,전라남도,화순군,한우,전라남도 화순군 백아면 원리 553번지 1호  ,2026-01-22
138,전라남도,화순군,한우,전라남도 화순군 백아면 원리 272번지 1호  ,2026-01-22
139,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 438 ,2026-01-22
140,전라남도,화순군,한우,전라남도 화순군 백아면 원리 266번지 1호  ,2026-01-22
141,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 418번지  ,2026-01-22
142,전라남도,화순군,한우,전라남도 화순군 백아면 이천리 372번지 2호  ,2026-01-22
143,전라남도,화순군,한우,전라남도 화순군 백아면 수리 506번지 1호  ,2026-01-22
144,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 82번지  ,2026-01-22
145,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 90번지 1호  ,2026-01-22
146,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 257번지 1호  ,2026-01-22
147,전라남도,화순군,육계,전라남도 화순군 춘양면 용곡리 592번지  ,2026-01-22
148,전라남도,화순군,한우,전라남도 화순군 동면 무포리 444번지 1호  ,2026-01-22
149,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 828번지 4호  ,2026-01-22
150,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 30번지  ,2026-01-22
151,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 681번지  ,2026-01-22
152,전라남도,화순군,한우,전라남도 화순군 사평면 다산리 298번지 2호  ,2026-01-22
153,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 70번지  ,2026-01-22
154,전라남도,화순군,한우,전라남도 화순군 도암면 원천리 1016번지  ,2026-01-22
155,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 762번지 10호 외 2필지 ,2026-01-22
