연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
288,전라남도,화순군,한우,"전라남도 화순군 청풍면 백운리 18번지 4호 외 4필지(18-5,18-6,28-2,29) ",2026-01-22
289,전라남도,화순군,한우,전라남도 화순군 화순읍 서태리 1062번지 6호  ,2026-01-22
290,전라남도,화순군,산양,전라남도 화순군 이양면 초방리 496번지  ,2026-01-22
291,전라남도,화순군,한우,전라남도 화순군 이양면 쌍봉리 910번지 1호  ,2026-01-22
292,전라남도,화순군,한우,전라남도 화순군 백아면 노치리 341번지  ,2026-01-22
293,전라남도,화순군,한우,전라남도 화순군 백아면 원리 227번지  ,2026-01-22
294,전라남도,화순군,종계/산란계,전라남도 화순군 동복면 신율리 745번지 11호  ,2026-01-22
295,전라남도,화순군,한우,전라남도 화순군 백아면 수리 150번지  ,2026-01-22
296,전라남도,화순군,한우,전라남도 화순군 화순읍 연양리 35번지 1호  ,2026-01-22
297,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 172번지  ,2026-01-22
298,전라남도,화순군,한우,전라남도 화순군 백아면 수리 461번지 1호  ,2026-01-22
299,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 583번지 2호  ,2026-01-22
300,전라남도,화순군,한우,전라남도 화순군 청풍면 어리 354번지 1호 외1필지 ,2026-01-22
301,전라남도,화순군,산양,전라남도 화순군 청풍면 어리 354번지 1호  ,2026-01-22
302,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 243번지  ,2026-01-22
303,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 438번지  ,2026-01-22
304,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 389번지  ,2026-01-22
305,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 439번지  ,2026-01-22
306,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 449번지  ,2026-01-22
307,전라남도,화순군,한우,전라남도 화순군 동복면 독상리 396번지 8호  ,2026-01-22
308,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 661번지 1호  ,2026-01-22
309,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 956번지 14호  ,2026-01-22
310,전라남도,화순군,한우,전라남도 화순군 도곡면 덕곡리 484번지  ,2026-01-22
311,전라남도,화순군,한우,전라남도 화순군 도곡면 미곡리 126번지 3호  ,2026-01-22
312,전라남도,화순군,한우,전라남도 화순군 도곡면 신덕리 1033번지 12호  ,2026-01-22
313,전라남도,화순군,한우,전라남도 화순군 도곡면 신성리 288번지  ,2026-01-22
314,전라남도,화순군,한우,전라남도 화순군 도곡면 신성리 386번지  ,2026-01-22
315,전라남도,화순군,한우,전라남도 화순군 도곡면 천암리 483번지  ,2026-01-22
316,전라남도,화순군,한우,전라남도 화순군 도곡면 효산리 1246번지 9호  ,2026-01-22
317,전라남도,화순군,한우,전라남도 화순군 도곡면 효산리 45번지 2호  ,2026-01-22
318,전라남도,화순군,한우,전라남도 화순군 동면 복암리 524번지 1호  ,2026-01-22
319,전라남도,화순군,한우,전라남도 화순군 동면 언도리 18번지 7호  ,2026-01-22
320,전라남도,화순군,한우,전라남도 화순군 동면 운농리 399번지  ,2026-01-22
321,전라남도,화순군,한우,전라남도 화순군 동면 운농리 411번지  ,2026-01-22
322,전라남도,화순군,한우,전라남도 화순군 동면 운농리 441번지  ,2026-01-22
323,전라남도,화순군,한우,전라남도 화순군 동면 운농리 442번지  ,2026-01-22
324,전라남도,화순군,산양,전라남도 화순군 동면 천덕리 160번지  ,2026-01-22
325,전라남도,화순군,산양,전라남도 화순군 동면 청궁리 295번지  ,2026-01-22
326,전라남도,화순군,사슴,전라남도 화순군 동면 천덕리 497번지  ,2026-01-22
327,전라남도,화순군,한우,전라남도 화순군 동면 청궁리 181번지  ,2026-01-22
328,전라남도,화순군,한우,전라남도 화순군 화순읍 감도리 337번지 14호  ,2026-01-22
329,전라남도,화순군,한우,전라남도 화순군 화순읍 삼천리 174번지 8호  ,2026-01-22
330,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 105번지  ,2026-01-22
331,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 574번지  ,2026-01-22
332,전라남도,화순군,한우,전라남도 화순군 화순읍 연양리 168번지 1호  ,2026-01-22
333,전라남도,화순군,한우,전라남도 화순군 화순읍 연양리 383번지  ,2026-01-22
334,전라남도,화순군,한우,전라남도 화순군 화순읍 주도리 183번지 5호  ,2026-01-22
335,전라남도,화순군,한우,전라남도 화순군 동면 국동리 183번지  ,2026-01-22
336,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 691번지  ,2026-01-22
337,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 397번지  ,2026-01-22
338,전라남도,화순군,한우,전라남도 화순군 백아면 원리 141번지 2호  ,2026-01-22
339,전라남도,화순군,한우,전라남도 화순군 백아면 원리 142번지  ,2026-01-22
340,전라남도,화순군,한우,전라남도 화순군 백아면 노기리 203번지  ,2026-01-22
341,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 205번지  ,2026-01-22
342,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 361번지  ,2026-01-22
343,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 534번지  ,2026-01-22
344,전라남도,화순군,한우,전라남도 화순군 백아면 남치리 192번지  ,2026-01-22
345,전라남도,화순군,한우,전라남도 화순군 백아면 맹리 산 41번지 7호  ,2026-01-22
346,전라남도,화순군,한우,전라남도 화순군 백아면 남치리 316번지 1호  ,2026-01-22
347,전라남도,화순군,한우,전라남도 화순군 백아면 맹리 486번지  ,2026-01-22
348,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 473번지  ,2026-01-22
349,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 872번지 2호  ,2026-01-22
350,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 712번지 1호  ,2026-01-22
351,전라남도,화순군,한우,전라남도 화순군 백아면 와천리 375번지  ,2026-01-22
352,전라남도,화순군,한우,전라남도 화순군 백아면 노기리 169번지  ,2026-01-22
353,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 431번지  ,2026-01-22
354,전라남도,화순군,한우,전라남도 화순군 백아면 서유리 442번지 1호  ,2026-01-22
355,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 169번지  ,2026-01-22
356,전라남도,화순군,한우,전라남도 화순군 백아면 노치리 262번지 3호  ,2026-01-22
357,전라남도,화순군,한우,"전라남도 화순군 동복면 칠정리 137번지 11호 ,137-12 ",2026-01-22
358,전라남도,화순군,한우,전라남도 화순군 백아면 원리 218번지 1호  ,2026-01-22
359,전라남도,화순군,한우,전라남도 화순군 백아면 원리 192번지 1호  ,2026-01-22
360,전라남도,화순군,한우,전라남도 화순군 백아면 송단리 428번지 4호  ,2026-01-22
361,전라남도,화순군,한우,전라남도 화순군 백아면 다곡리  ,2026-01-22
362,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 686번지  ,2026-01-22
363,전라남도,화순군,한우,전라남도 화순군 백아면 맹리 487번지 1호  ,2026-01-22
364,전라남도,화순군,한우,전라남도 화순군 한천면 평리 147번지  ,2026-01-22
365,전라남도,화순군,한우,전라남도 화순군 한천면 평리 205번지  ,2026-01-22
366,전라남도,화순군,한우,전라남도 화순군 한천면 평리 10번지 1호  ,2026-01-22
367,전라남도,화순군,한우,전라남도 화순군 백아면 용곡리 140번지  ,2026-01-22
368,전라남도,화순군,한우,전라남도 화순군 한천면 동가리 425번지 5호  ,2026-01-22
369,전라남도,화순군,한우,전라남도 화순군 한천면 동가리 162번지 1호  ,2026-01-22
370,전라남도,화순군,한우,전라남도 화순군 한천면 반곡리 59번지  ,2026-01-22
371,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 1010번지 16호  ,2026-01-22
372,전라남도,화순군,한우,전라남도 화순군 청풍면 차리 277번지  ,2026-01-22
373,전라남도,화순군,한우,전라남도 화순군 청풍면 풍암리 5번지 2호  ,2026-01-22
374,전라남도,화순군,한우,전라남도 화순군 한천면 동가리 413번지 3호  ,2026-01-22
375,전라남도,화순군,한우,전라남도 화순군 이양면 묵곡리 25번지  ,2026-01-22
376,전라남도,화순군,한우,전라남도 화순군 이양면 묵곡리 521번지  ,2026-01-22
377,전라남도,화순군,한우,전라남도 화순군 이양면 초방리 456번지  ,2026-01-22
378,전라남도,화순군,한우,전라남도 화순군 이양면 품평리 202번지  ,2026-01-22
379,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 609번지  ,2026-01-22
380,전라남도,화순군,한우,전라남도 화순군 춘양면 양곡리 100번지  ,2026-01-22
381,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 678번지  ,2026-01-22
382,전라남도,화순군,한우,전라남도 화순군 춘양면 용두리 97번지 1호  ,2026-01-22
383,전라남도,화순군,한우,전라남도 화순군 춘양면 석정리 391번지  ,2026-01-22
384,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 719번지  ,2026-01-22
385,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 267번지  ,2026-01-22
386,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 254번지  ,2026-01-22
387,전라남도,화순군,한우,전라남도 화순군 이서면 야사리 597번지  ,2026-01-22
388,전라남도,화순군,한우,전라남도 화순군 이서면 안심리 368번지  ,2026-01-22
389,전라남도,화순군,한우,전라남도 화순군 이서면 인계리 253번지 1호  ,2026-01-22
390,전라남도,화순군,한우,전라남도 화순군 사평면 검산리 688번지 1호  ,2026-01-22
391,전라남도,화순군,한우,전라남도 화순군 사평면 검산리 109번지 2호  ,2026-01-22
392,전라남도,화순군,한우,전라남도 화순군 사평면 절산리 585번지  ,2026-01-22
393,전라남도,화순군,한우,전라남도 화순군 사평면 절산리 674번지  ,2026-01-22
394,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 258번지 2호  ,2026-01-22
395,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 298번지  ,2026-01-22
396,전라남도,화순군,한우,전라남도 화순군 사평면 원리 694번지  ,2026-01-22
397,전라남도,화순군,한우,전라남도 화순군 사평면 원리 146번지 1호  ,2026-01-22
398,전라남도,화순군,한우,전라남도 화순군 사평면 원리 642번지  ,2026-01-22
399,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 28번지 8호  ,2026-01-22
400,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 994번지 2호  ,2026-01-22
401,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 471번지  ,2026-01-22
402,전라남도,화순군,한우,전라남도 화순군 사평면 벽송리 227번지  ,2026-01-22
403,전라남도,화순군,한우,전라남도 화순군 사평면 벽송리 239번지  ,2026-01-22
404,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 522번지  ,2026-01-22
405,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 566번지  ,2026-01-22
406,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 517번지  ,2026-01-22
407,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 526번지  ,2026-01-22
408,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 532번지  ,2026-01-22
409,전라남도,화순군,한우,전라남도 화순군 사평면 내리 820번지 3호  ,2026-01-22
410,전라남도,화순군,한우,전라남도 화순군 사평면 내리 917번지 3호  ,2026-01-22
411,전라남도,화순군,한우,전라남도 화순군 사평면 내리 968번지 2호  ,2026-01-22
412,전라남도,화순군,한우,전라남도 화순군 사평면 내리 37번지  ,2026-01-22
413,전라남도,화순군,한우,전라남도 화순군 사평면 절산리 386번지 1호  ,2026-01-22
414,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 1046번지 8호 외 1필지 ,2026-01-22
415,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리 1047번지 2호  ,2026-01-22
416,전라남도,화순군,한우,전라남도 화순군 백아면 임곡리 534번지  ,2026-01-22
417,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 706번지  ,2026-01-22
418,전라남도,화순군,육계,전라남도 화순군 화순읍 서태리 571번지 1호  ,2026-01-22
419,전라남도,화순군,한우,전라남도 화순군 도암면 용강리 159번지 1호  ,2026-01-22
420,전라남도,화순군,젖소,전라남도 화순군 화순읍 앵남리 847번지 10호  ,2026-01-22
421,전라남도,화순군,산양,전라남도 화순군 도암면 운월리 437번지 1호  ,2026-01-22
422,전라남도,화순군,산양,전라남도 화순군 화순읍 계소리 559번지 1호  ,2026-01-22
423,전라남도,화순군,한우,전라남도 화순군 도암면 원천리 326번지 2호  ,2026-01-22
424,전라남도,화순군,산양,전라남도 화순군 한천면 정리 70번지  ,2026-01-22
425,전라남도,화순군,염소,전라남도 화순군 한천면 정리 340번지 5호  ,2026-01-22
426,전라남도,화순군,한우,전라남도 화순군 청풍면 청용리 103번지 1호  ,2026-01-22
427,전라남도,화순군,산양,전라남도 화순군 이서면 월산리 1109번지 1호  ,2026-01-22
428,전라남도,화순군,사슴,전라남도 화순군 이서면 영평리 608번지 1호  ,2026-01-22
429,전라남도,화순군,산양,전라남도 화순군 동복면 가수리 483번지 1호  ,2026-01-22
430,전라남도,화순군,젖소,전라남도 화순군 도암면 운월리 546번지 1호  ,2026-01-22
431,전라남도,화순군,산양,전라남도 화순군 동면 경치리 160번지  ,2026-01-22
432,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 967번지 14호  ,2026-01-22
433,전라남도,화순군,산양,전라남도 화순군 동복면 가수리 482번지  ,2026-01-22
434,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리  ,2026-01-22
435,전라남도,화순군,산양,전라남도 화순군 화순읍 주도리 273번지 6호  ,2026-01-22
436,전라남도,화순군,메추리,전라남도 화순군 한천면 845번지  ,2026-01-22
437,전라남도,화순군,젖소,전라남도 화순군 도곡면 덕곡리 646번지 2호  ,2026-01-22
438,전라남도,화순군,한우,전라남도 화순군 동면 운농리 437번지  ,2026-01-22
439,전라남도,화순군,한우,전라남도 화순군 사평면 내리 1134번지 12호  ,2026-01-22
440,전라남도,화순군,한우,전라남도 화순군 사평면 내리 202번지  ,2026-01-22
441,전라남도,화순군,산양,전라남도 화순군 이양면 초방리 503번지 등 5필지 ,2026-01-22
442,전라남도,화순군,한우,전라남도 화순군 도암면 정천리 210번지 8호  ,2026-01-22
443,전라남도,화순군,산양,전라남도 화순군 이양면 강성리 산 88번지 6호  ,2026-01-22
444,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 838번지 4호  ,2026-01-22
445,전라남도,화순군,한우,전라남도 화순군 춘양면 산간리 39번지  ,2026-01-22
446,전라남도,화순군,젖소,전라남도 화순군 도곡면 덕곡리 137번지 1호  ,2026-01-22
447,전라남도,화순군,사슴,전라남도 화순군 동복면 구암리 713번지 1호  ,2026-01-22
448,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 420번지 1호  ,2026-01-22
449,전라남도,화순군,염소,"전라남도 화순군 동복면 독상리 30-2, 30-3, 29-8 ",2026-01-22
450,전라남도,화순군,한우,전라남도 화순군 춘양면 부곡리 799번지 2호  ,2026-01-22
451,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 1033번지 1호  ,2026-01-22
452,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 560번지  ,2026-01-22
453,전라남도,화순군,염소,전라남도 화순군 동면 천덕리 632번지  ,2026-01-22
454,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 28번지 1호  ,2026-01-22
455,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 326번지 9호  ,2026-01-22
456,전라남도,화순군,염소,전라남도 화순군 춘양면 용곡리 50번지  ,2026-01-22
457,전라남도,화순군,한우,전라남도 화순군 동면 무포리 431번지  ,2026-01-22
458,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 839번지 2호  ,2026-01-22
459,전라남도,화순군,한우,전라남도 화순군 한천면 한계리 31번지 1호 외 1필지 ,2026-01-22
460,전라남도,화순군,한우,전라남도 화순군 화순읍 세량리 546번지  ,2026-01-22
461,전라남도,화순군,한우,전라남도 화순군 도곡면 평리 647번지 4호  ,2026-01-22
462,전라남도,화순군,한우,전라남도 화순군 춘양면 우봉리 210번지 8호  ,2026-01-22
463,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 720번지 1호 외 8필지 ,2026-01-22
464,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 811번지 1호  ,2026-01-22
465,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 956번지 18호  ,2026-01-22
466,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 641번지  ,2026-01-22
467,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 47번지 15호  ,2026-01-22
468,전라남도,화순군,염소,전라남도 화순군 이양면 초방리 497번지 외 1필지 ,2026-01-22
469,전라남도,화순군,한우,"전라남도 화순군 청풍면 대비리 669번지 669-1, 658-2 ",2026-01-22
470,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 1046번지 7호 외 1필지 ,2026-01-22
471,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 743번지 5호 외 1필지 ,2026-01-22
472,전라남도,화순군,육우,전라남도 화순군 도곡면 월곡리 1067번지 13호  ,2026-01-22
473,전라남도,화순군,염소,전라남도 화순군 화순읍 수만리 494번지 1호  ,2026-01-22
474,전라남도,화순군,염소,전라남도 화순군 도암면 지월리 307번지 1호  ,2026-01-22
475,전라남도,화순군,한우,전라남도 화순군 동면 언도리 290번지  ,2026-01-22
476,전라남도,화순군,염소,전라남도 화순군 이양면 품평리 10번지 2호  ,2026-01-22
477,전라남도,화순군,한우,전라남도 화순군 동면 서성리 625번지 2호 외 1필지 ,2026-01-22
478,전라남도,화순군,육계,전라남도 화순군 동면 오동리 836번지 1호 외 3필지 ,2026-01-22
479,전라남도,화순군,한우,전라남도 화순군 도곡면 덕곡리 207번지 1호  ,2026-01-22
480,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 42번지 (42-1번지) ,2026-01-22
481,전라남도,화순군,한우,"전라남도 화순군 춘양면 월평리 285번지 3호 외 2필지(284, 285) ",2026-01-22
482,전라남도,화순군,육계,전라남도 화순군 한천면 정리 365번지 외 4필지 ,2026-01-22
483,전라남도,화순군,염소,전라남도 화순군 동복면 신율리 300번지  ,2026-01-22
484,전라남도,화순군,염소,전라남도 화순군 백아면 임곡리 534번지  ,2026-01-22
485,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 958번지 18호  ,2026-01-22
486,전라남도,화순군,한우,전라남도 화순군 이양면 송정리 704번지 5호  ,2026-01-22
487,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 11호  ,2026-01-22
488,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 588번지 외 2필지 ,2026-01-22
489,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 532번지 2호 외 1필지 ,2026-01-22
490,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 377번지 2호 외 3필지 ,2026-01-22
491,전라남도,화순군,염소,전라남도 화순군 도암면 운월리 321번지 2호  ,2026-01-22
492,전라남도,화순군,염소,전라남도 화순군 춘양면 회송리 237번지 1호  ,2026-01-22
493,전라남도,화순군,한우,"전라남도 화순군 춘양면 우봉리 222번지 7호 외 2필지(222-5,222-8) ",2026-01-22
494,전라남도,화순군,염소,전라남도 화순군 동면 서성리 673번지 외 1필지673-1) ,2026-01-22
495,전라남도,화순군,한우,전라남도 화순군 청풍면 신리 784번지 2호  ,2026-01-22
496,전라남도,화순군,염소,전라남도 화순군 한천면 정리 623번지 2호  ,2026-01-22
497,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 411번지  ,2026-01-22
498,전라남도,화순군,한우,전라남도 화순군 한천면 평리 244번지 6호  ,2026-01-22
499,전라남도,화순군,젖소,전라남도 화순군 도곡면 월곡리 1066번지 9호  ,2026-01-22
500,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 839번지 2호  ,2026-01-22
501,전라남도,화순군,젖소,전라남도 화순군 동면 오동리 825번지 2호  ,2026-01-22
502,전라남도,화순군,종계/산란계,전라남도 화순군 화순읍 삼천리 142번지 8호 둥지농장 2동 ,2026-01-22
503,전라남도,화순군,한우,전라남도 화순군 백아면 노치리 161번지  ,2026-01-22
504,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 649번지 15호  ,2026-01-22
505,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 796번지 1호  ,2026-01-22
506,전라남도,화순군,종계/산란계,전라남도 화순군 동복면 신율리 745번지 10호  ,2026-01-22
507,전라남도,화순군,종계/산란계,전라남도 화순군 동복면 신율리 745번지 9호  ,2026-01-22
508,전라남도,화순군,한우,전라남도 화순군 사평면 다산리 297번지 5호  ,2026-01-22
509,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 1050번지  ,2026-01-22
510,전라남도,화순군,한우,전라남도 화순군 이양면 율계리 612번지  ,2026-01-22
511,전라남도,화순군,한우,전라남도 화순군 춘양면 부곡리 799번지 1호  ,2026-01-22
512,전라남도,화순군,한우,전라남도 화순군 춘양면 용곡리 582번지 1호  ,2026-01-22
513,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 44번지 2호  ,2026-01-22
514,전라남도,화순군,한우,전라남도 화순군 춘양면 용곡리 696번지 1호  ,2026-01-22
515,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 499번지  ,2026-01-22
516,전라남도,화순군,한우,전라남도 화순군 한천면 정리 477번지  ,2026-01-22
517,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리 431번지 3호  ,2026-01-22
518,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 640번지 3호  ,2026-01-22
519,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 16호  ,2026-01-22
520,전라남도,화순군,돼지,전라남도 화순군 동복면 구암리 287번지  ,2026-01-22
521,전라남도,화순군,한우,전라남도 화순군 사평면 다산리 298번지 3호  ,2026-01-22
522,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 706번지  ,2026-01-22
523,전라남도,화순군,한우,전라남도 화순군 사평면 내리 915번지 2호  ,2026-01-22
524,전라남도,화순군,젖소,전라남도 화순군 동면 운농리 287번지 2호  ,2026-01-22
525,전라남도,화순군,한우,전라남도 화순군 동면 무포리 454번지  ,2026-01-22
526,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 646번지 11호  ,2026-01-22
527,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 30번지 3호  ,2026-01-22
528,전라남도,화순군,염소,전라남도 화순군 동면 오동리 251번지  ,2026-01-22
529,전라남도,화순군,한우,전라남도 화순군 도암면 대초리 72번지  ,2026-01-22
530,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 886번지 1호  ,2026-01-22
531,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 64번지 8호  ,2026-01-22
532,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 129번지  ,2026-01-22
533,전라남도,화순군,한우,전라남도 화순군 이양면 송정리 709번지 4호  ,2026-01-22
534,전라남도,화순군,염소,전라남도 화순군 도암면 우치리 220번지  ,2026-01-22
535,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 820번지 3호  ,2026-01-22
536,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 546번지 4호  ,2026-01-22
537,전라남도,화순군,한우,전라남도 화순군 동면 무포리 453번지  ,2026-01-22
538,전라남도,화순군,돼지,전라남도 화순군 동복면 안성리 136번지  ,2026-01-22
539,전라남도,화순군,한우,전라남도 화순군 사평면 검산리 455번지 1호 외 1필지(456) ,2026-01-22
540,전라남도,화순군,한우,전라남도 화순군 도곡면 죽청리 639번지 13호  ,2026-01-22
541,전라남도,화순군,한우,전라남도 화순군 능주면 남정리 1136번지 15호  ,2026-01-22
542,전라남도,화순군,산양,전라남도 화순군 춘양면 대신리 473번지 5호  ,2026-01-22
543,전라남도,화순군,한우,전라남도 화순군 한천면 평리 244번지 6호  ,2026-01-22
544,전라남도,화순군,한우,전라남도 화순군 화순읍 연양리 431번지 2호  ,2026-01-22
545,전라남도,화순군,한우,전라남도 화순군 이양면 송정리 708번지 6호  ,2026-01-22
546,전라남도,화순군,한우,전라남도 화순군 도암면 천태리 911번지 2호  ,2026-01-22
547,전라남도,화순군,산양,전라남도 화순군 도암면 원천리 99번지  ,2026-01-22
548,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 6호  ,2026-01-22
549,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 1046번지 9호  ,2026-01-22
550,전라남도,화순군,한우,전라남도 화순군 동면 언도리 295번지 13호  ,2026-01-22
551,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 502번지  ,2026-01-22
552,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1065번지 3호  ,2026-01-22
553,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 256번지 1호  ,2026-01-22
554,전라남도,화순군,염소,전라남도 화순군 춘양면 가봉리 786번지 1호  ,2026-01-22
555,전라남도,화순군,한우,전라남도 화순군 사평면 다산리 298번지 1호  ,2026-01-22
556,전라남도,화순군,한우,전라남도 화순군 동복면 안성리 649번지 11호  ,2026-01-22
557,전라남도,화순군,한우,전라남도 화순군 동면 무포리 496번지 1호  ,2026-01-22
558,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 27번지 1호  ,2026-01-22
559,전라남도,화순군,젖소,전라남도 화순군 도암면 도장리 449번지  ,2026-01-22
560,전라남도,화순군,염소,전라남도 화순군 춘양면 석정리 509번지 1호  ,2026-01-22
561,전라남도,화순군,산양,전라남도 화순군 도암면 운월리 432번지  ,2026-01-22
562,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 713번지 18호 외3필지 ,2026-01-22
563,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 252번지 1호  ,2026-01-22
564,전라남도,화순군,한우,전라남도 화순군 도곡면 평리 465번지 1호  ,2026-01-22
565,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 234번지 7호  ,2026-01-22
566,전라남도,화순군,젖소,전라남도 화순군 춘양면 대신리 470번지 6호  ,2026-01-22
567,전라남도,화순군,한우,전라남도 화순군 한천면 모산리 508번지 4호  ,2026-01-22
568,전라남도,화순군,한우,전라남도 화순군 이양면 강성리 848번지 9호  ,2026-01-22
569,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1067번지 5호  ,2026-01-22
570,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리 1105번지 4호 외 1필지 ,2026-01-22
571,전라남도,화순군,한우,전라남도 화순군 동복면 가수리 905번지  ,2026-01-22
572,전라남도,화순군,한우,전라남도 화순군 사평면 절산리 143번지 4호  ,2026-01-22
573,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 834번지 2호  ,2026-01-22
574,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 77번지 11호  ,2026-01-22
575,전라남도,화순군,염소,전라남도 화순군 화순읍 주도리 622번지  ,2026-01-22
576,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리 1106번지 14호  ,2026-01-22
577,전라남도,화순군,염소,전라남도 화순군 이양면 초방리 496번지  ,2026-01-22
578,전라남도,화순군,육우,전라남도 화순군 도곡면 평리 645번지 11호  ,2026-01-22
579,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 1033번지 4호  ,2026-01-22
580,전라남도,화순군,한우,전라남도 화순군 화순읍 계소리 211번지 3호  ,2026-01-22
581,전라남도,화순군,염소,전라남도 화순군 동복면 칠정리 51번지 1호  ,2026-01-22
582,전라남도,화순군,한우,전라남도 화순군 도암면 봉하리 539번지 3호  ,2026-01-22
583,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 595번지 9호  ,2026-01-22
584,전라남도,화순군,한우,"전라남도 화순군 청풍면 백운리 64번지 16호 658-2, 669-1, 669-2 ",2026-01-22
