연번,사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적
56,밀크목장,젖소,충청남도 아산시 신창면 남성리 51-1,,148,4,1951.68
57,은총목장,젖소,충청남도 아산시 신창면 궁화리 546-11,,100,5,3185
58,전용목장,한우,충청남도 아산시 신창면 수장리 1-1,,39,2,1058
59,성보농원,종계/산란계,충청남도 아산시 둔포면 염작리 292-2,,80000,5,3647
60,근해농장,종계/산란계,충청남도 아산시 음봉면 원남리 313-1,충청남도 아산시 음봉면 음봉면로 232-47,9500,5,1672
61,푸른초원농원,종계/산란계,충청남도 아산시 음봉면 산정리 222-1,충청남도 아산시 음봉면 아산온천로 341-59,21000,8,3982.89
62,한상목장,젖소,충청남도 아산시 음봉면 소동리 164-6,,220,2,2692.31
63,아라목장,젖소,충청남도 아산시 음봉면 소동리 281,,30,2,842
64,대한농장,종계/산란계,충청남도 아산시 둔포면 염작리 289-17,충청남도 아산시 둔포면 이화길 205,150336,3,10303
65,혜경목장,젖소,충청남도 아산시 송악면 역촌리 158-2,충청남도 아산시 송악면 역촌길6번길 35-12,134,4,2223.63
66,신정목장,한우,충청남도 아산시 음봉면 소동리 248,,31,1,1280
67,칠성,한우,충청남도 아산시 음봉면 산정리 190,,155,2,1850
68,양경목장,젖소,충청남도 아산시 신창면 황산리 324-3,,262,3,3322.84
69,신풍농장,젖소,충청남도 아산시 신창면 오목리 28-74,충청남도 아산시 신창면 서부북로682번길 24,183,5,2279.72
70,일성농장,돼지,충청남도 아산시 둔포면 시포리 462-1,,605,3,816
71,강원농장,돼지,충청남도 아산시 도고면 석당리 128-1 외 2필지(128-2/ 127),,706,5,1193.72
72,명막골농장,종계/산란계,충청남도 아산시 배방읍 수철리 60-2,,25000,2,1644
73,인흥농장,육계,충청남도 아산시 둔포면 운교리 190,충청남도 아산시 둔포면 운교길126번길 103-23,80000,3,3610.25
74,희망농장,종계/산란계,충청남도 아산시 둔포면 산전리 364-1,,30000,4,1360
75,아산이레농장,육계,충청남도 아산시 음봉면 쌍룡리 107-1,충청남도 아산시 음봉면 연암율금로 505-65,13764,3,1376
76,유아농장,육계,충청남도 아산시 둔포면 산전리 36,,36000,8,1797
77,늘봄농장,돼지,충청남도 아산시 둔포면 염작리 269-17,,1896,11,2654.9
78,수정농장,종계/산란계,충청남도 아산시 영인면 창용리 131-2 외 1필지(131-3),,13000,2,548.2
79,부활농장,종계/산란계,충청남도 아산시 음봉면 산동리 578,,50000,3,4281.8
80,아산농장,종계/산란계,충청남도 아산시 영인면 창용리 105-9,충청남도 아산시 영인면 토정로528번길 95,30000,5,2770.99
81,농업회사법인주식회사 골드마운틴,종계/산란계,충청남도 아산시 영인면 신봉리 527,충청남도 아산시 영인면 신봉길 83-20,18000,2,1267.66
82,금미농장,육계,충청남도 아산시 둔포면 산전리 244-1 외 1필지(244-5),충청남도 아산시 둔포면 산전길69번길 28,14903,3,1490
83,백암농장,돼지,충청남도 아산시 염치읍 백암리 182-18,,650,5,1304.84
84,금화농장,돼지,충청남도 아산시 배방읍 세교리 308,충청남도 아산시 배방읍 휴대세교길 157,2360,4,2226.92
85,영남축산,육계,충청남도 아산시 둔포면 염작리 56-13,,31000,7,2620
86,인해농원,종계/산란계,충청남도 아산시 영인면 창용리 39,충청남도 아산시 영인면 아산호로 709-14,15000,3,1114.42
87,금오영농조합법인(신창단지),돼지,충청남도 아산시 신창면 가덕리 538,충청남도 아산시 신창면 서부북로 360-33,7311,21,10670.13
88,으뜸목장,종계/산란계,충청남도 아산시 인주면 해암리 11-2,충청남도 아산시 인주면 인주로 226,75000,5,4702.3
89,영진농장,돼지,충청남도 아산시 둔포면 염작리 225-3,충청남도 아산시 둔포면 이화길157번길 13-37,1700,8,2010
90,효승목장,젖소,충청남도 아산시 영인면 신봉리 284,충청남도 아산시 영인면 윤보선로285번길 90,168,2,2007.94
91,원두목장,젖소,충청남도 아산시 염치읍 석두리 282-1,충청남도 아산시 염치읍 염치로 133-14,38,2,602.46
92,금곡농장,젖소,충청남도 아산시 염치읍 방현리 180-1,,188,5,2330.68
93,금성목장,한우,충청남도 아산시 음봉면 쌍암리 331,,100,2,2149
94,경주농원,한우,충청남도 아산시 둔포면 관대리 52-28,,30,2,1306
95,왕흥목장,젖소,충청남도 아산시 둔포면 봉재리 18-7,충청남도 아산시 둔포면 봉재길63번길 38-17,275,4,3446.97
96,미소목장,젖소,충청남도 아산시 둔포면 봉재리 272-3,충청남도 아산시 둔포면 충무로1313번길 45,231,4,2831
97,신진목장,젖소,충청남도 아산시 영인면 신화리 597,충청남도 아산시 영인면 와신길60번길 84-3,150,2,4266
98,우희,젖소,충청남도 아산시 영인면 신봉리 524,충청남도 아산시 영인면 신봉길 83-14,167,2,2008.77
99,승엽목장,육우,충청남도 아산시 배미동 116-9,,92,1,1102
100,진흥목장,젖소,충청남도 아산시 염치읍 방현리 329-1,충청남도 아산시 염치읍 방현동길 35,70,2,1068
101,석천목장,한우,충청남도 아산시 염치읍 대동리 193-3,,252,4,3285.31
102,동명,한우,충청남도 아산시 음봉면 원남리 223-3,충청남도 아산시 음봉면 음봉면로 232-37,162,2,1934.55
103,월랑목장,한우,충청남도 아산시 영인면 와우리 212,충청남도 아산시 영인면 와신길60번길 40-12,253,5,3741.5
104,샘목장,젖소,충청남도 아산시 음봉면 신수리 1구 402,,42,1,1160
105,삼오,젖소,충청남도 아산시 음봉면 송촌리 113-1,,130,2,1633.13
106,종목장,젖소,충청남도 아산시 둔포면 송용리 151-7,,198,9,1311.05
107,대성농장,한우,충청남도 아산시 도고면 기곡리 50-1,충청남도 아산시 도고면 도고온천로 122-36,100,4,1202
108,명수목장,젖소,충청남도 아산시 신창면 궁화리 244-5,충청남도 아산시 신창면 오목길 87-80,155,3,1855.23
109,원목장,한우,충청남도 아산시 신창면 오목리 555,,183,4,4203.5
110,해성목장,젖소,충청남도 아산시 영인면 신봉리 677-1,,94,1,1224
111,홍곳축사,한우,충청남도 아산시 선장면 홍곳리 237,,54,3,505
112,문형목장,젖소,충청남도 아산시 배방읍 세교리 227-4,충청남도 아산시 배방읍 휴대세교길 200,78,3,1724.02
113,천승목장,한우,충청남도 아산시 초사동 544,충청남도 아산시 초사길 3-33 (초사동),40,1,475
114,수덕목장,젖소,충청남도 아산시 배방읍 세교리 239-1,충청남도 아산시 배방읍 휴대세교길 223-5,91,1,1661
115,초원목장,젖소,충청남도 아산시 염치읍 방현리 396-1,충청남도 아산시 염치읍 충무로358번길 64,185,2,2335.58
116,한덕목장,젖소,충청남도 아산시 염치읍 방현리 406,,54,3,863
117,이훈목장,젖소,충청남도 아산시 둔포면 신남리 661-36,충청남도 아산시 둔포면 윤보선로 441-13,66,1,1665
118,진달래,젖소,충청남도 아산시 염치읍 염성리 248-1,충청남도 아산시 염치읍 염성길 109-64,83,1,2136
119,비젼농장,한우,충청남도 아산시 인주면 문방리 739,충청남도 아산시 인주면 아산만로 1405-12,300,7,3060.04
120,초동목장,젖소,충청남도 아산시 염치읍 염성리 278-1 2통,충청남도 아산시 염치읍 염성길 109-40,157,3,1956.24
121,영복농장,젖소,충청남도 아산시 음봉면 쌍룡리 25-외 1필지,충청남도 아산시 음봉면 월암로 421-16 (외1필),70,5,2227.2
122,만수농장,돼지,충청남도 아산시 신창면 가내리 979,충청남도 아산시 신창면 서부북로290번길 73-6,1000,2,1620
123,협진농장,육계,충청남도 아산시 음봉면 원남리 180-3,충청남도 아산시 음봉면 음봉면로 302-83,40000,4,2418
124,부자목장,젖소,충청남도 아산시 음봉면 신정리 405,충청남도 아산시 음봉면 신정리길41번길 86,21,3,416.9
125,제아목장,젖소,충청남도 아산시 염치읍 서원리 236-3,,70,4,2976
126,제일농장,육계,충청남도 아산시 음봉면 신정리 11-1,,36000,3,1389
127,시우농장,육계,충청남도 아산시 음봉면 신정리 318-2,충청남도 아산시 음봉면 신정리길90번길 40,153000,7,2436
128,백운농장,오리,충청남도 아산시 둔포면 신남리 681-10 외 2(681-11/ 678-2),,31980,13,7868
129,원정목장,젖소,충청남도 아산시 영인면 성내리 398-1,충청남도 아산시 영인면 고룡산로398번길 38,84,2,1014.79
130,창대목장,젖소,충청남도 아산시 신창면 남성리 676,,40,2,1100
131,선미목장,젖소,충청남도 아산시 음봉면 신정리 198-1,충청남도 아산시 음봉면 신정리길11번길 40,70,5,1024.25
132,진수농장,돼지,충청남도 아산시 신창면 남성리 49-13,충청남도 아산시 신창면 남성길199번길 40-9,850,8,1622.6
133,한수목장,젖소,충청남도 아산시 도고면 덕암리 80,충청남도 아산시 도고면 덕암길 92,160,2,2313.72
134,안터농장,한우,충청남도 아산시 신창면 궁화리 747,충청남도 아산시 신창면 궁화로115번길 1-53,94,2,1434
135,정성목장,젖소,충청남도 아산시 도고면 농은리 140-1,충청남도 아산시 도고면 도고산로74번길 27,89,2,1122.6
136,온새미로목장,젖소,충청남도 아산시 둔포면 봉재리 373,충청남도 아산시 둔포면 충무로1181번길 38,119,3,2121.2
137,해송목장,한우,충청남도 아산시 영인면 신현리 144-3,,30,3,909
138,돌목장,젖소,충청남도 아산시 영인면 신봉리 1109,충청남도 아산시 영인면 신봉길 267,90,3,1918
139,푸른농장,돼지,충청남도 아산시 선장면 가산리 481-3,,1400,3,1331.75
140,양지목장,젖소,충청남도 아산시 선장면 대흥리 186-1,충청남도 아산시 선장면 아산만로740번길 42-35,65,2,2491.66
141,엄다목장,젖소,충청남도 아산시 영인면 신봉리 167-11,충청남도 아산시 영인면 윤보선로 229,84,3,1560
142,양일목장,젖소,충청남도 아산시 신창면 오목리 29,,171,2,2152.14
143,여울목장,한우,충청남도 아산시 영인면 신봉리 95-25,충청남도 아산시 영인면 윤보선로 113-18,160,2,1917.25
144,율촌목장,젖소,충청남도 아산시 신창면 남성리 399-8,,50,4,1483.27
145,차돌목장,젖소,충청남도 아산시 신창면 남성리 543,,63,3,935.9
146,왕산,젖소,충청남도 아산시 신창면 남성리 257-6,충청남도 아산시 신창면 수장로147번길 131-4,47,2,1461.95
147,광민목장,젖소,충청남도 아산시 신창면 가덕리 558-3,충청남도 아산시 신창면 서부북로 360-63,28,4,1393.24
148,상수목장,젖소,충청남도 아산시 음봉면 원남리 277-16,충청남도 아산시 음봉면 연암율금로14번길 21-24,97,3,1217.73
149,오암농장,한우,충청남도 아산시 도고면 오암리 292,충청남도 아산시 도고면 도고산로280번길 22,92,1,1107.64
150,미광목장,젖소,충청남도 아산시 신창면 가덕리 42-1,충청남도 아산시 신창면 서부북로581번길 28-64,65,3,1340
151,폭포수목장,한우,충청남도 아산시 신창면 가덕리 21-4,충청남도 아산시 신창면 서부북로581번길 28-31,115,3,1373.76
152,주영목장,젖소,충청남도 아산시 둔포면 운교리 41-1,,77,2,1048.63
153,신아목장,젖소,충청남도 아산시 음봉면 소동리 247,,50,3,1380.6
154,다민농장,한우,충청남도 아산시 음봉면 신휴리 351-3,,25,3,586.68
155,한우농장,한우,충청남도 아산시 음봉면 쌍룡리 262,,30,2,491.33
156,솔뫼목장,젖소,충청남도 아산시 음봉면 쌍룡리 39,충청남도 아산시 음봉면 월암로 421-10,55,2,2048.13
157,영신목장,한우,충청남도 아산시 신창면 수장리 298-3,,65,3,908.2
158,나애목장,한우,충청남도 아산시 둔포면 신항리 68-2,충청남도 아산시 둔포면 윤보선로336번길 89,45,2,534.4
159,남양목장,한우,충청남도 아산시 음봉면 소동리 309,,22,3,1068.52
160,일표농장,한우,충청남도 아산시 둔포면 관대리 15-1,,24,2,660
161,동관목장,젖소,충청남도 아산시 둔포면 신항리 700,,202,4,2539.1
162,봉농목장,한우,충청남도 아산시 도고면 봉농리 586-2,,138,2,1657.64
163,정훈목장,한우,충청남도 아산시 도고면 금산리 123-2 123-12 122,충청남도 아산시 도고면 금산길 39-6,31,1,381.51
164,신창농장,종계/산란계,충청남도 아산시 신창면 궁화리 166-20,충청남도 아산시 신창면 학성로 24-45,48000,6,2711
165,수장농장,육계,충청남도 아산시 신창면 수장리 275-11,충청남도 아산시 신창면 수장로 93,30000,3,2700
166,칠복목장,젖소,충청남도 아산시 신창면 궁화리 32,충청남도 아산시 신창면 오목길 89,134,6,1684.28
167,상아목장,젖소,충청남도 아산시 신창면 행목리 53-1,충청남도 아산시 신창면 순천향로291번길 45-22,276,3,3625.7
168,꿀벌목장,젖소,충청남도 아산시 도고면 농은리 267-1 267-2 267-3 267-4 267-6 268,충청남도 아산시 도고면 도고산로59번길 5,145,8,1885.81
169,인호목장,젖소,충청남도 아산시 도고면 효자리 17-18-2,충청남도 아산시 도고면 벚꽃로694번길 81-43,145,3,3304.06
170,영돈농장,한우,충청남도 아산시 배방읍 구령리 48-3,충청남도 아산시 배방읍 갈산교로 55-10,55,3,598.5
171,연호농장,종계/산란계,충청남도 아산시 둔포면 신양리 76-1,충청남도 아산시 둔포면 관용로 238,6500,2,1488
172,곡부농장,종계/산란계,충청남도 아산시 둔포면 신양리 217,,8000,2,920.4
173,문환목장,한우,충청남도 아산시 음봉면 월랑리 288,충청남도 아산시 음봉면 월암로199번길 15,50,4,718.5
174,삼경목장,젖소,충청남도 아산시 신창면 남성리 513,,30,4,871.16
175,원앙목장,한우,충청남도 아산시 도고면 오암리 74-1,충청남도 아산시 도고면 도고산로280번길 140,82,1,1100
176,수장리목장,한우,충청남도 아산시 신창면 수장리 180-6,,45,2,556
177,양평목장,젖소,충청남도 아산시 둔포면 운교리 30-5,,35,2,1089
178,한미농장,종계/산란계,충청남도 아산시 음봉면 덕지리 26-4,충청남도 아산시 음봉면 음봉로681번길 47,42406,4,7572.8
179,능수목장,젖소,충청남도 아산시 배방읍 세출리 141-3,충청남도 아산시 배방읍 호서로 11,72,4,1962.5
180,신천목장,한우,충청남도 아산시 도고면 신유리 269-4 269-7/269-8/269-11/66-3,충청남도 아산시 도고면 도고산로 389,55,5,2101.16
181,세출목장,젖소,충청남도 아산시 배방읍 세출리 267-2,충청남도 아산시 배방읍 호서로 86-26,60,2,1339
182,금오영농조합법인,돼지,충청남도 아산시 배방읍 세교리 158,,2000,7,2181
183,개선농장,돼지,충청남도 아산시 배방읍 세교리 164,,700,3,1089
184,마산농장,돼지,충청남도 아산시 득산동 77-5,충청남도 아산시 득산로41번길 7-15 (득산동),714,4,1004.96
185,시온목장,한우,충청남도 아산시 음봉면 원남리 66-1,충청남도 아산시 음봉면 연암율금로 31-17,250,1,4343.66
186,초록농장,돼지,충청남도 아산시 신창면 남성리 544-3,,1600,7,1824
187,그린농장,종계/산란계,충청남도 아산시 음봉면 산정리 204-2 외 1필지(204-3),,4000,3,1368.28
188,토종농장,한우,충청남도 아산시 염치읍 산양리 589,충청남도 아산시 염치읍 현대로 687-75,36,1,333.5
189,다산축산,한우,충청남도 아산시 도고면 와산리 118-3,충청남도 아산시 도고면 온천대로 618-12,123,2,1472.2
190,효자농장,돼지,충청남도 아산시 도고면 효자리 43,충청남도 아산시 도고면 벚꽃로694번길 51,396,3,947.13
191,장기목장,육우,충청남도 아산시 영인면 구성리 51-24,충청남도 아산시 영인면 아산호로496번길 106-3,15,2,1323
192,길흥농장,한우,충청남도 아산시 둔포면 신왕리 29-7,,33,2,954.8
193,풍진목장,젖소,충청남도 아산시 도고면 석당리 38-1,충청남도 아산시 도고면 덕암산로 260,100,2,1394.59
194,대진목장,젖소,충청남도 아산시 도고면 향산리 397-21 외 1필지(322-1),,90,2,2820.99
195,태선목장,젖소,충청남도 아산시 염치읍 방현리 27-3,,60,2,787.23
196,송림목장,젖소,충청남도 아산시 음봉면 원남리 149-5,,39,2,528
197,지민이네 농장,한우,충청남도 아산시 음봉면 소동리 399,충청남도 아산시 음봉면 연암율금로 175-57,50,5,854.92
198,초정목장,젖소,충청남도 아산시 초사동 534-2,충청남도 아산시 초사길 3-16 (초사동),156,4,1954
199,혜림목장,젖소,충청남도 아산시 신창면 가내리 25-3,충청남도 아산시 신창면 서부북로290번길 73-17,184,4,2759.96
200,명호목장,젖소,충청남도 아산시 선장면 궁평리 94,,135,3,1700.93
201,근성목장,젖소,충청남도 아산시 둔포면 봉재리 272-4,충청남도 아산시 둔포면 충무로1313번길 25-18,31,3,960
202,산전목장,한우,충청남도 아산시 둔포면 산전리 336-3,,127,1,1535.49
203,향촌양돈장,돼지,충청남도 아산시 신창면 행목리 45-1 45-2/ 45-3/ 45-10,충청남도 아산시 신창면 순천향로291번길 68,690,6,1137.8
204,동훈농장,한우,충청남도 아산시 신창면 수장리 46-9,,291,3,4476.48
205,푸른목장,젖소,충청남도 아산시 염치읍 방현리 119,충청남도 아산시 염치읍 충무로358번길 69,180,4,3131.49
206,구르믈목장,육우,충청남도 아산시 영인면 신운리 산 64-4,충청남도 아산시 영인면 신운북길 46-22,104,2,1238.82
207,노다지목장,젖소,충청남도 아산시 도고면 와산리 357,충청남도 아산시 도고면 온천대로595번길 63-6,35,2,416.42
208,석기목장,육우,충청남도 아산시 염치읍 염성리 246-6,충청남도 아산시 염치읍 염성길 109-42,100,4,2066.2
209,태고목장,젖소,충청남도 아산시 도고면 향산리 173-1 173-2/ 172,충청남도 아산시 도고면 온천대로511번길 33,49,2,1369.8
210,대흥농장,돼지,충청남도 아산시 초사동 144,충청남도 아산시 무궁화로 30-17 (초사동),1800,2,1573.2
211,월랑농장,한우,충청남도 아산시 음봉면 월랑리 289,충청남도 아산시 음봉면 월암로 169-12,22,2,396
212,청송농장,돼지,충청남도 아산시 음봉면 의식리 424,충청남도 아산시 음봉면 이화서길 172-16,1100,7,1426.19
213,금쇠목장,젖소,충청남도 아산시 음봉면 신정리 222-3,충청남도 아산시 음봉면 신정리길41번길 15-2,35,3,892
214,에덴목장,돼지,충청남도 아산시 둔포면 염작리 205-15,,1411,8,1976.31
215,가실농장,돼지,충청남도 아산시 배방읍 세출리 106,,1543,6,2151.9
216,수정목장,젖소,충청남도 아산시 영인면 신운리 378-3,충청남도 아산시 영인면 영인로348번길 39,148,2,1787.36
217,창분목장,젖소,충청남도 아산시 도고면 향산리 78,충청남도 아산시 도고면 도고저수지길 27,53,4,792.77
218,만민농장,돼지,충청남도 아산시 신창면 가내리 86-2,충청남도 아산시 신창면 가내길 218-48,600,2,570
219,성일목장,한우,충청남도 아산시 신창면 수장리 290-4,충청남도 아산시 신창면 수장로147번길 70,26,4,413
220,해창목장,한우,충청남도 아산시 음봉면 월랑리 339-1,,30,1,396
221,광휘농장,한우,충청남도 아산시 염치읍 대동리 85,충청남도 아산시 염치읍 만전당길 57,50,5,724.11
222,대흥목장,한우,충청남도 아산시 선장면 대흥리 195-10,,50,2,363.4
223,천호목장,젖소,충청남도 아산시 영인면 신현리 62-5,충청남도 아산시 영인면 신현로 8,57,2,1157.2
224,나원목장,젖소,충청남도 아산시 도고면 신언리 29,,30,3,396
225,태안목장,한우,충청남도 아산시 신창면 수장리 242,충청남도 아산시 신창면 수장로 179-10,70,1,1199.85
226,도한목장,한우,충청남도 아산시 신창면 가덕리 392,충청남도 아산시 신창면 서부북로 414-26,3,1,396.15
227,OK목장,한우,충청남도 아산시 둔포면 관대리 251,,10,1,597
228,봉재목장,육우,충청남도 아산시 둔포면 신남리 1158-5,충청남도 아산시 둔포면 윤보선로 415,60,2,695.32
229,태광목장,한우,충청남도 아산시 둔포면 봉재리 379,,24,1,279.18
230,수장농장,한우,충청남도 아산시 신창면 수장리 251,,79,2,955.5
231,태양목장,한우,충청남도 아산시 영인면 신운리 68,충청남도 아산시 영인면 토정로120번길 15-49,80,1,1174.51
232,정화목장,젖소,충청남도 아산시 영인면 상성리 283-1,충청남도 아산시 영인면 영인산로 614,170,2,2157.17
233,종화목장,한우,충청남도 아산시 둔포면 신항리 728-729,,100,1,1629.8
234,유성농장,돼지,충청남도 아산시 영인면 역리 233-5,,120,2,264
235,영인목장,젖소,충청남도 아산시 영인면 아산리 25-1,충청남도 아산시 영인면 아산온천로3번길 64,35,4,583.86
236,선호목장,젖소,충청남도 아산시 둔포면 운교리 134-1,,33,5,862
237,신안목장,젖소,충청남도 아산시 배방읍 회룡리 133,충청남도 아산시 배방읍 호서로231번길 72,40,3,801.99
238,대유목장,젖소,충청남도 아산시 도고면 신언리 317,충청남도 아산시 도고면 아산만로 285-6,115,9,3122.2
239,거창목장,젖소,충청남도 아산시 영인면 신봉리 202,충청남도 아산시 영인면 신봉길232번길 43,25,3,610
240,청우농장,한우,충청남도 아산시 선장면 군덕리 454-1,충청남도 아산시 선장면 선장로147번길 14,130,4,1845.44
241,흥명농장,돼지,충청남도 아산시 신창면 가내리 82,,1200,3,1429.27
242,다현농장,한우,충청남도 아산시 음봉면 송촌리 446,,70,4,2670
243,은상목장,한우,충청남도 아산시 신창면 수장리 289,,30,1,620
244,근영목장,육우,충청남도 아산시 둔포면 운용리 144,,25,2,390
245,찬일목장,젖소,충청남도 아산시 둔포면 신남리 466-1,,142,4,1874.74
246,대음농장,젖소,충청남도 아산시 인주면 대음리 산 1-1,,41,3,1598.6
247,신우농장,돼지,충청남도 아산시 선장면 신동리 95-3,충청남도 아산시 선장면 부엉산길143번길 41-22,800,4,931.15
248,가야농장,돼지,충청남도 아산시 선장면 신동리 157-13,충청남도 아산시 선장면 부엉산길143번길 49-20,400,3,614.8
249,철수농장,돼지,충청남도 아산시 염치읍 석정리 513-39,,120,1,264
