cha,case_date,report_date,address,legaldong,raised,infected,published_on,source,위도,경도
64,20260208,20260207,경기도 화성시 만세구 남양읍 무송리,4159125627,1194,5,2026-03-13,api+qia,37.18847,126.851423
65,20260209,20260209,전라남도 나주시 봉황면 오림리,4617043033,1458,8,2026-03-13,api+qia,34.936261,126.759936
66,20260211,20260211,충남 당진시 순성면,,5223,,2026-03-13,qia_only,36.845569,126.714614
67,20260212,20260212,전북특별자치도 정읍시 덕천면 달천리,5218036025,4452,9,2026-03-13,api+qia,35.629101,126.853895
68,20260212,20260212,경북 김천시 구성면,,2722,,2026-03-13,qia_only,36.032695,128.047355
69,20260212,20260212,충남 홍성군 은하면,,2962,,2026-03-13,qia_only,36.531961,126.590497
70,20260214,20260213,경상남도 창녕군 창녕읍 퇴천리,4874025030,1951,10,2026-03-13,api+qia,35.516904,128.515694
71,20260219,20260219,경기도 화성시 만세구 장안면 독정리,4159135024,3400,2,2026-03-13,api+qia,37.071008,126.860702
72,20260219,20260219,경기도 평택시 오성면 양교리,4122034025,830,3,2026-03-13,api+qia,37.022914,126.96826
73,20260220,20260219,강원특별자치도 철원군 서면 자등리,5178031021,4392,17,2026-03-13,api+qia,38.159314,127.412623
74,20260220,20260220,전라남도 무안군 현경면 동산리,4684034022,3676,14,2026-03-13,api+qia,34.996027,126.418147
75,20260223,20260223,경상남도 의령군 부림면 경산리,4872039024,11920,15,2026-03-13,api+qia,35.436717,128.363399
72-1,20260225,20260225,경기 평택시,,177,,2026-03-13,qia_only,36.992261,127.112688
76,20260226,20260226,경상남도 합천군 가야면 청현리,4889033028,5213,4,2026-03-13,api+qia,35.710825,128.122776
77,20260304,20260303,경기도 연천군 군남면 왕림리,4180031024,3115,3,2026-03-13,api+qia,38.062266,127.047991
73-1,20260306,20260306,강원 철원군,,3115,,2026-03-13,qia_only,38.146792,127.31338
78,20260316,20260316,경상남도 산청군 단성면 길리,4886037027,5050,32,2026-03-25,api+qia,35.268154,127.920556
79,20260316,20260316,전라남도 함평군 신광면 유천리,4686032032,2647,29,2026-03-25,api+qia,35.119633,126.487114
69-1,20260330,20260330,충남 홍성군,,3976,,2026-04-06,qia_only,36.601358,126.660832
